timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
3925.160000,0.968630,-1.408731,1.908107,-2.246328,-1.496992,-0.542758,-0.198629,-0.494633,0.256143,-0.072909,-3.089895,0.288351,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3925.256000,0.968606,-1.408719,1.908094,-2.246328,-1.497004,-0.542758,-0.198645,-0.494631,0.256142,-0.072948,-3.089882,0.288340,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3925.352000,0.968498,-1.410121,1.908071,-2.244816,-1.496908,-0.542974,-0.198509,-0.494345,0.256720,-0.072786,-3.089981,0.288300,-0.007350,-0.038912,-0.000000,0.037079,0.000000,-0.003811
3925.544000,0.964163,-1.435118,1.905940,-2.217621,-1.495987,-0.547292,-0.197455,-0.488952,0.267691,-0.072904,-3.089834,0.288608,-0.041801,-0.229138,-0.025132,0.260945,0.029769,-0.045804
3925.640000,0.959360,-1.461590,1.902598,-2.187509,-1.495028,-0.552114,-0.196310,-0.483093,0.279525,-0.073004,-3.089773,0.288622,-0.056898,-0.319004,-0.048218,0.368443,-0.023944,-0.061407
3925.736000,0.952834,-1.496192,1.896431,-2.146088,-1.493999,-0.558843,-0.194717,-0.475195,0.295391,-0.072930,-3.089641,0.288096,-0.079396,-0.401200,-0.083218,0.487998,0.015771,-0.080246
3925.832000,0.944426,-1.536815,1.885965,-2.094846,-1.491987,-0.567468,-0.192822,-0.465596,0.314952,-0.072769,-3.089541,0.288935,-0.085136,-0.403232,-0.120967,0.531357,0.020613,-0.090984
3925.928000,0.936845,-1.569669,1.874756,-2.049565,-1.490681,-0.575096,-0.191288,-0.457340,0.331425,-0.072996,-3.089822,0.287938,-0.070614,-0.292543,-0.111763,0.415613,-0.002613,-0.072481
3926.024000,0.931169,-1.593651,1.864889,-2.015398,-1.489484,-0.580867,-0.190000,-0.451135,0.344006,-0.073015,-3.089790,0.288140,-0.050736,-0.205553,-0.091297,0.299174,0.025910,-0.049015
3926.120000,0.927217,-1.608975,1.857657,-1.992395,-1.488598,-0.584885,-0.189192,-0.447010,0.352308,-0.073035,-3.089966,0.288071,-0.032290,-0.122488,-0.059621,0.185540,0.021596,-0.027708
3926.216000,0.925229,-1.616818,1.853657,-1.980690,-1.488239,-0.586864,-0.188744,-0.444889,0.356691,-0.073095,-3.089743,0.288394,-0.013346,-0.039193,-0.019571,0.065913,-0.038373,-0.006567
3926.312000,0.925097,-1.617549,1.853251,-1.979081,-1.488059,-0.587116,-0.188650,-0.444683,0.357060,-0.072938,-3.090166,0.287980,0.000281,0.004027,0.000281,-0.002924,-0.001798,-0.000887
3926.408000,0.925085,-1.617502,1.853214,-1.979081,-1.487975,-0.587104,-0.188661,-0.444700,0.357056,-0.072966,-3.090234,0.288047,0.000000,0.000000,0.000281,-0.000527,-0.000623,-0.000383
3926.504000,0.925073,-1.617513,1.853214,-1.979069,-1.488011,-0.587116,-0.188666,-0.444693,0.357060,-0.072970,-3.090206,0.288011,0.000000,-0.000562,0.000166,-0.000288,-0.000312,-0.000240
3926.600000,0.925073,-1.617585,1.853226,-1.979093,-1.488011,-0.587116,-0.188654,-0.444677,0.357091,-0.072964,-3.090148,0.288113,0.000000,-0.000358,0.000115,-0.000192,-0.000216,-0.000168
3926.696000,0.925085,-1.617574,1.853226,-1.979069,-1.487999,-0.587212,-0.188649,-0.444681,0.357083,-0.072798,-3.090178,0.288078,0.000000,-0.001138,0.000089,-0.000144,-0.000144,-0.000743
