timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
5451.984000,0.751153,-1.430706,1.280831,-1.357139,-1.612540,-0.027475,-0.319527,-0.443904,0.479960,-1.200121,-2.881394,-0.120412,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
5452.080000,0.751153,-1.430814,1.282148,-1.358304,-1.612552,-0.027499,-0.319542,-0.443918,0.479493,-1.200076,-2.881418,-0.120482,0.000000,-0.001700,0.043987,-0.034299,0.000000,0.000000
5452.176000,0.750794,-1.432181,1.292109,-1.367121,-1.612564,-0.027787,-0.319644,-0.443754,0.476257,-1.200086,-2.881344,-0.120177,-0.008130,-0.023649,0.175973,-0.151241,0.000000,-0.000911
5452.272000,0.749692,-1.435190,1.316628,-1.388888,-1.612648,-0.028567,-0.320006,-0.443287,0.468089,-1.200332,-2.881140,-0.119879,-0.012643,-0.035461,0.320103,-0.288532,0.025574,-0.009659
5452.368000,0.748111,-1.438751,1.353633,-1.422282,-1.612779,-0.029718,-0.320561,-0.442653,0.455236,-1.200661,-2.881018,-0.120059,-0.020287,-0.036125,0.444957,-0.396942,-0.045468,-0.038206
5452.464000,0.745896,-1.442084,1.401774,-1.467435,-1.612839,-0.031792,-0.321306,-0.441750,0.437913,-1.200488,-2.881103,-0.119636,-0.025835,-0.028238,0.553639,-0.529415,-0.004171,-0.020325
5452.560000,0.743117,-1.443367,1.459373,-1.523771,-1.613067,-0.034503,-0.322297,-0.440656,0.415903,-1.200107,-2.881309,-0.119785,-0.030974,-0.001790,0.645320,-0.642978,0.034011,-0.020517
5452.656000,0.740111,-1.441796,1.518650,-1.584994,-1.613282,-0.037130,-0.323274,-0.439393,0.392020,-1.200114,-2.881259,-0.119399,-0.031140,0.033121,0.594047,-0.627806,-0.067064,-0.027324
5452.752000,0.737189,-1.436605,1.574167,-1.645913,-1.613618,-0.039840,-0.324268,-0.438198,0.368087,-1.199864,-2.881284,-0.119312,-0.032444,0.071432,0.558689,-0.634061,0.032381,-0.033316
5452.848000,0.734207,-1.427889,1.626298,-1.706734,-1.614157,-0.042370,-0.325307,-0.436984,0.344058,-1.199914,-2.881092,-0.119674,-0.031357,0.104681,0.524621,-0.626703,0.031303,-0.032238
5452.944000,0.731141,-1.415792,1.675030,-1.767491,-1.614456,-0.045020,-0.326356,-0.435750,0.320069,-1.200034,-2.881164,-0.119940,-0.032648,0.144002,0.492689,-0.628117,-0.025910,-0.029457
5453.040000,0.728147,-1.400375,1.720529,-1.828592,-1.614660,-0.047599,-0.327357,-0.434540,0.296146,-1.200178,-2.881236,-0.119763,-0.030462,0.178901,0.457868,-0.635499,-0.043191,-0.024783
5453.136000,0.725224,-1.381792,1.762293,-1.888645,-1.614887,-0.050262,-0.328297,-0.433328,0.272497,-1.200167,-2.881565,-0.120271,-0.027318,0.200824,0.386755,-0.590079,0.010594,-0.018671
5453.232000,0.722757,-1.364013,1.794276,-1.938775,-1.615342,-0.052444,-0.329149,-0.432331,0.253127,-1.200097,-2.881361,-0.119981,-0.023074,0.174273,0.285883,-0.465252,0.031926,-0.020877
5453.328000,0.720840,-1.348933,1.817422,-1.976980,-1.615534,-0.054075,-0.329761,-0.431531,0.238272,-1.200249,-2.881411,-0.120085,-0.015263,0.139043,0.196413,-0.343156,0.029265,-0.037990
5453.424000,0.719595,-1.337604,1.832475,-2.003417,-1.615893,-0.055167,-0.330218,-0.431042,0.228031,-1.200196,-2.881256,-0.120197,-0.011262,0.093138,0.122629,-0.214614,-0.018743,-0.012559
