timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
5536.984000,0.824725,-1.327811,1.820009,-2.179792,-1.611510,-0.042598,-0.295537,-0.477467,0.245316,-1.046646,-2.866452,0.139562,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
5537.080000,0.824773,-1.327774,1.820057,-2.179828,-1.611522,-0.042538,-0.295512,-0.477477,0.245278,-1.046667,-2.866461,0.139495,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
5537.176000,0.824629,-1.328482,1.819242,-2.177559,-1.611570,-0.042550,-0.295542,-0.477385,0.245799,-1.046946,-2.866653,0.138409,-0.007133,-0.022498,-0.022537,0.059106,0.000000,0.000000
5537.368000,0.820833,-1.343419,1.800898,-2.135057,-1.611306,-0.041807,-0.296783,-0.475625,0.257923,-1.054822,-2.868083,0.125397,-0.033198,-0.130478,-0.174720,0.377096,0.001366,0.011769
5537.464000,0.816773,-1.358260,1.780003,-2.089324,-1.611103,-0.041014,-0.298117,-0.473750,0.270942,-1.063258,-2.869552,0.111231,-0.050442,-0.173033,-0.261096,0.563738,0.008077,0.011769
5537.560000,0.811275,-1.376374,1.749984,-2.027632,-1.610815,-0.039923,-0.299913,-0.471217,0.288505,-1.074734,-2.871468,0.092013,-0.062638,-0.199008,-0.364627,0.721354,0.005153,0.026293
5537.656000,0.804353,-1.396095,1.709298,-1.950121,-1.610432,-0.038425,-0.302144,-0.468020,0.310608,-1.089410,-2.873709,0.067767,-0.075357,-0.201092,-0.471840,0.858814,0.043191,0.006543
5537.752000,0.797095,-1.413166,1.662146,-1.867403,-1.610277,-0.036734,-0.304488,-0.464669,0.334151,-1.105015,-2.875830,0.041371,-0.076392,-0.156389,-0.516466,0.862936,-0.049087,0.005968
5537.848000,0.789658,-1.426270,1.611044,-1.785036,-1.610312,-0.035187,-0.306944,-0.461299,0.357787,-1.120597,-2.877455,0.015278,-0.078335,-0.116877,-0.554330,0.857160,0.036792,0.007622
5537.944000,0.782137,-1.435441,1.556160,-1.702554,-1.610396,-0.033640,-0.309403,-0.457889,0.381370,-1.136331,-2.878922,-0.011254,-0.078016,-0.075216,-0.589509,0.848483,0.012559,0.025910
5538.040000,0.774604,-1.440765,1.497314,-1.620246,-1.610839,-0.032092,-0.311863,-0.454456,0.405006,-1.151936,-2.879798,-0.037628,-0.074321,-0.034783,-0.633700,0.862864,-0.032381,0.030080
5538.136000,0.767382,-1.442036,1.434865,-1.539013,-1.611019,-0.030641,-0.314215,-0.451211,0.428415,-1.166967,-2.880746,-0.062967,-0.072033,0.003861,-0.622643,0.791798,0.032381,0.012943
5538.232000,0.761298,-1.440190,1.379745,-1.471051,-1.611606,-0.029586,-0.316186,-0.448437,0.447841,-1.179214,-2.881141,-0.084508,-0.057818,0.029619,-0.522436,0.630658,-0.017257,0.005321
5538.328000,0.756615,-1.436832,1.335292,-1.418642,-1.611809,-0.028686,-0.317703,-0.446341,0.462689,-1.188854,-2.881538,-0.100957,-0.041366,0.035205,-0.401213,0.468991,0.022387,0.007622
5538.424000,0.753237,-1.433451,1.303446,-1.382209,-1.612216,-0.028195,-0.318848,-0.444855,0.472868,-1.195443,-2.881604,-0.112712,-0.026052,0.030680,-0.266670,0.306556,-0.053617,-0.033819
5538.520000,0.751477,-1.431209,1.284973,-1.361559,-1.612540,-0.027787,-0.319430,-0.444054,0.478648,-1.199088,-2.881522,-0.119287,-0.014304,0.015276,-0.118053,0.132234,0.047745,-0.009731
