timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
5693.240000,0.816773,-1.390328,2.050544,-2.676877,-1.301632,-0.463674,-0.249166,-0.459040,0.235614,-0.332807,-2.983410,0.787587,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.816745,-1.390351,2.050498,-2.676812,-1.301600,-0.463725,-0.249181,-0.459040,0.235638,-0.332762,-2.983410,0.787617
5693.336000,0.816653,-1.394104,2.051167,-2.673627,-1.301560,-0.463926,-0.248655,-0.458411,0.236865,-0.332627,-2.983454,0.787502,-0.002621,-0.096679,0.013499,0.080989,0.001965,-0.013662,0.816527,-1.394407,2.051180,-2.673383,-1.301482,-0.463936,-0.248670,-0.458343,0.236984,-0.332762,-2.983411,0.787616
5693.432000,0.815790,-1.409642,2.053635,-2.660450,-1.301117,-0.464622,-0.246703,-0.455730,0.242042,-0.332813,-2.983355,0.787610,-0.012093,-0.222453,0.034694,0.189926,0.021596,-0.006160,0.815685,-1.409951,2.053641,-2.660084,-1.301024,-0.464754,-0.246704,-0.455664,0.242153,-0.332763,-2.983412,0.787613
5693.528000,0.814221,-1.436676,2.057311,-2.636446,-1.300518,-0.465785,-0.243312,-0.451020,0.251043,-0.333508,-2.983440,0.787130,-0.018766,-0.342576,0.042478,0.294428,-0.023561,-0.019726,0.814181,-1.437026,2.057332,-2.636313,-1.300208,-0.466218,-0.243265,-0.450977,0.251197,-0.332765,-2.983414,0.787608
5693.624000,0.811982,-1.475174,2.061263,-2.601611,-1.299381,-0.468268,-0.238393,-0.444295,0.264043,-0.332990,-2.983135,0.787331,-0.027624,-0.455784,0.036215,0.418058,0.042208,-0.035905,0.811965,-1.475367,2.061239,-2.601305,-1.299012,-0.468382,-0.238351,-0.444281,0.264118,-0.332767,-2.983417,0.787602
5693.720000,0.808940,-1.524321,2.064018,-2.554613,-1.297549,-0.471411,-0.231994,-0.435578,0.280850,-0.332635,-2.983092,0.787714,-0.035397,-0.564505,0.013895,0.559999,0.038541,-0.037055,0.808961,-1.524472,2.063899,-2.554076,-1.297400,-0.471331,-0.231963,-0.435576,0.280915,-0.332770,-2.983420,0.787593
5693.816000,0.805251,-1.581217,2.063539,-2.496443,-1.295669,-0.475057,-0.224410,-0.425279,0.300825,-0.332600,-2.982893,0.787803,-0.041609,-0.592398,-0.022856,0.637800,0.034946,-0.042784,0.805201,-1.581340,2.063494,-2.495812,-1.295406,-0.475040,-0.224389,-0.425255,0.300832,-0.332774,-2.983425,0.787582
5693.912000,0.801167,-1.637192,2.059263,-2.435123,-1.293478,-0.479112,-0.216703,-0.414770,0.321053,-0.332573,-2.982914,0.787867,-0.045840,-0.571536,-0.064466,0.653572,0.009779,-0.040243,0.801154,-1.637125,2.059142,-2.434594,-1.293287,-0.479055,-0.216712,-0.414792,0.321021,-0.332778,-2.983429,0.787571
5694.008000,0.796892,-1.690783,2.051071,-2.372043,-1.291059,-0.483298,-0.208979,-0.404304,0.341199,-0.332675,-2.983171,0.787933,-0.047247,-0.546238,-0.107328,0.669439,0.025095,-0.046691,0.796844,-1.690680,2.050843,-2.371577,-1.291067,-0.483348,-0.209035,-0.404330,0.341210,-0.332782,-2.983434,0.787561
5694.104000,0.792329,-1.741716,2.038892,-2.307648,-1.288987,-0.487856,-0.201316,-0.393848,0.361352,-0.332765,-2.983067,0.787628,-0.049637,-0.515712,-0.146470,0.680680,0.033220,-0.051484,0.792245,-1.741667,2.038642,-2.307136,-1.288738,-0.487944,-0.201357,-0.393867,0.361399,-0.332786,-2.983438,0.787550
5694.200000,0.787478,-1.788740,2.023179,-2.243735,-1.286473,-0.492654,-0.193844,-0.383640,0.381120,-0.332777,-2.983001,0.787895,-0.048908,-0.437376,-0.168290,0.629675,0.013207,-0.044701,0.787467,-1.788498,2.023098,-2.243446,-1.286363,-0.492733,-0.193892,-0.383694,0.381030,-0.332790,-2.983442,0.787540
5694.296000,0.783214,-1.825057,2.007646,-2.190605,-1.284258,-0.496949,-0.187725,-0.375266,0.397282,-0.332743,-2.983166,0.787924,-0.040050,-0.323619,-0.149282,0.483683,0.030368,-0.040603,0.783280,-1.824870,2.007619,-2.190433,-1.284316,-0.496934,-0.187743,-0.375314,0.397200,-0.332793,-2.983446,0.787531
5694.392000,0.779861,-1.851335,1.994305,-2.150061,-1.283144,-0.500307,-0.183073,-0.368861,0.409567,-0.332893,-2.982869,0.787398,-0.028941,-0.227234,-0.123549,0.367916,0.003715,-0.029769,0.779932,-1.851118,1.994263,-2.149894,-1.282702,-0.500296,-0.183067,-0.368943,0.409494,-0.332795,-2.983449,0.787525
