timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
5936.992000,0.775837,-1.879150,1.977635,-2.104077,-1.280713,-0.504457,-0.177851,-0.361752,0.423319,-0.332704,-2.983483,0.787553,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.775897,-1.879162,1.977600,-2.104137,-1.280773,-0.504361,-0.177833,-0.361760,0.423347,-0.332743,-2.983387,0.787612
5937.088000,0.776053,-1.878406,1.977899,-2.105469,-1.280845,-0.504145,-0.177975,-0.361977,0.423065,-0.332761,-2.983188,0.787855,0.014905,0.041302,0.014688,-0.062630,-0.003116,0.011769,0.776231,-1.878065,1.978033,-2.105756,-1.280921,-0.504038,-0.177996,-0.362084,0.422900,-0.332742,-2.983387,0.787612
5937.184000,0.778639,-1.869614,1.981108,-2.118421,-1.281780,-0.501867,-0.179288,-0.364569,0.419596,-0.332264,-2.983080,0.788318,0.041571,0.140462,0.053574,-0.198555,-0.018504,0.040674,0.778875,-1.869235,1.981417,-2.118684,-1.282096,-0.501471,-0.179300,-0.364673,0.419318,-0.332742,-2.983390,0.787611
5937.280000,0.784017,-1.851455,1.987563,-2.144024,-1.284090,-0.496589,-0.181853,-0.369822,0.412296,-0.332490,-2.983528,0.787950,0.064529,0.234635,0.081314,-0.325659,-0.033532,0.064931,0.784034,-1.851253,1.987761,-2.144391,-1.284397,-0.496468,-0.181908,-0.369852,0.412155,-0.332740,-2.983394,0.787608
5937.376000,0.791335,-1.823606,1.996089,-2.182168,-1.287706,-0.489415,-0.185846,-0.377574,0.401465,-0.332760,-2.983497,0.787436,0.089994,0.340787,0.096411,-0.460050,-0.037726,0.085304,0.791468,-1.823503,1.996207,-2.182557,-1.287736,-0.489271,-0.185821,-0.377620,0.401410,-0.332737,-2.983401,0.787604
5937.472000,0.800724,-1.785322,2.005539,-2.232083,-1.291898,-0.480371,-0.191021,-0.387898,0.387061,-0.332779,-2.983771,0.787214,0.106548,0.456001,0.095401,-0.566926,-0.052059,0.101099,0.800847,-1.785128,2.005462,-2.232633,-1.291989,-0.480206,-0.191037,-0.387978,0.387083,-0.332734,-2.983409,0.787599
5937.568000,0.811790,-1.735624,2.013730,-2.292852,-1.296986,-0.469792,-0.197449,-0.400809,0.369303,-0.332640,-2.983721,0.787226,0.113553,0.552438,0.070857,-0.656088,-0.051412,0.110039,0.811706,-1.735562,2.013724,-2.293240,-1.296969,-0.469742,-0.197503,-0.400815,0.369326,-0.332729,-2.983420,0.787592
5937.664000,0.822329,-1.681549,2.018604,-2.354586,-1.301824,-0.459548,-0.204233,-0.414265,0.350687,-0.332753,-2.983652,0.787436,0.106330,0.575818,0.030897,-0.628117,-0.045564,0.099157,0.822292,-1.681378,2.018557,-2.354910,-1.301883,-0.459572,-0.204295,-0.414301,0.350672,-0.332725,-2.983432,0.787585
5937.760000,0.832078,-1.625776,2.019430,-2.414009,-1.306494,-0.450228,-0.211035,-0.427697,0.332190,-0.332620,-2.983245,0.787797,0.101204,0.589279,-0.010751,-0.603166,-0.052275,0.096641,0.832126,-1.625353,2.019440,-2.414232,-1.306499,-0.450158,-0.211087,-0.427787,0.332018,-0.332720,-2.983443,0.787578
5937.856000,0.841228,-1.568206,2.016509,-2.470738,-1.310935,-0.441376,-0.217834,-0.441170,0.313461,-0.332869,-2.983303,0.787571,0.091885,0.605130,-0.051401,-0.580396,-0.036216,0.084465,0.841281,-1.567867,2.016385,-2.470866,-1.310840,-0.441425,-0.217875,-0.441264,0.313376,-0.332715,-2.983455,0.787571
