timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,task,img,wrist_img
1726689406.615655,0.925492,-1.672016,1.798695,-2.039313,-1.281073,-0.548899,-0.170805,-0.449217,0.419269,-2.703276,0.049291,3.110497,-1.1e-05,7e-06,-3.1e-05,-0.000122,-2.5e-05,-1.4e-05,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689406.5999348.jpeg,0_1726689406.624015.jpeg
1726689406.711655,0.925468,-1.672028,1.798731,-2.039277,-1.281109,-0.548899,-0.170813,-0.449204,0.419251,-2.703344,0.049297,3.110457,-3e-06,-6e-06,-1.3e-05,-5.3e-05,-3.1e-05,2.6e-05,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689406.7125545.jpeg,0_1726689406.6864455.jpeg
1726689406.807655,0.926319,-1.664041,1.798743,-2.047584,-1.281504,-0.548324,-0.172238,-0.451718,0.416499,-2.703319,0.049076,3.110712,-2.2e-05,-0.000113,-0.000103,-7.6e-05,0.00019,-0.00023,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689406.7792153.jpeg,0_1726689406.8184144.jpeg
1726689406.903655,0.928199,-1.646965,1.798336,-2.064919,-1.281971,-0.54644,-0.175187,-0.457089,0.410713,-2.703082,0.04917,3.110862,-1.8e-05,-8.8e-05,-0.000113,-0.000307,9.8e-05,-0.000379,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689406.910747.jpeg,0_1726689406.8847437.jpeg
1726689406.999655,0.931097,-1.620344,1.796779,-2.091101,-1.282929,-0.543213,-0.1797,-0.465369,0.40184,-2.702779,0.049221,3.110715,-7.4e-05,-0.0001,-0.00023,-0.000599,4.9e-05,-0.000231,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689406.9779284.jpeg,0_1726689407.0182528.jpeg
1726689407.095655,0.93481,-1.583543,1.792995,-2.125179,-1.284533,-0.539339,-0.185867,-0.476587,0.389716,-2.702874,0.049103,3.110611,-8.9e-05,-0.000101,-0.00027,-0.000491,0.000169,-0.000125,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689407.110887.jpeg,0_1726689407.084719.jpeg
1726689407.191655,0.939097,-1.536084,1.785655,-2.166181,-1.286294,-0.534817,-0.193696,-0.490733,0.37425,-2.703201,0.049269,3.110476,-4.1e-05,-7.8e-05,-0.000116,-0.000147,7e-06,1.2e-05,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689407.1791866.jpeg,0_1726689407.2179427.jpeg
1726689407.287655,0.943516,-1.483891,1.77416,-2.208128,-1.287982,-0.530271,-0.202102,-0.506047,0.357642,-2.70317,0.049308,3.110495,-3.4e-05,-6e-06,-3.4e-05,-0.00016,-2.8e-05,-4e-06,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689407.310368.jpeg,0_1726689407.2845933.jpeg
1726689407.383654,0.947385,-1.432612,1.759791,-2.245799,-1.289419,-0.526264,-0.210272,-0.520813,0.341475,-2.703382,0.049587,3.110493,2.1e-05,3.1e-05,0.000164,6.9e-05,-0.000304,-1e-06,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689407.3768942.jpeg,0_1726689407.351264.jpeg
1726689407.479654,0.950367,-1.390364,1.74541,-2.274685,-1.290484,-0.523194,-0.216947,-0.532889,0.328434,-2.703156,0.049594,3.110537,5.8e-05,6.1e-05,0.000144,-0.000143,-0.000309,-4.3e-05,31.952789,0.0,0.0,0.0,0.0,moving to grasp red button,0_1726689407.51062.jpeg,0_1726689407.4847016.jpeg
