timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
14374.664000,0.925456,-1.672004,1.798767,-2.039325,-1.281097,-0.548923,-0.170822,-0.449208,0.419228,0.063696,3.025210,-0.674930,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.925480,-1.672004,1.798731,-2.039265,-1.281156,-0.548935,-0.170816,-0.449210,0.419238,0.063664,3.025260,-0.674858
14374.760000,0.925492,-1.671332,1.799186,-2.040550,-1.281144,-0.548935,-0.170949,-0.449400,0.418847,0.063597,3.025288,-0.675079,0.000000,0.022268,0.016414,-0.034946,0.000000,0.000000,0.925547,-1.671166,1.799348,-2.040741,-1.281185,-0.548862,-0.170956,-0.449446,0.418710,0.063664,3.025260,-0.674858
14374.856000,0.925756,-1.666463,1.802706,-2.049313,-1.281336,-0.548539,-0.171820,-0.450749,0.415829,0.063688,3.025413,-0.675419,0.009319,0.087360,0.064184,-0.150330,-0.001270,0.003499,0.925942,-1.666155,1.802964,-2.049491,-1.281355,-0.548426,-0.171787,-0.450847,0.415576,0.063664,3.025260,-0.674861
14374.952000,0.926786,-1.654280,1.811148,-2.070165,-1.281671,-0.547844,-0.173746,-0.454098,0.408312,0.063032,3.025387,-0.675402,0.013167,0.166373,0.107775,-0.272306,-0.013878,0.008701,0.926872,-1.653957,1.811282,-2.070298,-1.281758,-0.547402,-0.173769,-0.454185,0.408108,0.063662,3.025258,-0.674869
14375.048000,0.928199,-1.634433,1.823230,-2.102264,-1.282186,-0.546236,-0.176853,-0.459336,0.396613,0.063135,3.025193,-0.675113,0.016158,0.242995,0.142174,-0.382345,-0.062318,0.036696,0.928282,-1.634331,1.823341,-2.102422,-1.282376,-0.545848,-0.176843,-0.459363,0.396523,0.063659,3.025256,-0.674881
14375.144000,0.930103,-1.606494,1.837790,-2.145428,-1.283001,-0.543981,-0.181007,-0.466381,0.380972,0.063356,3.025142,-0.675234,0.018561,0.336581,0.163868,-0.501108,-0.018504,0.021332,0.930130,-1.606450,1.838012,-2.145549,-1.283201,-0.543814,-0.181002,-0.466368,0.380850,0.063655,3.025253,-0.674897
14375.240000,0.932367,-1.569381,1.853669,-2.198959,-1.284006,-0.541414,-0.186205,-0.475175,0.361204,0.063505,3.025050,-0.675044,0.023559,0.435702,0.164826,-0.597725,-0.034922,0.027036,0.932364,-1.569263,1.853767,-2.199184,-1.284221,-0.541359,-0.186237,-0.475187,0.361119,0.063651,3.025249,-0.674917
14375.336000,0.934690,-1.526863,1.867321,-2.256072,-1.285000,-0.538907,-0.191829,-0.484685,0.339941,0.063368,3.025028,-0.675435,0.023802,0.457037,0.121478,-0.592860,-0.006807,0.021524,0.934666,-1.526665,1.867340,-2.256063,-1.285298,-0.538836,-0.191888,-0.484705,0.339825,0.063646,3.025245,-0.674938
14375.432000,0.936869,-1.481901,1.877343,-2.311632,-1.286210,-0.536449,-0.197494,-0.494187,0.318616,0.063548,3.025139,-0.675221,0.019226,0.458916,0.080675,-0.548470,-0.018504,0.020157,0.936851,-1.481984,1.877263,-2.311336,-1.286344,-0.536452,-0.197504,-0.494165,0.318660,0.063640,3.025241,-0.674960
14375.528000,0.938630,-1.441616,1.883079,-2.357778,-1.286988,-0.534517,-0.202341,-0.502324,0.300280,0.063630,3.024933,-0.674735,0.016810,0.378893,0.041417,-0.424337,0.003260,0.010786,0.938654,-1.441811,1.882933,-2.357728,-1.287226,-0.534493,-0.202338,-0.502309,0.300440,0.063636,3.025237,-0.674978
