timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
16303.328000,0.955001,-1.429507,1.795510,-2.414862,-1.292699,-0.428397,-0.206770,-0.522830,0.342364,-0.171274,-3.016785,0.845106,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.954977,-1.429491,1.795441,-2.414737,-1.292655,-0.428373,-0.206787,-0.522836,0.342374,-0.171353,-3.016869,0.845065
16303.424000,0.954954,-1.430227,1.795689,-2.414130,-1.292628,-0.428445,-0.206657,-0.522633,0.342583,-0.171305,-3.016963,0.844943,0.000000,-0.040139,0.010827,0.024064,0.000000,-0.009635,0.954894,-1.430405,1.795756,-2.414117,-1.292612,-0.428452,-0.206654,-0.522574,0.342646,-0.171353,-3.016869,0.845065
16303.520000,0.954223,-1.439878,1.798803,-2.407867,-1.292280,-0.429141,-0.205205,-0.519924,0.345573,-0.171197,-3.016556,0.845443,-0.014867,-0.155316,0.052360,0.105941,-0.035929,-0.007191,0.954006,-1.440052,1.799028,-2.407514,-1.292158,-0.429297,-0.205256,-0.519809,0.345517,-0.171354,-3.016869,0.845064
16303.616000,0.952247,-1.460091,1.805388,-2.393435,-1.291550,-0.430676,-0.202315,-0.514077,0.351537,-0.171898,-3.016687,0.844869,-0.026678,-0.263998,0.082988,0.182280,0.057716,-0.026198,0.952113,-1.460174,1.805517,-2.393393,-1.291193,-0.431100,-0.202333,-0.514028,0.351520,-0.171356,-3.016871,0.845061
16303.712000,0.949157,-1.490521,1.814585,-2.371539,-1.290006,-0.433831,-0.197914,-0.505246,0.360578,-0.171548,-3.016526,0.844986,-0.037186,-0.371479,0.102010,0.284242,0.027228,-0.036672,0.949137,-1.490649,1.814471,-2.371099,-1.289679,-0.433939,-0.197885,-0.505230,0.360655,-0.171360,-3.016873,0.845057
16303.808000,0.945013,-1.531132,1.824811,-2.340176,-1.287731,-0.437945,-0.191911,-0.493452,0.372881,-0.171235,-3.016525,0.845251,-0.049420,-0.474447,0.107698,0.379253,0.020733,-0.049135,0.944946,-1.531249,1.824734,-2.339667,-1.287556,-0.437946,-0.191911,-0.493416,0.372921,-0.171365,-3.016876,0.845051
16303.904000,0.939337,-1.580989,1.834582,-2.298204,-1.284785,-0.443343,-0.184538,-0.478746,0.388148,-0.171380,-3.016922,0.844894,-0.066166,-0.551121,0.096539,0.475918,0.029026,-0.065530,0.939367,-1.581355,1.834699,-2.298053,-1.284749,-0.443295,-0.184446,-0.478650,0.388253,-0.171371,-3.016880,0.845044
16304.000000,0.932858,-1.633486,1.841779,-2.251260,-1.281552,-0.449580,-0.176598,-0.462979,0.404483,-0.171344,-3.016851,0.844989,-0.070180,-0.540498,0.054290,0.499958,0.034563,-0.066105,0.932970,-1.633704,1.841778,-2.251071,-1.281557,-0.449444,-0.176502,-0.462939,0.404565,-0.171378,-3.016884,0.845036
16304.096000,0.925996,-1.684655,1.845311,-2.201371,-1.278104,-0.456129,-0.168607,-0.447263,0.420719,-0.171547,-3.017232,0.844605,-0.074935,-0.525759,0.018165,0.525197,0.037079,-0.068765,0.926039,-1.684846,1.845193,-2.201466,-1.278133,-0.456126,-0.168559,-0.447229,0.420876,-0.171384,-3.016887,0.845028
16304.192000,0.918546,-1.734304,1.844903,-2.149665,-1.274428,-0.463351,-0.160652,-0.431601,0.437119,-0.171397,-3.016915,0.845071,-0.079550,-0.501215,-0.020031,0.549165,0.036216,-0.079887,0.918516,-1.734464,1.844925,-2.149512,-1.274457,-0.463394,-0.160630,-0.431546,0.437160,-0.171391,-3.016891,0.845020
