timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,task,img,wrist_img
1726691755.669865,0.896738,-1.849644,1.828403,-2.011713,-1.264022,-0.484533,-0.140999,-0.392735,0.477461,-2.59673,0.025651,3.035285,-8e-06,0.0,-4e-06,-4.6e-05,2.3e-05,-2.9e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691755.765865,0.896774,-1.849524,1.828391,-2.012085,-1.26401,-0.484425,-0.14102,-0.392785,0.477465,-2.596503,0.025575,3.035242,-3.5e-05,-4.5e-05,-0.000106,-0.000273,9.9e-05,1.4e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691755.861865,0.898031,-1.843479,1.829768,-2.020212,-1.264513,-0.483455,-0.142134,-0.394931,0.475328,-2.596163,0.025329,3.03551,-6.4e-05,-0.000161,-0.000318,-0.000613,0.000344,-0.000254,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691755.957865,0.901241,-1.828211,1.833288,-2.039601,-1.265962,-0.480299,-0.144856,-0.400275,0.469702,-2.596396,0.025571,3.035504,-1.1e-05,-9.6e-05,-0.000173,-0.000378,0.000102,-0.000247,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691756.053865,0.906271,-1.804332,1.837923,-2.069553,-1.268417,-0.475334,-0.148932,-0.408513,0.46111,-2.596417,0.025561,3.035398,-0.000129,-0.000153,-0.000194,-0.000354,0.00011,-0.000139,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691756.149865,0.912438,-1.770703,1.842389,-2.109394,-1.271494,-0.469048,-0.154657,-0.41976,0.449413,-2.596465,0.025624,3.035085,-0.000124,-0.000217,-0.000242,-0.000302,4.5e-05,0.000177,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691756.245865,0.91978,-1.726533,1.845311,-2.1585,-1.275086,-0.462043,-0.161918,-0.43409,0.434524,-2.596496,0.025557,3.035157,-0.000106,-0.000214,-0.000227,-0.000266,0.00011,0.000108,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691756.341865,0.927229,-1.676464,1.844868,-2.210276,-1.278714,-0.454966,-0.169882,-0.449843,0.418231,-2.596384,0.025454,3.035272,-8.5e-05,-0.000171,-0.000246,-0.000372,0.00021,-4e-06,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691756.437865,0.940426,-1.572475,1.833313,-2.306016,-1.285348,-0.442155,-0.18576,-0.481279,0.385481,-2.596614,0.025576,3.035144,-9.4e-05,-0.000156,-0.00012,-0.000131,8.2e-05,0.000132,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691755.6381493.jpeg,0_1726691755.6151705.jpeg
1726691756.533865,0.945768,-1.523673,1.823098,-2.345996,-1.288042,-0.43701,-0.19302,-0.495621,0.370593,-2.596623,0.025594,3.035122,-6.1e-05,-0.000108,-7.4e-05,-0.000117,6.1e-05,0.000156,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691756.629865,0.949696,-1.48461,1.812776,-2.375775,-1.28985,-0.433327,-0.198783,-0.506979,0.358866,-2.596526,0.025693,3.035274,-1e-06,-3e-05,-5.8e-05,-0.00021,-3.9e-05,7e-06,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691756.725865,0.952546,-1.455859,1.804107,-2.396686,-1.291167,-0.4307,-0.202941,-0.515295,0.350291,-2.596385,0.025702,3.035417,-2.1e-05,2.3e-05,-6.3e-05,-0.000348,-4.9e-05,-0.000133,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691756.821865,0.954283,-1.437468,1.798216,-2.409415,-1.292041,-0.429213,-0.205591,-0.520563,0.344741,-2.596565,0.025731,3.03556,-2.4e-05,4.4e-05,3.9e-05,-0.000165,-7.9e-05,-0.000275,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691756.917865,0.95487,-1.429531,1.795581,-2.414597,-1.292436,-0.428565,-0.206806,-0.522792,0.342315,-2.596842,0.025838,3.035439,6.3e-05,4.2e-05,0.000149,0.000112,-0.000187,-0.000154,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691757.013865,0.954918,-1.429435,1.79551,-2.414537,-1.292735,-0.428565,-0.206822,-0.522819,0.342285,-2.597044,0.025647,3.035343,3.5e-05,-1.7e-05,8.9e-05,0.000314,5e-06,-5.9e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691757.109865,0.954882,-1.429447,1.795497,-2.414573,-1.292687,-0.428445,-0.206837,-0.522813,0.342302,-2.596973,0.025717,3.03523,5e-05,-2.3e-05,7.2e-05,0.000243,-6.6e-05,5.5e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691757.205865,0.95487,-1.429459,1.795497,-2.414705,-1.292723,-0.428469,-0.206846,-0.52281,0.342324,-2.596862,0.025607,3.035225,5.9e-05,-2.6e-05,5e-05,0.000132,4.5e-05,6e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691757.301864,0.954894,-1.429447,1.79551,-2.414729,-1.292735,-0.428409,-0.206836,-0.522816,0.342314,-2.596869,0.025628,3.035192,4.9e-05,-2e-05,6e-05,0.000139,2.3e-05,9.2e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691757.397864,0.954942,-1.429495,1.795485,-2.414741,-1.292735,-0.428421,-0.206806,-0.522819,0.342354,-2.596795,0.02558,3.035252,1.9e-05,-1.7e-05,2e-05,6.5e-05,7.1e-05,3.3e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.2823696.jpeg
1726691757.493864,0.954894,-1.429471,1.79551,-2.414754,-1.292711,-0.428433,-0.206831,-0.522812,0.342331,-2.596815,0.025611,3.035226,4.4e-05,-2.4e-05,4.3e-05,8.5e-05,4e-05,5.9e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.305869.jpeg,0_1726691757.6816866.jpeg
1726691757.589864,0.954894,-1.429495,1.795522,-2.414741,-1.292759,-0.428397,-0.206829,-0.522803,0.342336,-2.596837,0.025592,3.035172,4.2e-05,-3.3e-05,3.8e-05,0.000107,5.9e-05,0.000113,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.7485642.jpeg,0_1726691757.6816866.jpeg
1726691757.685864,0.954918,-1.429459,1.79551,-2.414754,-1.292723,-0.428397,-0.206821,-0.522819,0.342324,-2.596832,0.025627,3.035213,3.4e-05,-1.7e-05,5e-05,0.000102,2.5e-05,7.2e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.7485642.jpeg,0_1726691757.6816866.jpeg
1726691757.781864,0.954942,-1.429495,1.795497,-2.414766,-1.292735,-0.428397,-0.206805,-0.522818,0.342351,-2.596785,0.025587,3.035232,1.8e-05,-1.8e-05,2.3e-05,5.5e-05,6.5e-05,5.2e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.7485642.jpeg,0_1726691757.8164642.jpeg
1726691757.877864,0.954942,-1.429483,1.795497,-2.41479,-1.292723,-0.428385,-0.206807,-0.522821,0.342348,-2.596769,0.025598,3.035228,2e-05,-1.5e-05,2.6e-05,3.9e-05,5.3e-05,5.7e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.905751.jpeg,0_1726691757.8817642.jpeg
1726691757.973864,0.954918,-1.429435,1.79551,-2.414825,-1.292723,-0.428397,-0.206825,-0.522826,0.34232,-2.59679,0.025603,3.035214,3.8e-05,-1e-05,5.4e-05,6e-05,4.8e-05,7.1e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691757.9709387.jpeg,0_1726691757.9465451.jpeg
1726691758.069864,0.954954,-1.429483,1.795557,-2.41479,-1.292699,-0.428409,-0.206793,-0.522817,0.342319,-2.596811,0.025633,3.03527,6e-06,-1.9e-05,5.5e-05,8.1e-05,1.9e-05,1.4e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691758.0373774.jpeg,0_1726691758.0802166.jpeg
1726691758.165864,0.954918,-1.429483,1.79551,-2.414813,-1.292735,-0.428349,-0.206819,-0.522815,0.342344,-2.596765,0.025601,3.035168,3.2e-05,-2.1e-05,3e-05,3.5e-05,5e-05,0.000117,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691758.170413.jpeg,0_1726691758.1463673.jpeg
1726691758.261864,0.95493,-1.429459,1.79551,-2.41479,-1.292723,-0.428373,-0.206815,-0.522822,0.342328,-2.596801,0.025622,3.035205,2.8e-05,-1.4e-05,4.6e-05,7.1e-05,3e-05,8e-05,81.25589,0.0,0.0,0.0,0.0,moving to grasp cardboard box,0_1726691758.2368762.jpeg,0_1726691758.2799966.jpeg
