timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17394.992000,0.896798,-1.849584,1.828499,-2.011737,-1.263914,-0.484690,-0.140982,-0.392765,0.477394,-0.171028,-3.017041,0.845023,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.896762,-1.849608,1.828427,-2.011665,-1.263974,-0.484605,-0.140994,-0.392750,0.477430,-0.171223,-3.016986,0.844993
17395.088000,0.896965,-1.849068,1.828990,-2.013021,-1.264070,-0.484462,-0.141067,-0.392959,0.477089,-0.171083,-3.016809,0.845200,0.005024,0.030986,0.025835,-0.056709,-0.010786,0.025454,0.896992,-1.848832,1.829132,-2.013212,-1.264083,-0.484382,-0.141116,-0.393036,0.476945,-0.171222,-3.016987,0.844993
17395.184000,0.898630,-1.842831,1.834414,-2.025482,-1.264705,-0.482986,-0.142084,-0.395232,0.473319,-0.170703,-3.016600,0.845696,0.026998,0.101933,0.089955,-0.186618,-0.002037,0.037463,0.898814,-1.842556,1.834703,-2.025582,-1.264946,-0.482607,-0.142091,-0.395328,0.473068,-0.171219,-3.016987,0.844993
17395.280000,0.902223,-1.829770,1.845323,-2.050082,-1.266309,-0.479435,-0.144054,-0.399864,0.465418,-0.170862,-3.017017,0.845373,0.047745,0.169824,0.138761,-0.310871,-0.041897,0.049806,0.902385,-1.829648,1.845457,-2.050264,-1.266644,-0.479133,-0.144041,-0.399911,0.465314,-0.171212,-3.016989,0.844995
17395.376000,0.907540,-1.809729,1.860579,-2.087019,-1.269063,-0.474134,-0.146899,-0.406691,0.453823,-0.171091,-3.016800,0.845321,0.061640,0.249093,0.176753,-0.439102,-0.033436,0.058531,0.907562,-1.809408,1.860618,-2.087132,-1.269122,-0.474098,-0.146967,-0.406785,0.453683,-0.171202,-3.016992,0.844996
17395.472000,0.914031,-1.781245,1.879031,-2.135658,-1.272356,-0.467573,-0.150823,-0.415804,0.438305,-0.171552,-3.016857,0.845062,0.074539,0.345823,0.201156,-0.560454,-0.040794,0.070156,0.914152,-1.780816,1.879006,-2.135960,-1.272306,-0.467699,-0.150867,-0.415951,0.438175,-0.171188,-3.016996,0.844998
17395.568000,0.921756,-1.743167,1.898802,-2.195659,-1.276080,-0.460244,-0.155697,-0.427229,0.419072,-0.171274,-3.016855,0.845119,0.083206,0.431419,0.202204,-0.661002,-0.038302,0.077298,0.921862,-1.742913,1.898866,-2.195856,-1.276075,-0.460227,-0.155701,-0.427312,0.418953,-0.171171,-3.017001,0.845001
17395.664000,0.929397,-1.700509,1.916297,-2.257848,-1.279888,-0.452998,-0.160766,-0.439172,0.398797,-0.171062,-3.016860,0.845035,0.077313,0.457024,0.160160,-0.644823,-0.039140,0.074494,0.929462,-1.700298,1.916190,-2.257868,-1.279838,-0.452878,-0.160780,-0.439247,0.398760,-0.171154,-3.017006,0.845004
17395.760000,0.936534,-1.655539,1.929853,-2.318783,-1.283456,-0.446018,-0.165799,-0.451045,0.378811,-0.171056,-3.016475,0.845608,0.071381,0.484188,0.124713,-0.635308,-0.032094,0.068789,0.936598,-1.655007,1.929837,-2.318725,-1.283416,-0.445998,-0.165859,-0.451182,0.378567,-0.171136,-3.017011,0.845006
17395.856000,0.943300,-1.607765,1.939841,-2.378282,-1.286868,-0.439481,-0.170861,-0.462996,0.358588,-0.171104,-3.016544,0.845575,0.067188,0.506751,0.081250,-0.616061,-0.033676,0.061383,0.943312,-1.607261,1.939764,-2.378175,-1.286823,-0.439546,-0.170937,-0.463116,0.358375,-0.171118,-3.017016,0.845009
17395.952000,0.949552,-1.557942,1.946092,-2.436047,-1.290101,-0.433531,-0.175956,-0.474888,0.338425,-0.171021,-3.016481,0.845625,0.062868,0.533902,0.048231,-0.591877,-0.029769,0.063373,0.949641,-1.557314,1.945938,-2.435947,-1.290070,-0.433486,-0.176016,-0.475051,0.338181,-0.171100,-3.017020,0.845012
17396.048000,0.955624,-1.506012,1.948403,-2.491873,-1.293179,-0.427810,-0.181011,-0.486872,0.318260,-0.170875,-3.016496,0.845714,0.059608,0.549063,0.004691,-0.572199,-0.036720,0.059993,0.955618,-1.505438,1.948339,-2.491762,-1.293166,-0.427787,-0.181095,-0.486986,0.317988,-0.171083,-3.017025,0.845015
17396.144000,0.961121,-1.453594,1.947157,-2.544071,-1.295981,-0.422628,-0.185996,-0.498549,0.298418,-0.170875,-3.016850,0.845359,0.052807,0.508579,-0.027688,-0.492983,-0.030728,0.050430,0.961132,-1.453283,1.947043,-2.544018,-1.296048,-0.422551,-0.186046,-0.498621,0.298304,-0.171065,-3.017030,0.845017
17396.240000,0.965456,-1.409426,1.943302,-2.585686,-1.298303,-0.418526,-0.190118,-0.508197,0.282176,-0.170822,-3.016648,0.845576,0.039065,0.409662,-0.047745,-0.373620,-0.014717,0.031375,0.965474,-1.409189,1.943270,-2.585427,-1.298332,-0.418445,-0.190138,-0.508237,0.282034,-0.171051,-3.017034,0.845020
17396.336000,0.968726,-1.375235,1.938799,-2.616001,-1.299848,-0.415490,-0.193193,-0.515558,0.269724,-0.170733,-3.016911,0.845526,0.027612,0.303677,-0.045738,-0.265858,-0.009947,0.026485,0.968659,-1.375102,1.938764,-2.615796,-1.300014,-0.415444,-0.193254,-0.515561,0.269641,-0.171040,-3.017037,0.845021
17396.432000,0.970833,-1.351391,1.934883,-2.636182,-1.300985,-0.413536,-0.195367,-0.520617,0.261091,-0.170761,-3.017117,0.845199,0.016567,0.190610,-0.033402,-0.163944,-0.031015,0.031542,0.970790,-1.351466,1.934853,-2.636046,-1.301143,-0.413441,-0.195396,-0.520595,0.261126,-0.171033,-3.017039,0.845023
17396.528000,0.971887,-1.338468,1.932440,-2.647082,-1.301608,-0.412492,-0.196585,-0.523347,0.256488,-0.170814,-3.016956,0.845339,0.005126,0.082822,-0.015672,-0.068670,0.040866,-0.027396,0.971931,-1.338527,1.932446,-2.646857,-1.301748,-0.412370,-0.196563,-0.523336,0.256487,-0.171029,-3.017040,0.845023
17396.720000,0.972055,-1.335866,1.931997,-2.649048,-1.301752,-0.412336,-0.196840,-0.523867,0.255505,-0.170889,-3.017115,0.845019,0.000000,0.000000,0.000307,0.000551,-0.000767,0.000959,0.972160,-1.335900,1.931934,-2.649029,-1.301870,-0.412155,-0.196799,-0.523892,0.255547,-0.171028,-3.017041,0.845023
