timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,task,img,wrist_img
1726692952.559614,0.896882,-1.849536,1.828607,-2.011737,-1.263866,-0.484713,-0.140956,-0.392791,0.477321,-2.596894,0.02583,3.035648,-2.4e-05,2.2e-05,5.9e-05,6.8e-05,-9.5e-05,-9.2e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692952.637807.jpeg,0_1726692952.611924.jpeg
1726692952.655614,0.896918,-1.84938,1.828774,-2.012325,-1.263938,-0.484678,-0.140992,-0.392851,0.477242,-2.596705,0.025653,3.03563,-4.2e-05,-4.6e-05,-7.8e-05,-0.000121,8.3e-05,-7.4e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692952.637807.jpeg,0_1726692952.659961.jpeg
1726692952.751614,0.898283,-1.844415,1.833241,-2.022506,-1.264454,-0.483562,-0.141794,-0.394673,0.474198,-2.596336,0.025451,3.035888,-5.1e-05,-0.000133,-0.000265,-0.000491,0.000287,-0.00033,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692952.7480147.jpeg,0_1726692952.7242403.jpeg
1726692952.847614,0.901588,-1.832541,1.843251,-2.044967,-1.265926,-0.480192,-0.143593,-0.398909,0.466989,-2.596604,0.025802,3.035797,-3.8e-05,-9.8e-05,-0.000165,-0.000225,-6.2e-05,-0.000236,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692952.8138402.jpeg,0_1726692952.8584082.jpeg
1726692952.943614,0.906642,-1.813699,1.857921,-2.079841,-1.268429,-0.47525,-0.146286,-0.40538,0.455963,-2.596708,0.025789,3.035733,-0.000105,-0.000118,-0.000125,-0.000124,-4.4e-05,-0.000168,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692952.9542735.jpeg,0_1726692952.9270985.jpeg
1726692953.039614,0.912917,-1.786641,1.875942,-2.126571,-1.271638,-0.468928,-0.150057,-0.414124,0.441075,-2.596893,0.025828,3.035466,-6.8e-05,-0.000157,-0.000101,5.6e-05,-7.7e-05,0.000105,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.0194926.jpeg,0_1726692953.060356.jpeg
1726692953.135614,0.920522,-1.750219,1.895677,-2.185013,-1.275314,-0.461635,-0.154752,-0.425184,0.422451,-2.596728,0.025721,3.035565,-7.4e-05,-0.000154,-0.000189,-0.000115,3.8e-05,1.4e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.1567378.jpeg,0_1726692953.1279402.jpeg
1726692953.231614,0.928259,-1.708064,1.913783,-2.247468,-1.279157,-0.454234,-0.159811,-0.437124,0.402207,-2.596667,0.025623,3.035639,-8.8e-05,-0.000147,-0.00014,-0.000182,0.000145,-5.2e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.222489.jpeg,0_1726692953.2605958.jpeg
1726692953.327613,0.935492,-1.66319,1.927937,-2.308632,-1.282917,-0.447217,-0.164905,-0.449077,0.382078,-2.596568,0.025444,3.035557,-6.8e-05,-0.000128,-0.000206,-0.000287,0.000333,4e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.3548846.jpeg,0_1726692953.3274555.jpeg
1726692953.423613,0.942379,-1.615883,1.938631,-2.368192,-1.286282,-0.440584,-0.169913,-0.461006,0.361827,-2.596747,0.025678,3.035603,-0.000133,-0.000132,-0.00015,-0.000115,0.000107,1e-06,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.4221106.jpeg,0_1726692953.3941407.jpeg
1726692953.519613,0.948678,-1.566384,1.94535,-2.426282,-1.289563,-0.434551,-0.175031,-0.47292,0.341734,-2.596573,0.025529,3.035601,-8.8e-05,-0.000151,-0.000253,-0.000295,0.000265,1.1e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.4888396.jpeg,0_1726692953.5276282.jpeg
1726692953.615613,0.95475,-1.514717,1.948379,-2.482325,-1.292616,-0.428793,-0.180102,-0.484887,0.321492,-2.596723,0.025685,3.03568,-9.1e-05,-0.000118,-0.000206,-0.00015,0.000118,-5.9e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.621203.jpeg,0_1726692953.59355.jpeg
1726692953.711613,0.960378,-1.461962,1.947697,-2.535856,-1.295502,-0.423372,-0.185139,-0.496707,0.301488,-2.596678,0.025753,3.035655,-6.9e-05,-9.5e-05,-0.000167,-0.000202,5.8e-05,-2.6e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.6884305.jpeg,0_1726692953.7278428.jpeg
1726692953.807613,0.964977,-1.416092,1.944236,-2.57933,-1.29792,-0.419018,-0.189389,-0.506741,0.284489,-2.596757,0.025795,3.035658,-7e-05,-6e-05,-8.9e-05,-0.000128,2.3e-05,-2.2e-05,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.8210297.jpeg,0_1726692953.793002.jpeg
1726692953.903613,0.968354,-1.379922,1.939661,-2.611432,-1.29956,-0.415911,-0.192704,-0.514527,0.27129,-2.596987,0.026025,3.035792,-3.2e-05,1.9e-05,6.6e-05,9.8e-05,-0.000201,-0.00015,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692953.8869877.jpeg,0_1726692953.925657.jpeg
1726692953.999613,0.970666,-1.354423,1.935565,-2.63346,-1.30071,-0.4138,-0.195008,-0.519965,0.262098,-2.596907,0.026025,3.035888,-3e-05,4.1e-05,9.2e-05,1.5e-05,-0.000197,-0.000243,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692954.0193658.jpeg,0_1726692953.9918675.jpeg
1726692954.095613,0.972139,-1.335746,1.932128,-2.649108,-1.301872,-0.412528,-0.196799,-0.523871,0.255387,-2.597016,0.025656,3.035816,6.9e-05,-3.3e-05,6.8e-05,0.000122,0.000174,-0.000168,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692954.0857837.jpeg,0_1726692954.1253514.jpeg
1726692954.191613,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,5.6e-05,-3.7e-05,3.4e-05,7.8e-05,0.00012,-0.000126,42.475268,0.0,0.0,0.0,0.0,moving to grasp yellow ducky,0_1726692954.152949.jpeg,0_1726692954.191613.jpeg
1726692978.549353,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,42.475268,-2.959584,0.046179,0.981,0.0,grasping yellow ducky,1_1726692978.552451.jpeg,1_1726692978.5231404.jpeg
1726692978.761794,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,39.515684,-1.370353,0.065983,0.981,0.0,grasping yellow ducky,1_1726692978.7544591.jpeg,1_1726692978.7905712.jpeg
1726692978.926252,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,38.145331,-2.289412,0.134931,0.981,0.05,grasping yellow ducky,1_1726692978.8990326.jpeg,1_1726692978.9322283.jpeg
1726692979.125039,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,35.855919,-1.606374,0.179588,1.031,0.05,grasping yellow ducky,1_1726692979.1530955.jpeg,1_1726692979.1234128.jpeg
1726692979.319943,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,34.249545,-1.83799,0.097254,1.081,0.0,grasping yellow ducky,1_1726692979.3541346.jpeg,1_1726692979.3231063.jpeg
1726692979.514392,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,32.411555,-1.609811,0.169591,1.081,0.05,grasping yellow ducky,1_1726692979.4855273.jpeg,1_1726692979.5224907.jpeg
1726692979.722874,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,30.801744,-0.690563,0.101357,1.131,0.05,grasping yellow ducky,1_1726692979.7513576.jpeg,1_1726692979.7226727.jpeg
1726692979.929335,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,30.111181,-0.23002,0.142078,1.181,0.05,grasping yellow ducky,1_1726692979.9517286.jpeg,1_1726692979.9229283.jpeg
1726692980.165274,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,29.881161,0.0,0.282951,1.231,0.05,grasping yellow ducky,1_1726692980.1515331.jpeg,1_1726692980.1889694.jpeg
1726692980.473159,0.972151,-1.335806,1.932117,-2.649072,-1.301836,-0.412444,-0.196786,-0.523867,0.255421,-2.596972,0.02571,3.035774,0.0,0.0,0.0,0.0,0.0,0.0,29.881161,0.0,0.154894,1.281,0.0,grasping yellow ducky,1_1726692980.484476.jpeg,1_1726692980.455763.jpeg
1726692987.325764,0.992474,-1.368222,1.909627,-2.550691,-1.354581,-0.413716,-0.188272,-0.523223,0.270371,-2.657252,0.002674,3.032458,-4e-06,-1.6e-05,-2.3e-05,-1.9e-05,6.4e-05,3.6e-05,29.881161,0.0,0.154894,1.281,0.0,moving back to original position with yellow ducky,2_1726692987.422625.jpeg,2_1726692987.4001584.jpeg
1726692987.421764,0.992355,-1.369097,1.909819,-2.549624,-1.354461,-0.413835,-0.188196,-0.523005,0.270631,-2.657548,0.002884,3.032489,2.9e-05,6.8e-05,0.000196,0.000417,-9.2e-05,1e-05,29.881161,0.0,0.154894,1.281,0.0,moving back to original position with yellow ducky,2_1726692987.422625.jpeg,2_1726692987.4001584.jpeg
1726692987.517764,0.991097,-1.379515,1.911915,-2.541937,-1.353335,-0.414531,-0.187332,-0.520589,0.27439,-2.656544,0.003149,3.032283,3.9e-05,6.4e-05,0.000265,0.00053,7e-05,0.000261,29.881161,0.0,0.154894,1.281,0.0,moving back to original position with yellow ducky,2_1726692987.5516114.jpeg,2_1726692987.5156577.jpeg
1726692987.613764,0.988522,-1.400506,1.915483,-2.526141,-1.350199,-0.416318,-0.185553,-0.515788,0.282148,-2.653854,0.00404,3.032541,9e-06,8.7e-05,0.000162,7.4e-05,3.2e-05,9.2e-05,29.881161,0.0,0.154894,1.281,0.0,moving back to original position with yellow ducky,2_1726692987.620078.jpeg,2_1726692987.5837789.jpeg
1726692987.709764,0.98445,-1.431497,1.91995,-2.501433,-1.345744,-0.419137,-0.182971,-0.508569,0.293576,-2.650468,0.00537,3.032732,5.1e-05,0.000104,0.000217,3.8e-05,-1.9e-05,3.9e-05,29.881161,0.0,0.154894,1.281,0.0,moving back to original position with yellow ducky,2_1726692987.6871476.jpeg,2_1726692987.72119.jpeg
1726692987.805764,0.978965,-1.472357,1.924069,-2.467008,-1.339781,-0.423012,-0.179446,-0.498949,0.30884,-2.646014,0.007117,3.033041,2.3e-05,0.000133,0.000263,5.2e-05,-6e-05,-7.9e-05,29.881161,0.0,0.154894,1.281,0.0,moving back to original position with yellow ducky,2_1726692987.8245332.jpeg,2_1726692987.7872262.jpeg
1726692987.901764,0.971612,-1.522103,1.926093,-2.421867,-1.332249,-0.428061,-0.175174,-0.486968,0.327839,-2.640653,0.009347,3.033142,8.6e-05,0.000111,0.00024,0.000229,-0.000179,6.5e-05,29.881161,0.0,0.154894,1.281,0.0,moving back to original position with yellow ducky,2_1726692987.8887146.jpeg,2_1726692987.9210024.jpeg
1726692987.997764,0.96354,-1.572823,1.924776,-2.372536,-1.324275,-0.433843,-0.170654,-0.4744,0.347752,-2.634947,0.011443,3.033346,0.000121,0.000106,0.000262,0.000341,-5.6e-05,0.000133,29.881161,0.0,0.154894,1.281,0.0,moving back to original position with yellow ducky,2_1726692988.0229537.jpeg,2_1726692987.9935992.jpeg
