timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17717.752000,0.896834,-1.849620,1.828499,-2.011785,-1.263902,-0.484737,-0.140959,-0.392761,0.477414,-0.170873,-3.016979,0.845125,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.896810,-1.849572,1.828511,-2.011713,-1.263914,-0.484713,-0.140980,-0.392769,0.477380,-0.170988,-3.017082,0.844970
17717.848000,0.896906,-1.849117,1.828511,-2.012481,-1.264034,-0.484713,-0.141073,-0.392934,0.477289,-0.170785,-3.016775,0.845198,0.003503,0.036138,-0.000000,-0.033340,-0.004674,0.000000,0.896946,-1.848764,1.828551,-2.012601,-1.263979,-0.484581,-0.141140,-0.393050,0.477145,-0.170988,-3.017082,0.844971
17717.944000,0.898211,-1.840576,1.828810,-2.021797,-1.264466,-0.483550,-0.142797,-0.395888,0.474854,-0.170516,-3.016784,0.845489,0.021271,0.140180,0.002352,-0.150090,-0.006879,0.034395,0.898367,-1.840199,1.828909,-2.021935,-1.264654,-0.483194,-0.142840,-0.396018,0.474665,-0.170985,-3.017080,0.844974
17718.040000,0.901061,-1.822358,1.829205,-2.041005,-1.265782,-0.480707,-0.146397,-0.402134,0.469594,-0.170657,-3.017014,0.845296,0.037685,0.238994,0.003132,-0.246995,-0.016179,0.037439,0.901253,-1.822132,1.829286,-2.041213,-1.266029,-0.480378,-0.146392,-0.402222,0.469480,-0.170980,-3.017076,0.844980
17718.136000,0.905409,-1.794365,1.828918,-2.069745,-1.267865,-0.476401,-0.151767,-0.411628,0.461613,-0.170823,-3.017202,0.845076,0.048231,0.344468,-0.008718,-0.347806,-0.040627,0.049735,0.905435,-1.794246,1.828898,-2.069911,-1.268035,-0.476300,-0.151799,-0.411664,0.461590,-0.170973,-3.017069,0.844991
17718.232000,0.910642,-1.756203,1.826835,-2.107090,-1.270548,-0.471123,-0.159046,-0.424298,0.450876,-0.171198,-3.017326,0.844704,0.057166,0.453010,-0.038043,-0.416476,-0.032070,0.058291,0.910687,-1.756118,1.826556,-2.107194,-1.270574,-0.471182,-0.159058,-0.424343,0.450994,-0.170963,-3.017060,0.845004
17718.328000,0.916654,-1.707597,1.820931,-2.151742,-1.273529,-0.465185,-0.168135,-0.440137,0.437692,-0.171258,-3.017086,0.844959,0.066588,0.541700,-0.087066,-0.485697,-0.031471,0.059993,0.916729,-1.707493,1.820711,-2.151679,-1.273524,-0.465303,-0.168132,-0.440190,0.437751,-0.170950,-3.017049,0.845021
17718.424000,0.922570,-1.654939,1.811040,-2.196210,-1.276439,-0.459572,-0.177759,-0.456989,0.423692,-0.171029,-3.017014,0.845026,0.060183,0.557640,-0.117644,-0.453531,-0.027180,0.054049,0.922598,-1.654762,1.810961,-2.196300,-1.276419,-0.459602,-0.177786,-0.457049,0.423661,-0.170937,-3.017037,0.845039
17718.520000,0.927936,-1.601253,1.797809,-2.237819,-1.279109,-0.454498,-0.187429,-0.473870,0.409474,-0.170915,-3.017261,0.844671,0.054277,0.559110,-0.156568,-0.419448,-0.028954,0.055367,0.927963,-1.601201,1.797608,-2.237993,-1.279092,-0.454402,-0.187440,-0.473909,0.409571,-0.170923,-3.017025,0.845057
17718.616000,0.932930,-1.547055,1.780877,-2.276604,-1.281612,-0.449688,-0.197052,-0.490743,0.395415,-0.170833,-3.017120,0.844860,0.048602,0.564569,-0.196043,-0.389847,-0.022674,0.045109,0.932887,-1.546994,1.780695,-2.276634,-1.281566,-0.449642,-0.197094,-0.490770,0.395481,-0.170910,-3.017013,0.845075
17718.712000,0.937109,-1.495820,1.761755,-2.310024,-1.283600,-0.445502,-0.206134,-0.506541,0.382266,-0.170964,-3.017072,0.845207,0.037940,0.482603,-0.193831,-0.301978,-0.038182,0.039955,0.937137,-1.495908,1.761712,-2.309891,-1.283716,-0.445545,-0.206115,-0.506523,0.382315,-0.170897,-3.017001,0.845092
