timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17949.544000,0.896798,-1.849512,1.828559,-2.011689,-1.263866,-0.484725,-0.140994,-0.392786,0.477330,-0.171010,-3.017219,0.844874,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.896810,-1.849572,1.828511,-2.011713,-1.263914,-0.484713,-0.140980,-0.392769,0.477380,-0.170988,-3.017082,0.844970
17949.640000,0.896882,-1.849129,1.828774,-2.012505,-1.263974,-0.484713,-0.141073,-0.392925,0.477164,-0.170868,-3.017000,0.845010,0.005075,0.027100,0.015749,-0.044653,-0.005728,0.000000,0.896944,-1.848933,1.828853,-2.012733,-1.263978,-0.484582,-0.141099,-0.392997,0.477073,-0.170988,-3.017083,0.844970
17949.736000,0.898151,-1.842532,1.832115,-2.023274,-1.264454,-0.483622,-0.142326,-0.395260,0.474118,-0.170447,-3.016652,0.845631,0.021629,0.111623,0.058879,-0.169361,-0.020062,0.020924,0.898345,-1.842135,1.832401,-2.023482,-1.264648,-0.483208,-0.142357,-0.395398,0.473834,-0.170988,-3.017084,0.844969
17949.832000,0.901037,-1.827828,1.839324,-2.045459,-1.265746,-0.480683,-0.144992,-0.400347,0.467163,-0.170747,-3.017210,0.845126,0.038771,0.192208,0.088754,-0.284242,-0.031375,0.037319,0.901208,-1.827648,1.839461,-2.045850,-1.266023,-0.480400,-0.144988,-0.400419,0.467061,-0.170989,-3.017089,0.844966
17949.928000,0.905385,-1.805243,1.849215,-2.079229,-1.267865,-0.476341,-0.148905,-0.407963,0.456880,-0.170872,-3.017169,0.845165,0.051529,0.279108,0.113400,-0.399698,-0.020086,0.049854,0.905397,-1.804909,1.849266,-2.079588,-1.268048,-0.476294,-0.148992,-0.408060,0.456755,-0.170990,-3.017095,0.844962
17950.024000,0.910690,-1.773761,1.860626,-2.123931,-1.270596,-0.471015,-0.154235,-0.418127,0.443162,-0.171027,-3.016850,0.845366,0.059940,0.380363,0.120763,-0.519780,-0.034491,0.059777,0.910729,-1.773105,1.860643,-2.124276,-1.270649,-0.471071,-0.154369,-0.418321,0.442915,-0.170991,-3.017103,0.844956
17950.120000,0.916858,-1.731965,1.871978,-2.178628,-1.273757,-0.464922,-0.161017,-0.430972,0.425799,-0.171204,-3.016952,0.845059,0.068211,0.474959,0.112492,-0.597054,-0.034419,0.059418,0.916960,-1.731421,1.871958,-2.179018,-1.273725,-0.464975,-0.161090,-0.431145,0.425618,-0.170993,-3.017114,0.844948
17950.216000,0.923025,-1.685507,1.880540,-2.235407,-1.276810,-0.459008,-0.168151,-0.444603,0.407400,-0.171013,-3.016917,0.845135,0.062919,0.497061,0.069783,-0.579006,-0.034610,0.061072,0.923114,-1.684897,1.880431,-2.235716,-1.276803,-0.458965,-0.168240,-0.444789,0.407214,-0.170995,-3.017125,0.844940
17950.312000,0.928738,-1.636964,1.885306,-2.290356,-1.279684,-0.453466,-0.175312,-0.458257,0.389022,-0.170947,-3.016869,0.845237,0.060222,0.513078,0.029644,-0.556643,-0.026941,0.055870,0.928831,-1.636355,1.885212,-2.290599,-1.279699,-0.453394,-0.175390,-0.458433,0.388810,-0.170997,-3.017136,0.844933
17950.408000,0.934163,-1.586601,1.886264,-2.343284,-1.282474,-0.448189,-0.182446,-0.471950,0.370676,-0.170927,-3.016750,0.845381,0.053715,0.534528,-0.009370,-0.538811,-0.025287,0.051652,0.934156,-1.586038,1.886292,-2.343431,-1.282429,-0.448218,-0.182540,-0.472078,0.370406,-0.170998,-3.017147,0.844925
