timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
18200.976000,0.896810,-1.849572,1.828583,-2.011797,-1.263914,-0.484690,-0.140980,-0.392770,0.477353,-0.171020,-3.017076,0.844985,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.896810,-1.849572,1.828511,-2.011713,-1.263914,-0.484713,-0.140980,-0.392769,0.477380,-0.170988,-3.017082,0.844970
18201.072000,0.896941,-1.849320,1.828690,-2.012325,-1.263926,-0.484690,-0.140998,-0.392875,0.477262,-0.170773,-3.016969,0.845167,0.010124,0.022217,0.006788,-0.052347,0.000000,0.000000,0.896948,-1.849166,1.828740,-2.012388,-1.263979,-0.484580,-0.141036,-0.392921,0.477181,-0.170988,-3.017082,0.844970
18201.168000,0.898749,-1.843395,1.831840,-2.022313,-1.264729,-0.483082,-0.141890,-0.395058,0.474481,-0.170423,-3.016628,0.845634,0.033824,0.106612,0.058023,-0.165910,-0.016994,0.034059,0.899002,-1.843033,1.832130,-2.022495,-1.264938,-0.482597,-0.141890,-0.395193,0.474206,-0.170988,-3.017082,0.844971
18201.264000,0.903253,-1.829470,1.839144,-2.044427,-1.266860,-0.478584,-0.143784,-0.400117,0.467771,-0.170783,-3.016978,0.845200,0.058726,0.182799,0.093598,-0.281869,-0.038134,0.060592,0.903427,-1.829289,1.839259,-2.044618,-1.267010,-0.478330,-0.143768,-0.400191,0.467659,-0.170989,-3.017082,0.844971
18201.360000,0.909971,-1.807750,1.849358,-2.078364,-1.270057,-0.471963,-0.146600,-0.407802,0.457690,-0.170994,-3.016879,0.845312,0.077543,0.273713,0.119075,-0.408470,-0.040890,0.073343,0.910018,-1.807383,1.849383,-2.078496,-1.270115,-0.471980,-0.146670,-0.407915,0.457541,-0.170991,-3.017082,0.844972
18201.456000,0.918379,-1.776999,1.861381,-2.123595,-1.274176,-0.463818,-0.150535,-0.418203,0.444035,-0.171087,-3.016702,0.845345,0.099146,0.370904,0.126400,-0.523663,-0.044390,0.092039,0.918491,-1.776500,1.861349,-2.123686,-1.274140,-0.463832,-0.150596,-0.418366,0.443852,-0.170993,-3.017081,0.844973
18201.552000,0.928379,-1.736043,1.873583,-2.179300,-1.278905,-0.454402,-0.155511,-0.431408,0.426749,-0.170845,-3.016862,0.845215,0.110383,0.471674,0.119983,-0.625601,-0.055008,0.107163,0.928490,-1.735695,1.873568,-2.179428,-1.278941,-0.454238,-0.155538,-0.431522,0.426619,-0.170995,-3.017081,0.844974
18201.648000,0.938498,-1.689740,1.883319,-2.237999,-1.283875,-0.444626,-0.160824,-0.445621,0.408092,-0.171025,-3.016875,0.845127,0.099594,0.494351,0.083334,-0.598061,-0.049543,0.096976,0.938530,-1.689426,1.883178,-2.237985,-1.283816,-0.444633,-0.160873,-0.445721,0.408020,-0.170998,-3.017080,0.844975
18201.744000,0.947792,-1.641413,1.889066,-2.294724,-1.288449,-0.435714,-0.166186,-0.459820,0.389586,-0.171043,-3.016694,0.845374,0.094468,0.510100,0.040126,-0.577376,-0.042304,0.086215,0.947870,-1.641064,1.889058,-2.294671,-1.288401,-0.435725,-0.166207,-0.459920,0.389421,-0.171001,-3.017080,0.844976
18201.936000,0.964666,-1.539285,1.889689,-2.401701,-1.296770,-0.419785,-0.176864,-0.488252,0.352323,-0.170909,-3.016797,0.845375,0.082260,0.547209,-0.032712,-0.533921,-0.041154,0.078137,0.964727,-1.539054,1.889612,-2.401529,-1.296801,-0.419726,-0.176876,-0.488318,0.352223,-0.171006,-3.017079,0.844979
