timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,task,img,wrist_img
1726693682.969267,0.89681,-1.849572,1.828583,-2.011797,-1.263914,-0.48469,-0.14098,-0.39277,0.477353,-2.596816,0.025742,3.035537,0.0,1e-06,2.7e-05,-1e-05,-6e-06,2e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.0395787.jpeg,0_1726693683.0149326.jpeg
1726693683.065267,0.896941,-1.84932,1.82869,-2.012325,-1.263926,-0.48469,-0.140998,-0.392875,0.477262,-2.596679,0.025642,3.03567,-3.8e-05,-4.6e-05,-8.1e-05,-0.000147,9.3e-05,-0.000114,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.0882502.jpeg,0_1726693683.06294.jpeg
1726693683.161267,0.898749,-1.843395,1.83184,-2.022313,-1.264729,-0.483082,-0.14189,-0.395058,0.474481,-2.596318,0.02539,3.035823,0.0,-0.000135,-0.000275,-0.000507,0.000346,-0.000267,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.1346319.jpeg,0_1726693683.170743.jpeg
1726693683.257267,0.903253,-1.82947,1.839144,-2.044427,-1.26686,-0.478584,-0.143784,-0.400117,0.467771,-2.596661,0.025662,3.035669,1.6e-05,-7.4e-05,-0.000112,-0.000164,7.4e-05,-0.000114,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.2624114.jpeg,0_1726693683.2385767.jpeg
1726693683.353267,0.909971,-1.80775,1.849358,-2.078364,-1.270057,-0.471963,-0.1466,-0.407802,0.45769,-2.596577,0.025652,3.035525,-7e-05,-0.000113,-0.000149,-0.000248,8.5e-05,3e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.3344893.jpeg,0_1726693683.3740726.jpeg
1726693683.449267,0.918379,-1.776999,1.861381,-2.123595,-1.274176,-0.463818,-0.150535,-0.418203,0.444035,-2.596521,0.025522,3.035421,-6.1e-05,-0.000163,-0.000183,-0.000304,0.000215,0.000132,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.4691112.jpeg,0_1726693683.4396482.jpeg
1726693683.545267,0.928379,-1.736043,1.873583,-2.1793,-1.278905,-0.454402,-0.155511,-0.431408,0.426749,-2.596629,0.025575,3.0356,-2.7e-05,-0.000114,-0.00013,-0.000195,0.000162,-4.8e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.5372913.jpeg,0_1726693683.5748277.jpeg
1726693683.641267,0.938498,-1.68974,1.883319,-2.237999,-1.283875,-0.444626,-0.160824,-0.445621,0.408092,-2.596688,0.025601,3.035488,-4.9e-05,-0.0001,-7.2e-05,-0.000135,0.000136,6.2e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.668599.jpeg,0_1726693683.6404357.jpeg
1726693683.737267,0.947792,-1.641413,1.889066,-2.294724,-1.288449,-0.435714,-0.166186,-0.45982,0.389586,-2.596501,0.025513,3.035448,-2.1e-05,-0.0001,-0.000165,-0.000322,0.000226,0.000101,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.7353888.jpeg,0_1726693683.7069592.jpeg
1726693683.833267,0.964666,-1.539285,1.889689,-2.401701,-1.29677,-0.419785,-0.176864,-0.488252,0.352323,-2.59652,0.025577,3.035557,-1.2e-05,-6.6e-05,-0.0001,-0.000301,0.000163,-1.2e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,0_1726693683.8036077.jpeg,0_1726693683.8403404.jpeg
