timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19661.216000,0.896762,-1.849656,1.828619,-2.011833,-1.263878,-0.484725,-0.140976,-0.392740,0.477373,-0.171000,-3.017003,0.845106,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.896786,-1.849620,1.828571,-2.011785,-1.263914,-0.484762,-0.140978,-0.392752,0.477377,-0.170932,-3.017014,0.845030
19661.312000,0.896798,-1.849260,1.828810,-2.012733,-1.263974,-0.484762,-0.141077,-0.392878,0.477224,-0.170823,-3.016683,0.845351,0.000000,0.025950,0.017347,-0.048872,0.000000,0.000000,0.896876,-1.849006,1.828943,-2.012798,-1.263959,-0.484672,-0.141106,-0.392966,0.477064,-0.170932,-3.017014,0.845030
19661.408000,0.897636,-1.842855,1.832487,-2.023286,-1.264334,-0.484030,-0.142439,-0.395087,0.474060,-0.170566,-3.016506,0.845643,0.015685,0.109731,0.063686,-0.165622,-0.009180,0.021596,0.897817,-1.842469,1.832810,-2.023481,-1.264423,-0.483728,-0.142464,-0.395224,0.473762,-0.170933,-3.017014,0.845032
19661.504000,0.899564,-1.828679,1.840437,-2.045351,-1.265148,-0.482135,-0.145316,-0.399874,0.466937,-0.170650,-3.017131,0.845099,0.025975,0.184103,0.098021,-0.284577,-0.006471,0.021979,0.899740,-1.828517,1.840541,-2.045732,-1.265378,-0.481800,-0.145304,-0.399944,0.466859,-0.170936,-3.017013,0.845034
19661.600000,0.902510,-1.806898,1.851310,-2.078988,-1.266597,-0.479088,-0.149550,-0.407025,0.456489,-0.170765,-3.017057,0.845257,0.035026,0.272154,0.125978,-0.398739,-0.009252,0.035018,0.902557,-1.806562,1.851383,-2.079359,-1.266788,-0.478974,-0.149625,-0.407127,0.456353,-0.170939,-3.017013,0.845038
19661.696000,0.906163,-1.776208,1.864135,-2.123655,-1.268405,-0.475382,-0.155303,-0.416650,0.442423,-0.170805,-3.017017,0.845392,0.040625,0.370725,0.137509,-0.518030,-0.024472,0.041969,0.906147,-1.775748,1.864176,-2.124017,-1.268605,-0.475373,-0.155427,-0.416773,0.442246,-0.170944,-3.017012,0.845043
19661.792000,0.910319,-1.735503,1.877403,-2.178531,-1.270692,-0.471111,-0.162614,-0.428731,0.424649,-0.171101,-3.017208,0.844922,0.045240,0.459593,0.126822,-0.604005,-0.023082,0.044485,0.910350,-1.735199,1.877296,-2.178910,-1.270765,-0.471159,-0.162680,-0.428830,0.424614,-0.170950,-3.017011,0.845050
19661.888000,0.914451,-1.690040,1.887869,-2.235623,-1.272919,-0.466924,-0.170347,-0.441553,0.405872,-0.171208,-3.017202,0.844831,0.042517,0.485646,0.091016,-0.582817,-0.032238,0.039716,0.914509,-1.689744,1.887723,-2.235994,-1.272938,-0.466994,-0.170395,-0.441657,0.405855,-0.170956,-3.017010,0.845057
19661.984000,0.918355,-1.642276,1.894491,-2.291268,-1.274871,-0.463147,-0.178082,-0.454442,0.387139,-0.170945,-3.017133,0.845099,0.041520,0.504041,0.049356,-0.569011,-0.019271,0.039428,0.918378,-1.642123,1.894482,-2.291484,-1.274993,-0.463124,-0.178111,-0.454484,0.387096,-0.170962,-3.017009,0.845064
19662.080000,0.921972,-1.592644,1.897641,-2.344964,-1.276726,-0.459536,-0.185798,-0.467287,0.368311,-0.170957,-3.017288,0.845073,0.037250,0.529607,0.012668,-0.547368,-0.009252,0.035282,0.921988,-1.592574,1.897553,-2.345129,-1.276941,-0.459524,-0.185827,-0.467311,0.368336,-0.170969,-3.017008,0.845071
