timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,task,img,wrist_img
1726695143.13649,0.896762,-1.849656,1.828619,-2.011833,-1.263878,-0.484725,-0.140976,-0.39274,0.477373,-2.596728,0.025706,3.035538,-2e-06,-1.2e-05,4e-06,-4.7e-05,-2.7e-05,3.7e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.2106175.jpeg,0_1726695143.182264.jpeg
1726695143.23249,0.896798,-1.84926,1.82881,-2.012733,-1.263974,-0.484762,-0.141077,-0.392878,0.477224,-2.596508,0.025447,3.035574,-2.9e-05,-8.8e-05,-0.00016,-0.000267,0.000232,1e-06,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.2106175.jpeg,0_1726695143.2400787.jpeg
1726695143.32849,0.897636,-1.842855,1.832487,-2.023286,-1.264334,-0.48403,-0.142439,-0.395087,0.47406,-2.596289,0.025314,3.035703,-2.5e-05,-0.000137,-0.000298,-0.000484,0.000366,-0.000128,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.3271883.jpeg,0_1726695143.3027847.jpeg
1726695143.42449,0.899564,-1.828679,1.840437,-2.045351,-1.265148,-0.482135,-0.145316,-0.399874,0.466937,-2.596753,0.025742,3.035784,1.2e-05,-7e-05,-7.8e-05,-1.9e-05,-6.2e-05,-0.000211,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.3920028.jpeg,0_1726695143.434534.jpeg
1726695143.52049,0.90251,-1.806898,1.85131,-2.078988,-1.266597,-0.479088,-0.14955,-0.407025,0.456489,-2.596644,0.025746,3.035708,-7.5e-05,-0.000102,-0.000136,-0.000125,-6.4e-05,-0.000136,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.52764.jpeg,0_1726695143.5031326.jpeg
1726695143.61649,0.906163,-1.776208,1.864135,-2.123655,-1.268405,-0.475382,-0.155303,-0.41665,0.442423,-2.596555,0.025758,3.035685,-0.000124,-0.000123,-0.000177,-0.000211,-7.4e-05,-0.000116,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.5917792.jpeg,0_1726695143.6345062.jpeg
1726695143.712489,0.910319,-1.735503,1.877403,-2.178531,-1.270692,-0.471111,-0.162614,-0.428731,0.424649,-2.596884,0.025861,3.03552,-6.6e-05,-9.9e-05,-3.5e-05,0.000122,-0.000175,4.5e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.7264674.jpeg,0_1726695143.702073.jpeg
1726695143.808489,0.914451,-1.69004,1.887869,-2.235623,-1.272919,-0.466924,-0.170347,-0.441553,0.405872,-2.59694,0.025853,3.035447,-4.8e-05,-0.000104,-1.7e-05,0.000182,-0.000165,0.000116,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.7935615.jpeg,0_1726695143.8345256.jpeg
1726695143.904489,0.918355,-1.642276,1.894491,-2.291268,-1.274871,-0.463147,-0.178082,-0.454442,0.387139,-2.596759,0.025809,3.035608,-2.9e-05,-4.2e-05,-4.3e-05,6e-06,-0.000119,-4.9e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.9268808.jpeg,0_1726695143.9022522.jpeg
1726695144.000489,0.921972,-1.592644,1.897641,-2.344964,-1.276726,-0.459536,-0.185798,-0.467287,0.368311,-2.596808,0.025945,3.035643,-2.9e-05,-2.4e-05,2.5e-05,5.9e-05,-0.000252,-8.8e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695143.9976614.jpeg,0_1726695143.9700193.jpeg
1726695144.096489,0.925289,-1.541347,1.897018,-2.396542,-1.278607,-0.456238,-0.193557,-0.480117,0.349519,-2.596859,0.025916,3.035614,1.4e-05,-2.1e-05,5.8e-05,0.000114,-0.00022,-6.2e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695144.1253033.jpeg,0_1726695144.100902.jpeg
1726695144.192489,0.928546,-1.488771,1.892755,-2.445644,-1.280486,-0.453023,-0.201221,-0.492935,0.330753,-2.596997,0.025909,3.03557,-3.8e-05,-3.1e-05,6.4e-05,0.000256,-0.000211,-2.2e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695144.1918027.jpeg,0_1726695144.1675332.jpeg
1726695144.288489,0.933648,-1.392846,1.876122,-2.526609,-1.28324,-0.447949,-0.214905,-0.515658,0.297572,-2.596708,0.025894,3.035578,1.2e-05,2.7e-05,9.8e-05,-2.5e-05,-0.000191,-3.6e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695144.2585933.jpeg,0_1726695144.3012872.jpeg
1726695144.384489,0.935277,-1.35965,1.86774,-2.552059,-1.284127,-0.446497,-0.219567,-0.523408,0.286355,-2.596521,0.025753,3.035717,6e-06,1.8e-05,-3.2e-05,-0.00021,-5e-05,-0.000177,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695144.391639.jpeg,0_1726695144.3673306.jpeg
1726695144.480489,0.936354,-1.336777,1.861369,-2.568885,-1.284665,-0.445454,-0.222746,-0.528699,0.278617,-2.596458,0.025792,3.035757,0.0,1.3e-05,-4e-05,-0.000271,-8.7e-05,-0.000219,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695144.4577363.jpeg,0_1726695144.5004904.jpeg
1726695144.576489,0.936762,-1.324262,1.857741,-2.577603,-1.285216,-0.44495,-0.224571,-0.531513,0.274316,-2.596835,0.025753,3.035523,0.00012,-6e-06,0.000118,0.000107,-4.7e-05,1.5e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695144.592089.jpeg,0_1726695144.5681288.jpeg
1726695144.672489,0.936905,-1.322236,1.857094,-2.578958,-1.285228,-0.444854,-0.224824,-0.531995,0.273637,-2.596859,0.025812,3.035587,6e-05,-4.5e-05,3.5e-05,0.000131,-0.000106,-4.9e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695144.6563678.jpeg,0_1726695144.7007847.jpeg
1726695144.768489,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,5.4e-05,-4.3e-05,4.9e-05,0.000169,-0.000134,-2.3e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,0_1726695144.7233336.jpeg,0_1726695144.768489.jpeg
1726695154.922242,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,81.999298,-1.851219,0.181537,1.22625,0.3,grasping circuit board,1_1726695154.9260774.jpeg,1_1726695154.8982284.jpeg
1726695155.08905,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,80.148078,-1.900279,0.111521,1.52625,0.3,grasping circuit board,1_1726695155.0591896.jpeg,1_1726695155.1059604.jpeg
1726695155.286452,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,78.2478,-2.682836,0.136214,1.82625,0.3,grasping circuit board,1_1726695155.259212.jpeg,1_1726695155.2981756.jpeg
1726695155.49168,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,75.564963,-2.154431,0.161892,2.12625,0.3,grasping circuit board,1_1726695155.458746.jpeg,1_1726695155.5011094.jpeg
1726695155.698057,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,73.410532,-1.592071,0.156388,2.42625,0.3,grasping circuit board,1_1726695155.7291937.jpeg,1_1726695155.700262.jpeg
1726695155.889898,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,71.818461,-2.016213,0.189362,2.72625,0.3,grasping circuit board,1_1726695155.8580441.jpeg,1_1726695155.8982637.jpeg
1726695156.083834,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,69.802248,-1.633047,0.128777,3.02625,0.3,grasping circuit board,1_1726695156.0592208.jpeg,1_1726695156.0988488.jpeg
1726695156.274589,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,68.169201,-2.061195,0.175156,3.32625,0.3,grasping circuit board,1_1726695156.278862.jpeg,1_1726695156.2999618.jpeg
1726695156.485913,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,66.108007,-0.833381,0.202286,3.62625,0.3,grasping circuit board,1_1726695156.4598627.jpeg,1_1726695156.4997363.jpeg
1726695156.678881,0.936917,-1.322224,1.857106,-2.578946,-1.28524,-0.444818,-0.224818,-0.531997,0.273623,-2.596897,0.02584,3.035561,0.0,0.0,0.0,0.0,0.0,0.0,65.274626,0.0,0.162121,3.92625,0.0,grasping circuit board,1_1726695156.6593034.jpeg,1_1726695156.6979423.jpeg
1726695161.16441,0.937037,-1.306209,1.862063,-2.571091,-1.285168,-0.444674,-0.22562,-0.533212,0.261414,-2.621817,0.040437,3.03474,-1.2e-05,2e-06,-3.3e-05,-4.8e-05,-3.4e-05,-3.9e-05,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.2390814.jpeg,2_1726695161.2151132.jpeg
1726695161.26041,0.936965,-1.307132,1.862519,-2.570348,-1.285156,-0.444698,-0.225486,-0.532961,0.261639,-2.622051,0.040569,3.03468,3.3e-05,5e-05,0.000201,0.00024,-0.000199,2.3e-05,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.279438.jpeg,2_1726695161.2565594.jpeg
1726695161.35641,0.93651,-1.317729,1.865775,-2.5635,-1.285012,-0.445094,-0.224053,-0.530582,0.2653,-2.621565,0.040204,3.034611,3.9e-05,5.7e-05,0.00021,0.000181,-8.4e-05,0.00011,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.326851.jpeg,2_1726695161.3615575.jpeg
1726695161.45241,0.93554,-1.339067,1.871847,-2.549024,-1.284689,-0.445922,-0.221187,-0.525786,0.272704,-2.620747,0.039579,3.034446,5e-05,3.4e-05,0.000146,0.000216,4.1e-05,0.00031,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.460157.jpeg,2_1726695161.428172.jpeg
1726695161.54841,0.934127,-1.370763,1.879965,-2.526992,-1.283947,-0.447409,-0.216855,-0.518654,0.283798,-2.619087,0.038539,3.034578,3.3e-05,6.2e-05,6.2e-05,-0.000165,0.000332,0.000232,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.526894.jpeg,2_1726695161.56298.jpeg
1726695161.64441,0.932055,-1.412759,1.889066,-2.495796,-1.282797,-0.449532,-0.211097,-0.509082,0.298553,-2.617112,0.03738,3.034731,2.8e-05,3.6e-05,-1.3e-05,-0.000434,0.000491,0.000147,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.6621318.jpeg,2_1726695161.6316142.jpeg
1726695161.74041,0.929373,-1.464168,1.897305,-2.454365,-1.281288,-0.452291,-0.203942,-0.497212,0.316864,-2.614942,0.036118,3.034919,4e-06,-2e-06,-0.000129,-0.000489,0.000513,4.1e-05,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.7290018.jpeg,2_1726695161.7632408.jpeg
1726695161.83641,0.926331,-1.516767,1.902598,-2.408623,-1.279672,-0.455278,-0.196489,-0.484776,0.335877,-2.612871,0.034897,3.034953,4.3e-05,-9e-06,-2.8e-05,-0.000339,0.000432,9.1e-05,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.8629773.jpeg,2_1726695161.830019.jpeg
1726695161.93241,0.923253,-1.568098,1.904059,-2.360418,-1.277996,-0.45836,-0.188976,-0.472385,0.355008,-2.610685,0.033615,3.03504,2.1e-05,3e-05,-4.4e-05,-0.000306,0.000411,8.5e-05,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.9297378.jpeg,2_1726695161.9633598.jpeg
1726695162.02841,0.919875,-1.618029,1.902132,-2.310431,-1.276164,-0.461755,-0.181454,-0.459917,0.374147,-2.608238,0.032184,3.035153,-9e-06,-8e-06,-6.9e-05,-0.000532,0.000538,5.1e-05,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695161.995956.jpeg,2_1726695162.0299814.jpeg
1726695162.12441,0.916307,-1.665972,1.896491,-2.257956,-1.274176,-0.465366,-0.173933,-0.447487,0.393177,-2.606364,0.031152,3.035285,-3.9e-05,-8e-06,1.6e-05,-0.000186,0.000268,-7e-06,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695162.129372.jpeg,2_1726695162.0966132.jpeg
1726695162.22041,0.912379,-1.711626,1.887163,-2.204287,-1.272141,-0.46936,-0.166517,-0.435111,0.412198,-2.604274,0.029853,3.0354,3.7e-05,4.6e-05,0.00011,-5.5e-05,0.000263,-4.9e-05,65.274626,0.0,0.162121,3.92625,0.0,moving back to original position with circuit board,2_1726695162.1960533.jpeg,2_1726695162.2300875.jpeg
