timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19830.464000,0.983157,-1.241636,1.763167,-2.577075,-1.306613,-0.402416,-0.221309,-0.570880,0.269359,-0.170631,-3.017059,0.845014,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.983131,-1.241602,1.763103,-2.577033,-1.306604,-0.402374,-0.221334,-0.570890,0.269364,-0.170734,-3.017073,0.845010
19830.560000,0.983037,-1.242619,1.763706,-2.576416,-1.306601,-0.402440,-0.221203,-0.570592,0.269619,-0.170829,-3.017195,0.844758,-0.002621,-0.049215,0.023956,0.018072,0.000000,0.000000,0.983017,-1.242944,1.763745,-2.576306,-1.306545,-0.402480,-0.221172,-0.570531,0.269784,-0.170734,-3.017073,0.845010
19830.656000,0.982235,-1.253299,1.768532,-2.570707,-1.306135,-0.403088,-0.219882,-0.567797,0.273077,-0.170884,-3.016967,0.845205,-0.012195,-0.169607,0.076303,0.093165,0.019031,-0.020301,0.982105,-1.253681,1.768809,-2.570417,-1.306075,-0.403330,-0.219875,-0.567655,0.273142,-0.170738,-3.017072,0.845011
19830.752000,0.980367,-1.274851,1.778387,-2.558475,-1.305332,-0.404936,-0.217283,-0.562001,0.279792,-0.170808,-3.016913,0.844950,-0.024838,-0.277651,0.123115,0.168474,0.021596,-0.027971,0.980250,-1.275136,1.778559,-2.558267,-1.305118,-0.405062,-0.217280,-0.561903,0.279859,-0.170744,-3.017070,0.845011
19830.848000,0.977444,-1.306869,1.792133,-2.539250,-1.303967,-0.407838,-0.213436,-0.553361,0.289761,-0.170668,-3.016997,0.844519,-0.037404,-0.387688,0.157821,0.235802,0.012943,-0.031566,0.977385,-1.307264,1.792231,-2.539122,-1.303643,-0.407740,-0.213388,-0.553275,0.289934,-0.170754,-3.017067,0.845012
19830.944000,0.973408,-1.349616,1.808477,-2.511940,-1.301716,-0.411568,-0.208269,-0.541860,0.303266,-0.170681,-3.017060,0.844771,-0.047579,-0.500768,0.182889,0.319739,0.030056,-0.046571,0.973405,-1.349959,1.808667,-2.511897,-1.301597,-0.411470,-0.208198,-0.541770,0.303368,-0.170766,-3.017063,0.845013
19831.040000,0.968199,-1.402376,1.826260,-2.475549,-1.298974,-0.416378,-0.201785,-0.527531,0.319875,-0.170844,-3.017230,0.844690,-0.057371,-0.571536,0.174273,0.409094,0.031015,-0.055439,0.968200,-1.402561,1.826167,-2.475515,-1.298930,-0.416365,-0.201766,-0.527512,0.320018,-0.170782,-3.017058,0.845015
19831.136000,0.962366,-1.457298,1.841072,-2.434488,-1.296052,-0.421860,-0.195026,-0.512533,0.337542,-0.170782,-3.016780,0.845223,-0.063098,-0.563930,0.138621,0.450271,0.032190,-0.057452,0.962378,-1.457296,1.841082,-2.434247,-1.295960,-0.421862,-0.195010,-0.512532,0.337509,-0.170799,-3.017054,0.845017
19831.232000,0.956283,-1.511264,1.852508,-2.389908,-1.292903,-0.427654,-0.188191,-0.497566,0.354916,-0.170878,-3.017235,0.844686,-0.066038,-0.559545,0.098635,0.473808,0.037127,-0.064427,0.956155,-1.511302,1.852399,-2.389986,-1.292805,-0.427758,-0.188252,-0.497553,0.355000,-0.170816,-3.017049,0.845018
19831.328000,0.949564,-1.564333,1.860207,-2.343068,-1.289526,-0.434035,-0.181462,-0.482581,0.372430,-0.170835,-3.017020,0.844975,-0.070934,-0.546762,0.061461,0.498304,0.035785,-0.067807,0.949489,-1.564365,1.860075,-2.342890,-1.289450,-0.434097,-0.181495,-0.482574,0.372492,-0.170832,-3.017044,0.845020
