timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
20440.288000,0.896594,-1.847725,1.838988,-2.002600,-1.263723,-0.484713,-0.141176,-0.392888,0.470202,0.176673,3.019648,-0.817477,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.896630,-1.847689,1.839000,-2.002468,-1.263627,-0.484653,-0.141161,-0.392904,0.470169,0.176711,3.019489,-0.817276
20440.384000,0.897145,-1.846874,1.839647,-2.004414,-1.263938,-0.484222,-0.141198,-0.393240,0.469740,0.176568,3.019667,-0.817696,0.019290,0.041967,0.026218,-0.067639,-0.012535,0.047913,0.897120,-1.846475,1.839765,-2.004588,-1.263845,-0.484177,-0.141297,-0.393360,0.469546,0.176711,3.019489,-0.817277
20440.480000,0.900139,-1.838934,1.844365,-2.017763,-1.264860,-0.481787,-0.142102,-0.396189,0.465746,0.175728,3.019385,-0.817735,0.041392,0.116186,0.069617,-0.198339,-0.044677,0.058890,0.900212,-1.838671,1.844540,-2.018057,-1.265222,-0.481173,-0.142161,-0.396265,0.465579,0.176711,3.019492,-0.817280
20440.576000,0.906019,-1.823498,1.853155,-2.043431,-1.267710,-0.475741,-0.143769,-0.401795,0.458048,0.176379,3.019443,-0.817267,0.072685,0.197359,0.112492,-0.330860,-0.034371,0.068670,0.906018,-1.823306,1.853278,-2.043816,-1.267820,-0.475538,-0.143824,-0.401851,0.457951,0.176709,3.019497,-0.817287
20440.672000,0.914187,-1.799966,1.865057,-2.081269,-1.271530,-0.467392,-0.146270,-0.410032,0.446763,0.177056,3.019461,-0.817308,0.096590,0.291712,0.137061,-0.444040,-0.045876,0.109488,0.914289,-1.799724,1.865133,-2.081584,-1.271547,-0.467524,-0.146285,-0.410119,0.446661,0.176707,3.019505,-0.817296
20440.768000,0.924606,-1.767344,1.878804,-2.130424,-1.276295,-0.457485,-0.149504,-0.420952,0.431818,0.176843,3.019533,-0.817173,0.117644,0.392955,0.146214,-0.572870,-0.053905,0.111645,0.924691,-1.767001,1.878841,-2.130901,-1.276279,-0.457469,-0.149544,-0.421068,0.431710,0.176705,3.019515,-0.817309
20440.864000,0.936702,-1.724698,1.892540,-2.189837,-1.281839,-0.445946,-0.153515,-0.434485,0.413341,0.176711,3.019520,-0.816843,0.123281,0.471520,0.129634,-0.640317,-0.059514,0.116990,0.936672,-1.724624,1.892549,-2.190246,-1.281794,-0.445920,-0.153546,-0.434511,0.413354,0.176702,3.019528,-0.817325
20440.960000,0.948307,-1.678300,1.903149,-2.250216,-1.287263,-0.434659,-0.157680,-0.448453,0.394293,0.176857,3.019552,-0.817234,0.117644,0.493993,0.088076,-0.621190,-0.055056,0.110998,0.948286,-1.678222,1.903122,-2.250316,-1.287206,-0.434762,-0.157702,-0.448477,0.394284,0.176699,3.019541,-0.817341
20441.056000,0.959169,-1.629685,1.910070,-2.308476,-1.292292,-0.424463,-0.161821,-0.462418,0.375165,0.176535,3.019527,-0.817155,0.108862,0.518447,0.051350,-0.595328,-0.050454,0.107259,0.959135,-1.629628,1.909935,-2.308553,-1.292320,-0.424375,-0.161859,-0.462442,0.375214,0.176696,3.019554,-0.817358
20441.152000,0.969313,-1.579106,1.913053,-2.364473,-1.297070,-0.414759,-0.165989,-0.476397,0.356083,0.176581,3.019455,-0.816970,0.102879,0.534618,0.009319,-0.573110,-0.050573,0.095994,0.969292,-1.579098,1.912979,-2.364722,-1.297159,-0.414686,-0.166016,-0.476408,0.356144,0.176692,3.019567,-0.817374
20441.248000,0.978834,-1.526983,1.912310,-2.418292,-1.301752,-0.405511,-0.170147,-0.490343,0.337052,0.176906,3.019512,-0.816998,0.096871,0.550520,-0.024953,-0.538811,-0.045037,0.095035,0.978822,-1.526901,1.912253,-2.418582,-1.301744,-0.405628,-0.170173,-0.490374,0.337074,0.176689,3.019580,-0.817391
20441.344000,0.987768,-1.473292,1.907951,-2.469731,-1.306063,-0.397043,-0.174315,-0.504308,0.317891,0.176921,3.019488,-0.816893,0.090019,0.561450,-0.066588,-0.523375,-0.043934,0.081085,0.987781,-1.473306,1.907772,-2.469899,-1.306091,-0.397145,-0.174330,-0.504339,0.318003,0.176686,3.019593,-0.817407
20441.440000,0.996270,-1.418873,1.899700,-2.518237,-1.310253,-0.389234,-0.178412,-0.518233,0.298998,0.176562,3.019644,-0.817321,0.083794,0.576393,-0.103914,-0.492000,-0.039692,0.080965,0.996220,-1.418583,1.899564,-2.518451,-1.310217,-0.389185,-0.178487,-0.518305,0.298933,0.176683,3.019606,-0.817423
20441.536000,1.004151,-1.363630,1.888061,-2.563320,-1.314133,-0.381798,-0.182537,-0.532069,0.279949,0.176685,3.019608,-0.816772,0.074449,0.548462,-0.134019,-0.433445,-0.039716,0.068310,1.004105,-1.363541,1.887805,-2.563603,-1.314096,-0.381776,-0.182603,-0.532132,0.280053,0.176680,3.019619,-0.817440
20441.632000,1.010462,-1.316291,1.875116,-2.599500,-1.317294,-0.375728,-0.186090,-0.543852,0.263964,0.176875,3.019637,-0.817210,0.058534,0.437376,-0.129212,-0.323598,-0.027036,0.054265,1.010475,-1.316215,1.874991,-2.599602,-1.317245,-0.375813,-0.186104,-0.543894,0.263991,0.176677,3.019630,-0.817453
20441.728000,1.015180,-1.279478,1.863441,-2.625798,-1.319581,-0.371362,-0.188800,-0.552950,0.251567,0.176777,3.019613,-0.817351,0.042811,0.326853,-0.110677,-0.228395,-0.020493,0.037055,1.015193,-1.279447,1.863353,-2.625819,-1.319585,-0.371408,-0.188807,-0.552975,0.251591,0.176675,3.019638,-0.817464
