timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9001.648000,1.096472,-1.736355,1.825134,-2.246628,-1.270141,-0.394200,-0.082433,-0.455516,0.460015,-0.023512,2.963782,-0.996801,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.096460,-1.736379,1.825158,-2.246640,-1.270153,-0.394188,-0.082435,-0.455506,0.460014,-0.023473,2.963794,-0.996816
9001.808000,1.096640,-1.732661,1.825146,-2.250336,-1.270345,-0.393972,-0.083015,-0.456785,0.458820,-0.023365,2.963856,-0.996703,0.008143,0.090505,-0.000000,-0.088228,-0.013135,0.006807,1.096783,-1.732469,1.825210,-2.250688,-1.270355,-0.393888,-0.082983,-0.456862,0.458745,-0.023474,2.963794,-0.996816
9001.968000,1.098880,-1.705043,1.825027,-2.278309,-1.271434,-0.392221,-0.086795,-0.466266,0.449869,-0.023964,2.963632,-0.996646,0.019788,0.253056,-0.005279,-0.243352,0.028786,0.009252,1.098959,-1.705049,1.824918,-2.278399,-1.271721,-0.391866,-0.086783,-0.466271,0.449933,-0.023476,2.963793,-0.996815
9002.128000,1.102891,-1.650514,1.821266,-2.330326,-1.274056,-0.388263,-0.094147,-0.484544,0.432757,-0.023618,2.963641,-0.996864,0.029810,0.428684,-0.048908,-0.390422,-0.021596,0.028451,1.102911,-1.650233,1.821077,-2.330422,-1.274227,-0.388201,-0.094202,-0.484642,0.432728,-0.023479,2.963792,-0.996814
9002.288000,1.107969,-1.568674,1.807987,-2.400393,-1.277445,-0.383525,-0.104918,-0.511138,0.407923,-0.023545,2.963740,-0.997082,0.029874,0.549293,-0.112377,-0.439629,-0.034155,0.031159,1.108013,-1.568595,1.807940,-2.400258,-1.277511,-0.383487,-0.104913,-0.511167,0.407889,-0.023484,2.963790,-0.996812
9002.448000,1.112723,-1.479970,1.784541,-2.466564,-1.280463,-0.379098,-0.116225,-0.539168,0.381599,-0.023420,2.963647,-0.996642,0.029056,0.559941,-0.175321,-0.387834,-0.009252,0.032381,1.112752,-1.480003,1.784444,-2.466574,-1.280604,-0.379137,-0.116222,-0.539171,0.381663,-0.023490,2.963789,-0.996810
9002.608000,1.116975,-1.389633,1.751361,-2.524617,-1.283181,-0.375332,-0.127502,-0.567196,0.355294,-0.023571,2.963603,-0.996410,0.026129,0.563930,-0.236105,-0.330645,-0.012943,0.012535,1.116940,-1.389762,1.751221,-2.524651,-1.283366,-0.375325,-0.127531,-0.567176,0.355436,-0.023495,2.963787,-0.996808
9002.768000,1.120640,-1.298861,1.708615,-2.573969,-1.285611,-0.372142,-0.138791,-0.595082,0.329320,-0.023848,2.963610,-0.997027,0.020798,0.570193,-0.296033,-0.286327,-0.039979,0.032501,1.120667,-1.298527,1.708435,-2.574026,-1.285837,-0.371964,-0.138840,-0.595181,0.329210,-0.023500,2.963785,-0.996806
9002.928000,1.123861,-1.209633,1.658195,-2.613207,-1.287754,-0.369263,-0.149789,-0.622270,0.303712,-0.023765,2.963634,-0.996501,0.017078,0.492766,-0.306029,-0.199226,-0.016179,0.008077,1.123907,-1.209605,1.657982,-2.613286,-1.287983,-0.369071,-0.149797,-0.622313,0.303801,-0.023506,2.963784,-0.996804
9003.088000,1.126088,-1.145318,1.616109,-2.636398,-1.289071,-0.367440,-0.157646,-0.641890,0.285530,-0.024149,2.963504,-0.997174,0.011620,0.314095,-0.214335,-0.101794,0.031950,0.008964,1.126047,-1.145267,1.616113,-2.636269,-1.289394,-0.367178,-0.157700,-0.641884,0.285473,-0.023510,2.963782,-0.996802
9003.248000,1.127070,-1.110190,1.591372,-2.646950,-1.290029,-0.366348,-0.162048,-0.652527,0.275516,-0.023660,2.963752,-0.996967,0.008092,0.130248,-0.091029,-0.035857,-0.042017,0.032381,1.127146,-1.110329,1.591488,-2.646844,-1.290114,-0.366212,-0.161985,-0.652492,0.275538,-0.023512,2.963782,-0.996801
