timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9101.856000,1.086473,-1.172777,1.825158,-3.010371,-1.763582,0.420484,-0.195128,-0.575459,0.252786,-1.274650,-2.397833,1.120351,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.086507,-1.172756,1.825102,-3.010310,-1.763610,0.420594,-0.195118,-0.575480,0.252792,-1.274766,-2.397808,1.120345
9102.016000,1.088257,-1.177235,1.826978,-3.007724,-1.764659,0.421599,-0.193656,-0.574762,0.254351,-1.274373,-2.397927,1.120704,0.039487,-0.094468,0.038950,0.060712,-0.021979,0.016107,1.088379,-1.177357,1.827091,-3.007431,-1.764915,0.421942,-0.193584,-0.574735,0.254341,-1.274766,-2.397809,1.120346
9102.176000,1.099849,-1.205138,1.838521,-2.989237,-1.772947,0.430231,-0.184316,-0.570203,0.263713,-1.274803,-2.397853,1.120105,0.103710,-0.252634,0.099722,0.167444,-0.077969,0.075764,1.100007,-1.205342,1.838575,-2.989229,-1.773013,0.430335,-0.184209,-0.570187,0.263810,-1.274766,-2.397810,1.120348
9102.336000,1.122879,-1.257878,1.857274,-2.951747,-1.789115,0.446967,-0.166477,-0.561481,0.281805,-1.274858,-2.397615,1.120165,0.182211,-0.399334,0.127819,0.300684,-0.129046,0.131922,1.123150,-1.258039,1.857259,-2.951615,-1.789083,0.447117,-0.166311,-0.561503,0.281888,-1.274764,-2.397812,1.120351
9102.496000,1.158124,-1.330927,1.876529,-2.892085,-1.813225,0.472827,-0.140939,-0.549099,0.307597,-1.274938,-2.397739,1.120522,0.237000,-0.464247,0.095644,0.413743,-0.160732,0.175928,1.158327,-1.330886,1.876413,-2.891886,-1.813387,0.472839,-0.140852,-0.549151,0.307604,-1.274762,-2.397815,1.120356
9102.656000,1.197943,-1.403767,1.887043,-2.822203,-1.840616,0.502342,-0.114303,-0.536150,0.334597,-1.275007,-2.397604,1.120662,0.257875,-0.442579,0.034694,0.452189,-0.178877,0.190693,1.198155,-1.403558,1.886977,-2.822112,-1.840716,0.502315,-0.114219,-0.536229,0.334505,-1.274760,-2.397818,1.120361
9102.816000,1.240900,-1.471385,1.887762,-2.746099,-1.869949,0.534781,-0.087795,-0.523307,0.361391,-1.275251,-2.397410,1.120797,0.281319,-0.405623,-0.025720,0.499239,-0.196925,0.212360,1.241298,-1.471518,1.887749,-2.745598,-1.870076,0.534725,-0.087586,-0.523308,0.361407,-1.274758,-2.397821,1.120366
9102.976000,1.287569,-1.533409,1.878828,-2.663592,-1.901342,0.570384,-0.061146,-0.510410,0.388189,-1.275120,-2.397616,1.120459,0.291699,-0.354452,-0.085187,0.503937,-0.203133,0.225639,1.287788,-1.533426,1.878738,-2.663407,-1.901398,0.570286,-0.061041,-0.510428,0.388220,-1.274756,-2.397825,1.120371
9103.136000,1.327222,-1.577811,1.864566,-2.594308,-1.927837,0.601335,-0.039998,-0.500175,0.409587,-1.275170,-2.397522,1.120501,0.205592,-0.210820,-0.086619,0.358712,-0.134175,0.161020,1.327426,-1.577861,1.864591,-2.594177,-1.927815,0.601194,-0.039890,-0.500167,0.409583,-1.274754,-2.397827,1.120375
9103.296000,1.352335,-1.602176,1.853155,-2.551327,-1.944367,0.620970,-0.027211,-0.494017,0.422402,-1.274831,-2.397663,1.120511,0.105372,-0.099594,-0.050877,0.187050,-0.067951,0.083578,1.352212,-1.602096,1.853216,-2.551409,-1.944185,0.620824,-0.027263,-0.494040,0.422338,-1.274753,-2.397829,1.120377
9103.456000,1.360502,-1.609719,1.849119,-2.537271,-1.949613,0.627430,-0.023123,-0.491999,0.426512,-1.274740,-2.397831,1.120463,0.004180,0.000678,-0.001317,0.005393,0.007238,0.002804,1.360454,-1.609587,1.849047,-2.537283,-1.949601,0.627406,-0.023156,-0.492048,0.426486,-1.274753,-2.397829,1.120378
