timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9197.480000,1.108400,-1.086402,1.775753,-3.044107,-1.779414,0.436333,-0.194259,-0.600551,0.225561,-1.274740,-2.397829,1.120384,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.108354,-1.086479,1.775696,-3.044070,-1.779378,0.436376,-0.194286,-0.600547,0.225628,-1.274833,-2.397754,1.120528
9197.640000,1.109610,-1.090944,1.778100,-3.041807,-1.780145,0.437209,-0.193068,-0.599710,0.227116,-1.274717,-2.397892,1.120533,0.032162,-0.103608,0.051439,0.053665,-0.043431,0.045085,1.109853,-1.091302,1.778245,-3.041564,-1.780418,0.437464,-0.192904,-0.599671,0.227250,-1.274832,-2.397754,1.120527
9197.800000,1.119059,-1.120330,1.792983,-3.025921,-1.786828,0.444126,-0.184562,-0.594383,0.237049,-1.274786,-2.397680,1.120640,0.085328,-0.260968,0.128778,0.147334,-0.062725,0.062965,1.119169,-1.120702,1.793162,-3.025609,-1.786871,0.444233,-0.184459,-0.594316,0.237162,-1.274828,-2.397758,1.120519
9197.960000,1.137465,-1.176013,1.818392,-2.992592,-1.799571,0.457613,-0.168501,-0.584123,0.255931,-1.274865,-2.397639,1.120622,0.147518,-0.427009,0.178440,0.278681,-0.100260,0.109056,1.137709,-1.176401,1.818442,-2.992119,-1.799678,0.457757,-0.168336,-0.584094,0.256086,-1.274820,-2.397765,1.120505
9198.120000,1.165812,-1.254042,1.847143,-2.938387,-1.819142,0.478545,-0.145472,-0.569565,0.282886,-1.275010,-2.397459,1.120789,0.193192,-0.502852,0.161285,0.380212,-0.129549,0.138442,1.165905,-1.254315,1.847068,-2.937799,-1.819063,0.478465,-0.145401,-0.569553,0.283005,-1.274810,-2.397775,1.120485
9198.280000,1.197775,-1.333265,1.867704,-2.873618,-1.840808,0.502198,-0.121470,-0.554350,0.311105,-1.274926,-2.397606,1.120990,0.205643,-0.480328,0.099875,0.432391,-0.143739,0.152296,1.197886,-1.333441,1.867624,-2.872987,-1.840915,0.502177,-0.121410,-0.554342,0.311164,-1.274799,-2.397786,1.120464
9198.440000,1.232433,-1.409258,1.878457,-2.801156,-1.864404,0.528224,-0.097510,-0.539075,0.339427,-1.274975,-2.397436,1.121231,0.227911,-0.460079,0.034821,0.477260,-0.153206,0.173699,1.232644,-1.409143,1.878408,-2.800626,-1.864503,0.528248,-0.097417,-0.539131,0.339324,-1.274787,-2.397796,1.120443
9198.600000,1.270193,-1.480366,1.879343,-2.721991,-1.889880,0.556970,-0.073535,-0.523878,0.367562,-1.275024,-2.397421,1.121118,0.246447,-0.427546,-0.022805,0.509713,-0.161691,0.185636,1.270426,-1.480301,1.879307,-2.721481,-1.889940,0.556983,-0.073425,-0.523919,0.367484,-1.274776,-2.397807,1.120422
9198.760000,1.309965,-1.543805,1.870913,-2.639695,-1.916494,0.587514,-0.050270,-0.509146,0.394735,-1.274752,-2.397502,1.120812,0.226479,-0.327888,-0.071177,0.469566,-0.148700,0.181058,1.309984,-1.543578,1.870763,-2.639445,-1.916330,0.587563,-0.050271,-0.509239,0.394660,-1.274765,-2.397817,1.120402
9198.920000,1.340275,-1.585186,1.859034,-2.577747,-1.936401,0.611368,-0.033694,-0.498681,0.414160,-1.274785,-2.397725,1.120540,0.152848,-0.193103,-0.067649,0.300828,-0.100548,0.123174,1.340270,-1.585031,1.858991,-2.577749,-1.936352,0.611354,-0.033705,-0.498736,0.414104,-1.274758,-2.397825,1.120387
9199.080000,1.357305,-1.605954,1.850688,-2.543591,-1.947576,0.624854,-0.024778,-0.493061,0.424614,-1.274715,-2.397767,1.120485,0.063059,-0.072506,-0.031920,0.118884,-0.041993,0.049926,1.357230,-1.605821,1.850738,-2.543711,-1.947490,0.624831,-0.024817,-0.493101,0.424537,-1.274753,-2.397829,1.120379
