timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10193.152000,1.317988,-1.846118,1.862195,-2.092289,-1.763306,-0.084897,-0.008349,-0.409530,0.466705,-0.297642,-2.773604,0.665156,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.317964,-1.846094,1.862207,-2.092313,-1.763306,-0.084885,-0.008361,-0.409539,0.466692,-0.297690,-2.773602,0.665137
10193.312000,1.316335,-1.844463,1.863931,-2.095674,-1.762528,-0.086216,-0.009127,-0.410168,0.465554,-0.297811,-2.773742,0.664785,-0.043386,0.044562,0.044204,-0.096497,0.022387,-0.043551,1.316098,-1.844366,1.864023,-2.096183,-1.762417,-0.086531,-0.009228,-0.410213,0.465529,-0.297690,-2.773602,0.665137
10193.472000,1.301653,-1.830070,1.878026,-2.126739,-1.755545,-0.099337,-0.016073,-0.415568,0.456216,-0.297550,-2.773686,0.664815,-0.134274,0.138723,0.122373,-0.293206,0.068981,-0.116415,1.301449,-1.829968,1.878014,-2.127079,-1.755425,-0.099429,-0.016160,-0.415612,0.456221,-0.297688,-2.773602,0.665138
10193.632000,1.273846,-1.798311,1.902922,-2.188337,-1.742132,-0.123528,-0.029918,-0.426374,0.437747,-0.297828,-2.773544,0.665502,-0.210846,0.260879,0.180869,-0.474455,0.097911,-0.181058,1.273612,-1.798162,1.903107,-2.188479,-1.742081,-0.123837,-0.030026,-0.426410,0.437607,-0.297683,-2.773602,0.665139
10193.792000,1.236277,-1.744858,1.932739,-2.277264,-1.724131,-0.156510,-0.050261,-0.442179,0.410460,-0.297534,-2.773368,0.665556,-0.237192,0.380581,0.170796,-0.589912,0.118093,-0.207423,1.236126,-1.744661,1.932788,-2.277176,-1.724013,-0.156519,-0.050338,-0.442228,0.410338,-0.297677,-2.773602,0.665142
10193.952000,1.200314,-1.679643,1.954930,-2.369584,-1.706550,-0.187718,-0.071850,-0.459033,0.381440,-0.297439,-2.773386,0.665907,-0.213888,0.435702,0.107609,-0.572558,0.102297,-0.187913,1.200052,-1.679304,1.954957,-2.369425,-1.706547,-0.187793,-0.072003,-0.459099,0.381253,-0.297670,-2.773603,0.665145
10194.112000,1.167788,-1.606685,1.967156,-2.458299,-1.690778,-0.215711,-0.093543,-0.475938,0.352258,-0.297545,-2.773499,0.665604,-0.193167,0.477720,0.045010,-0.542406,0.092878,-0.171662,1.167573,-1.606482,1.967108,-2.458160,-1.690775,-0.215831,-0.093668,-0.475971,0.352168,-0.297663,-2.773603,0.665147
10194.272000,1.138448,-1.527798,1.969169,-2.542044,-1.676442,-0.240983,-0.115206,-0.492789,0.323185,-0.297492,-2.773640,0.665436,-0.174631,0.511340,-0.018357,-0.504248,0.081661,-0.147334,1.138272,-1.527501,1.969099,-2.542132,-1.676522,-0.241052,-0.115334,-0.492843,0.323083,-0.297656,-2.773603,0.665150
10194.432000,1.113370,-1.449133,1.961696,-2.615689,-1.664431,-0.262548,-0.135643,-0.508664,0.295872,-0.297521,-2.773353,0.665524,-0.126515,0.426306,-0.064261,-0.382536,0.061815,-0.109080,1.113326,-1.449002,1.961694,-2.615485,-1.664370,-0.262488,-0.135671,-0.508681,0.295780,-0.297649,-2.773603,0.665153
10194.592000,1.097502,-1.393301,1.951505,-2.662273,-1.656706,-0.276078,-0.149622,-0.519539,0.277023,-0.297654,-2.773574,0.665097,-0.074909,0.266043,-0.058291,-0.210874,0.034275,-0.063229,1.097546,-1.393499,1.951494,-2.662079,-1.656676,-0.276036,-0.149580,-0.519512,0.277108,-0.297645,-2.773604,0.665155
10194.752000,1.089838,-1.365056,1.944894,-2.684478,-1.652958,-0.282627,-0.156644,-0.524939,0.267643,-0.297694,-2.773591,0.665087,-0.022409,0.088178,-0.023022,-0.071162,0.016179,-0.024544,1.089994,-1.365236,1.944824,-2.684252,-1.652990,-0.282519,-0.156555,-0.524944,0.267744,-0.297642,-2.773604,0.665155
