timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10848.896000,1.026809,-1.360369,2.084258,-2.919167,-1.432533,-0.282891,-0.157627,-0.496722,0.234016,-0.299125,-2.852282,0.926576,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.026854,-1.360398,2.084212,-2.919219,-1.432558,-0.282813,-0.157611,-0.496736,0.234056,-0.299161,-2.852192,0.926729
10849.056000,1.028354,-1.365668,2.084689,-2.913943,-1.434628,-0.282135,-0.156530,-0.496078,0.235848,-0.298968,-2.851757,0.924894,0.035537,-0.115343,0.011275,0.108529,-0.049351,0.000000,1.028558,-1.365919,2.084777,-2.913709,-1.435000,-0.281917,-0.156424,-0.496043,0.235906,-0.299160,-2.851653,0.924592
10849.216000,1.038965,-1.399056,2.087300,-2.879562,-1.449980,-0.276450,-0.149300,-0.491843,0.247117,-0.299144,-2.848292,0.911436,0.098584,-0.301542,0.016567,0.306293,-0.136213,0.054768,1.039149,-1.399354,2.087395,-2.879413,-1.449997,-0.276263,-0.149174,-0.491807,0.247207,-0.299154,-2.848332,0.911557
10849.376000,1.060198,-1.461243,2.088317,-2.811487,-1.478994,-0.264743,-0.135389,-0.483770,0.268717,-0.298945,-2.841710,0.886822,0.165913,-0.468810,-0.011351,0.535767,-0.215932,0.094556,1.060246,-1.461512,2.088378,-2.811180,-1.478964,-0.264578,-0.135331,-0.483720,0.268783,-0.299121,-2.841843,0.886763
10849.536000,1.092329,-1.544873,2.080976,-2.708924,-1.520714,-0.245805,-0.115633,-0.472219,0.299255,-0.298994,-2.832701,0.851426,0.219474,-0.520671,-0.088076,0.689069,-0.273360,0.131826,1.092352,-1.545123,2.080708,-2.708758,-1.520942,-0.245786,-0.115640,-0.472216,0.299475,-0.299031,-2.832279,0.851706
10849.696000,1.128783,-1.624852,2.061598,-2.596335,-1.565740,-0.223183,-0.095019,-0.460176,0.331459,-0.298750,-2.822130,0.814997,0.238291,-0.472147,-0.156262,0.715243,-0.286183,0.153015,1.128759,-1.624933,2.061426,-2.596360,-1.565827,-0.223121,-0.095041,-0.460182,0.331582,-0.298883,-2.821866,0.815298
10849.856000,1.168267,-1.695268,2.031119,-2.480119,-1.611486,-0.197181,-0.074422,-0.448143,0.363573,-0.298382,-2.811335,0.778919,0.256111,-0.408678,-0.224012,0.729408,-0.292583,0.172741,1.168261,-1.695323,2.030938,-2.480131,-1.611661,-0.197013,-0.074443,-0.448148,0.363689,-0.298679,-2.811040,0.779162
10850.016000,1.211021,-1.755016,1.989707,-2.361545,-1.658359,-0.167269,-0.053868,-0.436129,0.395776,-0.298158,-2.799676,0.743436,0.276794,-0.335776,-0.291431,0.750117,-0.293326,0.201958,1.211057,-1.755079,1.989653,-2.361271,-1.658340,-0.167044,-0.053844,-0.436114,0.395796,-0.298422,-2.799811,0.743298
10850.176000,1.256552,-1.802749,1.939146,-2.243088,-1.704778,-0.133494,-0.033558,-0.424270,0.427340,-0.297868,-2.788274,0.708845,0.265238,-0.235440,-0.315412,0.690939,-0.266361,0.207902,1.256347,-1.802569,1.939126,-2.242940,-1.704720,-0.133495,-0.033659,-0.424321,0.427257,-0.298119,-2.788423,0.708418
10850.336000,1.292264,-1.830646,1.895329,-2.154299,-1.739437,-0.105778,-0.018633,-0.415528,0.450718,-0.297601,-2.779492,0.683252,0.180869,-0.119280,-0.227732,0.447611,-0.167755,0.149084,1.292140,-1.830480,1.895419,-2.154137,-1.739358,-0.105676,-0.018693,-0.415578,0.450585,-0.297862,-2.779738,0.682723
10850.496000,1.313126,-1.843371,1.868613,-2.103789,-1.758887,-0.088735,-0.010275,-0.410675,0.463650,-0.297839,-2.774806,0.668223,0.081748,-0.044895,-0.105781,0.198123,-0.073056,0.064403,1.313003,-1.843357,1.868678,-2.104022,-1.758771,-0.088935,-0.010318,-0.410685,0.463638,-0.297706,-2.774789,0.668408
