timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
11203.320000,1.135130,-1.942229,2.121314,-2.350471,-1.514787,-0.100225,-0.046164,-0.371304,0.400614,-0.452112,-2.863612,0.886073,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.135106,-1.942205,2.121290,-2.350507,-1.514763,-0.100200,-0.046176,-0.371313,0.400622,-0.452168,-2.863597,0.886137
11203.480000,1.134328,-1.938966,2.121912,-2.354131,-1.514427,-0.100776,-0.046861,-0.372200,0.399602,-0.452303,-2.863666,0.885818,-0.020632,0.085865,0.016311,-0.097552,0.002613,-0.026965,1.134259,-1.938737,2.121923,-2.354575,-1.514307,-0.100884,-0.046909,-0.372270,0.399570,-0.452167,-2.863597,0.886136
11203.640000,1.127777,-1.910863,2.126392,-2.386657,-1.510907,-0.106077,-0.052709,-0.379829,0.391229,-0.452242,-2.863535,0.886100,-0.061372,0.264906,0.036240,-0.302865,0.029817,-0.050957,1.127696,-1.910527,2.126367,-2.386959,-1.510791,-0.106181,-0.052777,-0.379926,0.391157,-0.452165,-2.863598,0.886133
11203.800000,1.115670,-1.852151,2.131961,-2.450238,-1.504392,-0.115852,-0.064455,-0.395147,0.374372,-0.452242,-2.863696,0.885939,-0.089329,0.461511,0.028174,-0.483540,0.044653,-0.072001,1.115631,-1.851832,2.131898,-2.450639,-1.504369,-0.115923,-0.064514,-0.395239,0.374331,-0.452159,-2.863599,0.886126
11203.960000,1.100257,-1.761372,2.131877,-2.539934,-1.496082,-0.128445,-0.081644,-0.417667,0.349630,-0.452014,-2.864000,0.885773,-0.098443,0.614270,-0.032124,-0.576609,0.050621,-0.076651,1.100151,-1.761344,2.131830,-2.540259,-1.496220,-0.128443,-0.081707,-0.417671,0.349682,-0.452150,-2.863602,0.886116
11204.120000,1.085898,-1.660744,2.121086,-2.629059,-1.488826,-0.139994,-0.100073,-0.441565,0.323359,-0.452209,-2.863741,0.885807,-0.082260,0.638430,-0.098303,-0.537469,0.040770,-0.061815,1.085994,-1.660692,2.121029,-2.629281,-1.488859,-0.139929,-0.100045,-0.441597,0.323391,-0.452141,-2.863604,0.886105
11204.280000,1.073802,-1.557846,2.099432,-2.709655,-1.482635,-0.149877,-0.118363,-0.465484,0.297088,-0.452145,-2.863626,0.885951,-0.070423,0.649615,-0.169748,-0.469422,0.041346,-0.060496,1.073792,-1.557752,2.099331,-2.709733,-1.482581,-0.149873,-0.118384,-0.465523,0.297100,-0.452131,-2.863606,0.886095
11204.440000,1.063443,-1.457790,2.068593,-2.778094,-1.477378,-0.158405,-0.136110,-0.488576,0.271619,-0.452097,-2.863633,0.885843,-0.054559,0.547209,-0.200351,-0.346871,0.028355,-0.045756,1.063530,-1.457942,2.068429,-2.777919,-1.477338,-0.158279,-0.136069,-0.488597,0.271746,-0.452123,-2.863609,0.886085
11204.600000,1.056964,-1.386720,2.040628,-2.820692,-1.474192,-0.163838,-0.148735,-0.505111,0.253492,-0.451979,-2.863563,0.885712,-0.029133,0.339508,-0.145230,-0.195055,0.007430,-0.023849,1.056957,-1.387003,2.040600,-2.820540,-1.473990,-0.163687,-0.148703,-0.505081,0.253632,-0.452116,-2.863610,0.886077
11204.760000,1.053647,-1.349053,2.023705,-2.841439,-1.472480,-0.166333,-0.155521,-0.513953,0.243883,-0.452275,-2.863404,0.886090,-0.011863,0.131871,-0.061410,-0.072481,0.053593,-0.008077,1.053665,-1.349272,2.023796,-2.841213,-1.472314,-0.166402,-0.155469,-0.513909,0.243931,-0.452113,-2.863611,0.886074
11204.920000,1.053156,-1.342328,2.020592,-2.844783,-1.472097,-0.166765,-0.156677,-0.515539,0.242111,-0.452234,-2.863677,0.885890,0.000000,0.000000,-0.000000,0.001414,0.002660,0.001366,1.053073,-1.342319,2.020546,-2.844870,-1.472013,-0.166892,-0.156721,-0.515542,0.242138,-0.452112,-2.863612,0.886073
