timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
11527.544000,1.076281,-1.271985,1.992485,-2.965802,-1.491939,-0.336386,-0.155093,-0.535058,0.231412,-0.171100,-2.781858,0.938205,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.076307,-1.271996,1.992435,-2.965734,-1.491933,-0.336419,-0.155084,-0.535072,0.231430,-0.171017,-2.781871,0.938198
11527.704000,1.076928,-1.275618,1.993407,-2.962483,-1.492885,-0.335810,-0.154452,-0.534438,0.232581,-0.171522,-2.781997,0.937032,0.020057,-0.095081,0.024838,0.082763,-0.042975,0.006256,1.077192,-1.275897,1.993478,-2.962206,-1.493293,-0.335559,-0.154313,-0.534412,0.232667,-0.171702,-2.781903,0.936755
11527.864000,1.084221,-1.306677,2.001180,-2.934098,-1.504165,-0.328733,-0.148250,-0.529155,0.242473,-0.177091,-2.781768,0.925601,0.067380,-0.285883,0.065233,0.275350,-0.099733,0.066273,1.084385,-1.306999,2.001171,-2.933388,-1.504197,-0.328549,-0.148142,-0.529132,0.242561,-0.177181,-2.782128,0.925213
11528.024000,1.099359,-1.368090,2.013131,-2.873498,-1.526007,-0.313764,-0.135831,-0.518625,0.262223,-0.188114,-2.782257,0.902673,0.118321,-0.472147,0.073542,0.485505,-0.173699,0.117469,1.099389,-1.368469,2.013070,-2.872708,-1.526151,-0.313814,-0.135801,-0.518574,0.262349,-0.188098,-2.782424,0.902141
11528.184000,1.122855,-1.455787,2.022078,-2.777986,-1.558651,-0.290531,-0.117784,-0.503119,0.291319,-0.203870,-2.781964,0.869126,0.163216,-0.570193,0.026998,0.666515,-0.221876,0.164400,1.122958,-1.455973,2.021989,-2.777057,-1.558671,-0.290380,-0.117722,-0.503107,0.291336,-0.203994,-2.782485,0.868373
11528.344000,1.150207,-1.544309,2.020364,-2.668017,-1.593834,-0.262764,-0.098537,-0.486619,0.322181,-0.220971,-2.781772,0.832760,0.179220,-0.532355,-0.047195,0.703330,-0.225136,0.181992,1.150385,-1.544508,2.020239,-2.667360,-1.593837,-0.262708,-0.098440,-0.486609,0.322255,-0.220823,-2.782068,0.832398
11528.504000,1.180255,-1.626376,2.007023,-2.552047,-1.629533,-0.232096,-0.079234,-0.470078,0.353216,-0.237523,-2.780605,0.797208,0.198408,-0.491628,-0.120584,0.745083,-0.219958,0.208046,1.180430,-1.626345,2.006882,-2.551269,-1.629489,-0.231923,-0.079157,-0.470111,0.353174,-0.237520,-2.781155,0.796471
11528.664000,1.213200,-1.699898,1.982222,-2.431296,-1.665581,-0.197708,-0.059948,-0.453589,0.384175,-0.254202,-2.779133,0.761709,0.216368,-0.430985,-0.189357,0.771089,-0.219407,0.228611,1.213379,-1.699845,1.982097,-2.430319,-1.665587,-0.197613,-0.059873,-0.453613,0.384093,-0.254084,-2.779751,0.760598
11528.824000,1.249451,-1.763794,1.946415,-2.306844,-1.702011,-0.159400,-0.040608,-0.437068,0.415077,-0.270519,-2.777332,0.725975,0.233306,-0.366570,-0.254628,0.789449,-0.226430,0.255743,1.249532,-1.763651,1.946178,-2.305829,-1.702042,-0.159306,-0.040590,-0.437116,0.415011,-0.270513,-2.777861,0.724784
11528.984000,1.283953,-1.810941,1.905975,-2.194890,-1.734095,-0.122076,-0.023732,-0.422606,0.442119,-0.284938,-2.775669,0.693820,0.183618,-0.223130,-0.225738,0.570593,-0.165862,0.200041,1.283956,-1.810633,1.905986,-2.195022,-1.734038,-0.122189,-0.023758,-0.422714,0.442001,-0.284744,-2.775815,0.693572
11529.144000,1.307377,-1.836271,1.876229,-2.123823,-1.754587,-0.096483,-0.013031,-0.413478,0.459274,-0.293955,-2.774003,0.674162,0.105001,-0.104809,-0.142264,0.330046,-0.091344,0.114641,1.307324,-1.836045,1.876259,-2.123748,-1.754386,-0.096632,-0.013059,-0.413561,0.459156,-0.293735,-2.774325,0.673761
11529.304000,1.317725,-1.845818,1.862603,-2.093237,-1.763043,-0.085233,-0.008467,-0.409655,0.466488,-0.297475,-2.773633,0.665457,0.018548,-0.019852,-0.027778,0.070827,-0.020829,0.021931,1.317578,-1.845733,1.862711,-2.093399,-1.762986,-0.085325,-0.008531,-0.409687,0.466417,-0.297527,-2.773650,0.665382
