timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
11504.608000,1.085814,-1.795876,2.146836,-2.596754,-1.495040,-0.329513,-0.082489,-0.406855,0.363329,-0.171017,-2.781871,0.938198,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.085826,-1.795876,2.146836,-2.596742,-1.495064,-0.329561,-0.082486,-0.406855,0.363328,-0.170945,-2.781860,0.938157
11504.768000,1.085742,-1.790119,2.146693,-2.601959,-1.495040,-0.329585,-0.083268,-0.408283,0.361754,-0.171022,-2.782184,0.937711,-0.003848,0.123217,-0.004359,-0.116870,0.000000,0.001630,1.085669,-1.789903,2.146563,-2.602435,-1.495005,-0.329668,-0.083332,-0.408348,0.361791,-0.170946,-2.781860,0.938158
11504.928000,1.084760,-1.753456,2.144166,-2.636158,-1.494681,-0.330281,-0.088447,-0.417390,0.352421,-0.170997,-2.782082,0.937823,-0.008041,0.330816,-0.032175,-0.303489,0.032381,-0.012943,1.084740,-1.753140,2.144074,-2.636666,-1.494662,-0.330303,-0.088501,-0.417477,0.352400,-0.170951,-2.781861,0.938161
11505.088000,1.083095,-1.682545,2.135495,-2.698458,-1.494046,-0.331276,-0.098298,-0.434765,0.334606,-0.171199,-2.782027,0.938057,-0.010904,0.556234,-0.086299,-0.465851,-0.005537,-0.018504,1.083111,-1.681961,2.135423,-2.699116,-1.494088,-0.331429,-0.098369,-0.434905,0.334472,-0.170961,-2.781863,0.938166
11505.248000,1.081119,-1.579537,2.114559,-2.780239,-1.493460,-0.332620,-0.112372,-0.459672,0.308909,-0.171318,-2.782160,0.937820,-0.011952,0.670465,-0.172381,-0.504512,0.061958,-0.049207,1.081071,-1.579490,2.114459,-2.780522,-1.493415,-0.332870,-0.112406,-0.459697,0.308969,-0.170975,-2.781865,0.938174
11505.408000,1.079251,-1.472273,2.082246,-2.854791,-1.492813,-0.333939,-0.127047,-0.485584,0.282149,-0.171397,-2.782451,0.937529,-0.011658,0.669672,-0.232782,-0.429826,0.015843,0.032381,1.079221,-1.472246,2.082025,-2.855235,-1.492838,-0.334215,-0.127090,-0.485631,0.282290,-0.170989,-2.781867,0.938182
11505.568000,1.077730,-1.373293,2.042700,-2.914458,-1.492490,-0.335187,-0.140771,-0.509796,0.257310,-0.171284,-2.782082,0.937767,-0.004091,0.520914,-0.232245,-0.291145,-0.021596,-0.016179,1.077710,-1.373499,2.042644,-2.914519,-1.492374,-0.335344,-0.140763,-0.509779,0.257449,-0.171003,-2.781869,0.938190
11505.728000,1.076832,-1.307456,2.011167,-2.948872,-1.492059,-0.335918,-0.150010,-0.526168,0.240550,-0.171138,-2.782058,0.938071,-0.005024,0.310184,-0.157041,-0.150330,0.020014,0.034131,1.076785,-1.307668,2.011224,-2.948878,-1.492085,-0.336050,-0.150015,-0.526119,0.240640,-0.171012,-2.781871,0.938195
11505.888000,1.076461,-1.275522,1.994341,-2.964293,-1.492059,-0.336350,-0.154533,-0.534198,0.232368,-0.170945,-2.781697,0.938350,-0.001150,0.100220,-0.053446,-0.039404,-0.032381,0.015532,1.076355,-1.275617,1.994400,-2.964080,-1.491949,-0.336382,-0.154567,-0.534159,0.232368,-0.171016,-2.781871,0.938198
11506.048000,1.076329,-1.271962,1.992496,-2.965742,-1.492035,-0.336590,-0.155074,-0.535062,0.231386,-0.170801,-2.781851,0.937982,-0.000409,0.000000,0.000652,0.000839,-0.001031,-0.001294,1.076307,-1.271996,1.992435,-2.965734,-1.491933,-0.336419,-0.155084,-0.535072,0.231430,-0.171017,-2.781871,0.938198
11506.208000,1.076329,-1.271938,1.992437,-2.965742,-1.491999,-0.336398,-0.155081,-0.535080,0.231398,-0.171051,-2.781879,0.938097,-0.000179,0.000000,0.000166,0.000264,-0.000288,0.014908,1.076307,-1.271996,1.992435,-2.965734,-1.491933,-0.336419,-0.155084,-0.535072,0.231430,-0.171017,-2.781871,0.938198
