timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
11717.600000,1.062425,-1.257578,1.808095,-2.656098,-1.481186,-0.378187,-0.183006,-0.571238,0.265720,-0.142613,-2.886015,0.769350,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.062447,-1.257620,1.808062,-2.656053,-1.481201,-0.378245,-0.182994,-0.571241,0.265754,-0.142500,-2.885978,0.769367
11717.760000,1.062186,-1.259232,1.808849,-2.655103,-1.481054,-0.378511,-0.182898,-0.570774,0.266226,-0.142454,-2.886058,0.769238,-0.010290,-0.064338,0.028506,0.027540,0.004626,-0.011769,1.062111,-1.259477,1.808958,-2.655068,-1.481022,-0.378537,-0.182905,-0.570701,0.266315,-0.142500,-2.885978,0.769367
11717.920000,1.057539,-1.284968,1.820823,-2.641014,-1.478791,-0.382361,-0.181639,-0.563311,0.274033,-0.142815,-2.885916,0.769117,-0.046710,-0.255050,0.117810,0.136045,0.043119,-0.040842,1.057371,-1.285248,1.821020,-2.641006,-1.478491,-0.382663,-0.181665,-0.563208,0.274106,-0.142501,-2.885978,0.769367
11718.080000,1.046701,-1.340926,1.844748,-2.607907,-1.472803,-0.392029,-0.178957,-0.546996,0.290890,-0.142449,-2.886209,0.768972,-0.087105,-0.445519,0.176676,0.268495,0.049447,-0.080318,1.046590,-1.341293,1.844834,-2.607937,-1.472740,-0.392062,-0.178967,-0.546899,0.291061,-0.142503,-2.885977,0.769369
11718.240000,1.028797,-1.426210,1.874637,-2.551219,-1.463236,-0.407694,-0.174874,-0.522061,0.316825,-0.142396,-2.886067,0.769268,-0.129340,-0.588576,0.178517,0.427214,0.068190,-0.114042,1.028781,-1.426491,1.874644,-2.551045,-1.463261,-0.407632,-0.174848,-0.521998,0.316951,-0.142506,-2.885976,0.769371
11718.400000,1.006989,-1.519405,1.898191,-2.479351,-1.451776,-0.426730,-0.170281,-0.494489,0.345489,-0.142615,-2.886161,0.768996,-0.143760,-0.577173,0.118947,0.472945,0.077921,-0.129238,1.006913,-1.519566,1.898177,-2.479453,-1.451674,-0.426828,-0.170292,-0.494450,0.345592,-0.142509,-2.885974,0.769374
11718.560000,0.982378,-1.610367,1.911687,-2.399782,-1.438832,-0.448452,-0.165739,-0.466907,0.374177,-0.142517,-2.885780,0.769524,-0.160224,-0.557359,0.049215,0.531237,0.082475,-0.140815,0.982384,-1.610375,1.911537,-2.399440,-1.438764,-0.448453,-0.165738,-0.466919,0.374215,-0.142511,-2.885973,0.769377
11718.720000,0.959816,-1.682653,1.914729,-2.327986,-1.426953,-0.468365,-0.161995,-0.444266,0.397824,-0.142565,-2.885802,0.769684,-0.118589,-0.355794,0.000690,0.376688,0.061934,-0.107307,0.959905,-1.682407,1.914777,-2.328049,-1.427027,-0.468354,-0.162002,-0.444336,0.397694,-0.142514,-2.885972,0.769379
11718.880000,0.944990,-1.725154,1.913363,-2.282281,-1.419337,-0.481703,-0.159685,-0.430500,0.412091,-0.142343,-2.885723,0.769592,-0.065079,-0.178044,-0.011288,0.206944,0.030919,-0.060472,0.944999,-1.724919,1.913305,-2.282211,-1.419298,-0.481592,-0.159725,-0.430568,0.412009,-0.142515,-2.885971,0.769381
11719.040000,0.939229,-1.740156,1.912298,-2.265132,-1.416475,-0.486525,-0.158922,-0.425506,0.417157,-0.142874,-2.885976,0.769173,-0.005024,-0.010265,-0.001150,0.008077,0.032381,-0.010594,0.939392,-1.739914,1.912135,-2.265322,-1.416402,-0.486580,-0.158905,-0.425615,0.417158,-0.142516,-2.885971,0.769381
11719.200000,0.939337,-1.739905,1.912322,-2.265348,-1.416559,-0.486440,-0.158932,-0.425589,0.417060,-0.142880,-2.886017,0.769065,0.000256,0.000383,0.000358,-0.000455,0.000671,-0.000527,0.939373,-1.739965,1.912130,-2.265264,-1.416392,-0.486597,-0.158903,-0.425598,0.417175,-0.142516,-2.885971,0.769381
11719.360000,0.939325,-1.739869,1.912154,-2.265348,-1.416463,-0.486549,-0.158946,-0.425613,0.417131,-0.142685,-2.885949,0.769276,0.000115,0.000141,-0.001150,-0.000216,0.000431,-0.000863,0.939373,-1.739965,1.912130,-2.265264,-1.416392,-0.486597,-0.158903,-0.425598,0.417175,-0.142516,-2.885971,0.769381
