timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
11695.360000,0.939373,-1.740013,1.912178,-2.265252,-1.416392,-0.486609,-0.158891,-0.425582,0.417171,-0.142500,-2.885978,0.769367,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.939445,-1.740013,1.912178,-2.265192,-1.416308,-0.486525,-0.158853,-0.425596,0.417164,-0.142499,-2.886115,0.769406
11695.520000,0.940846,-1.736403,1.912538,-2.269632,-1.416931,-0.485661,-0.159033,-0.426805,0.415939,-0.141859,-2.885883,0.769746,0.033569,0.090160,0.005586,-0.095994,-0.035713,0.036528,0.940967,-1.735992,1.912526,-2.269761,-1.417094,-0.485170,-0.159074,-0.426929,0.415778,-0.142499,-2.886113,0.769405
11695.680000,0.951049,-1.707920,1.914358,-2.300640,-1.422379,-0.476161,-0.160658,-0.436093,0.406134,-0.142634,-2.886332,0.769010,0.092013,0.260879,0.011006,-0.271682,-0.053210,0.082835,0.951267,-1.707751,1.914267,-2.301060,-1.422430,-0.476013,-0.160609,-0.436185,0.406155,-0.142500,-2.886105,0.769403
11695.840000,0.970043,-1.651594,1.914262,-2.359338,-1.432269,-0.459296,-0.163553,-0.454112,0.387512,-0.142640,-2.886178,0.769188,0.141331,0.444190,-0.018114,-0.441451,-0.075045,0.121951,0.970123,-1.651112,1.914256,-2.359971,-1.432251,-0.459290,-0.163604,-0.454257,0.387368,-0.142500,-2.886088,0.769398
11696.000000,0.994702,-1.566803,1.906514,-2.438998,-1.445178,-0.437345,-0.167881,-0.480226,0.360277,-0.142879,-2.886295,0.769106,0.154037,0.569721,-0.084113,-0.503697,-0.082835,0.134343,0.994757,-1.566442,1.906333,-2.439452,-1.445185,-0.437526,-0.167929,-0.480350,0.360243,-0.142500,-2.886063,0.769391
11696.160000,1.017791,-1.474671,1.888144,-2.515011,-1.457416,-0.417290,-0.172498,-0.507773,0.331627,-0.142517,-2.886258,0.768971,0.139707,0.581660,-0.146994,-0.442673,-0.073871,0.121041,1.017924,-1.474351,1.887966,-2.515487,-1.457445,-0.417147,-0.172495,-0.507898,0.331604,-0.142500,-2.886038,0.769384
11696.320000,1.038366,-1.381672,1.859980,-2.581693,-1.468396,-0.399130,-0.177021,-0.535103,0.303248,-0.142725,-2.886225,0.768963,0.112901,0.545535,-0.186698,-0.363386,-0.059322,0.097072,1.038410,-1.381610,1.859919,-2.582015,-1.468351,-0.399203,-0.177010,-0.535141,0.303282,-0.142500,-2.886012,0.769376
11696.480000,1.052617,-1.310201,1.832079,-2.626709,-1.476048,-0.386799,-0.180486,-0.555932,0.281629,-0.142548,-2.885943,0.769245,0.069195,0.353237,-0.153577,-0.214014,-0.038254,0.057237,1.052668,-1.310163,1.832020,-2.626725,-1.475968,-0.386759,-0.180461,-0.555962,0.281638,-0.142500,-2.885993,0.769371
11696.640000,1.060401,-1.268689,1.813351,-2.650163,-1.480036,-0.380046,-0.182472,-0.568021,0.269105,-0.142439,-2.885997,0.769470,0.028123,0.164775,-0.078783,-0.089714,-0.011769,0.024664,1.060398,-1.268880,1.813441,-2.650020,-1.480104,-0.380027,-0.182451,-0.567967,0.269157,-0.142500,-2.885981,0.769367
11696.800000,1.062317,-1.257506,1.808155,-2.656050,-1.481114,-0.378403,-0.183061,-0.571219,0.265645,-0.142447,-2.886138,0.769136,-0.002544,-0.002787,0.002429,0.006352,0.001989,0.002397,1.062447,-1.257620,1.808062,-2.656053,-1.481201,-0.378245,-0.182994,-0.571241,0.265754,-0.142500,-2.885978,0.769367
