timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
6283.912000,1.024342,-1.349604,1.802167,-2.219157,-1.449597,0.899113,-0.185226,-0.536232,0.270142,1.952647,2.253314,-0.258377,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.024402,-1.349556,1.802215,-2.219157,-1.449585,0.899125,-0.185192,-0.536242,0.270093,1.952606,2.253365,-0.258225
6284.072000,1.024390,-1.350168,1.801784,-2.217981,-1.449501,0.899257,-0.185151,-0.536172,0.270504,1.952745,2.253185,-0.257989,0.002429,-0.030731,-0.020044,0.052275,0.007262,0.004051,1.024487,-1.350374,1.801669,-2.217838,-1.449497,0.899344,-0.185089,-0.536173,0.270656,1.952678,2.253153,-0.258226
6284.232000,1.025995,-1.364374,1.791798,-2.194470,-1.448327,0.903128,-0.183290,-0.534960,0.280446,1.954184,2.249778,-0.257967,0.015250,-0.145536,-0.105512,0.227724,0.008629,0.042161,1.026000,-1.364640,1.791640,-2.194337,-1.447949,0.903244,-0.183249,-0.534955,0.280655,1.953950,2.249380,-0.258242
6284.392000,1.029504,-1.394560,1.767095,-2.141516,-1.444579,0.912044,-0.179098,-0.532246,0.302939,1.956817,2.241037,-0.258041,0.028443,-0.222210,-0.212124,0.418058,0.025982,0.070563,1.029446,-1.394816,1.766870,-2.141213,-1.444497,0.912056,-0.179109,-0.532216,0.303154,1.956792,2.240890,-0.258276
6284.552000,1.034881,-1.435933,1.722840,-2.059133,-1.439251,0.925693,-0.172731,-0.528007,0.337810,1.960995,2.227831,-0.258556,0.039577,-0.272026,-0.333321,0.585190,0.040027,0.098630,1.034894,-1.436112,1.722598,-2.058563,-1.439245,0.925799,-0.172704,-0.527977,0.337962,1.961133,2.227754,-0.258323
6284.712000,1.041132,-1.474287,1.664672,-1.965802,-1.433419,0.941379,-0.165550,-0.523238,0.376847,1.965941,2.212949,-0.258230,0.040919,-0.212341,-0.393441,0.583608,0.032070,0.097504,1.041180,-1.474434,1.664402,-1.965467,-1.433490,0.941388,-0.165517,-0.523221,0.377022,1.965926,2.213012,-0.258369
6284.872000,1.047623,-1.504046,1.597754,-1.872278,-1.427840,0.957029,-0.158328,-0.518435,0.415789,1.970642,2.198443,-0.257681,0.040318,-0.158678,-0.446414,0.586436,0.033340,0.101267,1.047656,-1.504099,1.597202,-1.872182,-1.427890,0.957167,-0.158330,-0.518464,0.416082,1.970636,2.198268,-0.258406
6285.032000,1.054030,-1.524261,1.524827,-1.782923,-1.422714,0.972451,-0.151451,-0.513896,0.453217,1.975180,2.184232,-0.258020,0.035409,-0.087693,-0.417409,0.488453,0.028187,0.084465,1.054016,-1.524213,1.524554,-1.782986,-1.422702,0.972406,-0.151476,-0.513928,0.453336,1.975050,2.184206,-0.258434
6285.192000,1.058617,-1.533374,1.468473,-1.720173,-1.419289,0.983188,-0.146685,-0.510784,0.479375,1.978197,2.174501,-0.258277,0.022690,-0.036943,-0.279798,0.300948,0.037966,0.051173,1.058582,-1.533481,1.468497,-1.720247,-1.419161,0.983195,-0.146675,-0.510751,0.479428,1.978098,2.174357,-0.258449
6285.512000,1.061192,-1.536959,1.432459,-1.682245,-1.417146,0.989551,-0.143915,-0.508865,0.495113,1.980015,2.168511,-0.258434,0.000000,-0.000486,-0.000000,-0.001270,0.001989,-0.001222,1.061383,-1.537126,1.432495,-1.682197,-1.417062,0.989755,-0.143777,-0.508833,0.495177,1.979919,2.168412,-0.258456
6285.672000,1.061311,-1.537019,1.432435,-1.682245,-1.416990,0.989646,-0.143832,-0.508867,0.495157,1.979835,2.168417,-0.258451,0.003183,-0.000447,-0.000000,-0.000527,0.001079,0.001798,1.061383,-1.537126,1.432495,-1.682197,-1.417062,0.989755,-0.143777,-0.508833,0.495177,1.979919,2.168412,-0.258456
