timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
6598.728000,0.655064,-1.625416,2.054748,-2.602667,-0.963765,-0.709768,-0.260233,-0.398662,0.347656,-0.008632,-2.860167,1.249437,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.655064,-1.625416,2.054748,-2.602655,-0.963765,-0.709768,-0.260233,-0.398662,0.347655,-0.008638,-2.860179,1.249429
6598.888000,0.655878,-1.624337,2.054628,-2.604058,-0.964256,-0.708868,-0.260177,-0.399040,0.347371,-0.008773,-2.860223,1.249406,0.040305,0.051682,-0.003119,-0.057572,-0.026461,0.037487,0.656091,-1.624106,2.054536,-2.604336,-0.964356,-0.708734,-0.260158,-0.399138,0.347339,-0.008638,-2.860179,1.249429
6599.048000,0.673592,-1.601049,2.050497,-2.633196,-0.974745,-0.690911,-0.258945,-0.407398,0.341766,-0.009225,-2.860191,1.249226,0.180716,0.236297,-0.045252,-0.288077,-0.105557,0.175137,0.674108,-1.600705,2.050338,-2.633619,-0.974798,-0.690743,-0.258827,-0.407601,0.341731,-0.008638,-2.860179,1.249430
6599.208000,0.712529,-1.548170,2.038137,-2.694729,-0.997614,-0.652922,-0.255886,-0.426396,0.329331,-0.008976,-2.859987,1.249593,0.301708,0.424798,-0.112402,-0.460985,-0.176552,0.287358,0.713034,-1.547459,2.038015,-2.695309,-0.997856,-0.652740,-0.255832,-0.426644,0.329111,-0.008637,-2.860178,1.249431
6599.368000,0.768543,-1.464755,2.011598,-2.779208,-1.032085,-0.600323,-0.251310,-0.455860,0.309787,-0.008890,-2.859824,1.249400,0.377692,0.587630,-0.215333,-0.549021,-0.237216,0.346512,0.769059,-1.464125,2.011447,-2.779616,-1.032139,-0.600025,-0.251199,-0.456105,0.309588,-0.008636,-2.860176,1.249432
6599.528000,0.825946,-1.370955,1.971684,-2.858589,-1.068387,-0.548647,-0.246059,-0.488950,0.287882,-0.008750,-2.859784,1.249420,0.336581,0.588154,-0.277408,-0.443872,-0.222571,0.303393,0.826300,-1.370327,1.971466,-2.858844,-1.068355,-0.548406,-0.245999,-0.489164,0.287679,-0.008635,-2.860174,1.249433
6599.688000,0.877887,-1.277752,1.921746,-2.922618,-1.101984,-0.503534,-0.240824,-0.522034,0.265970,-0.008765,-2.859917,1.249585,0.309915,0.579576,-0.337425,-0.348142,-0.198339,0.264756,0.878149,-1.277149,1.921477,-2.922797,-1.102063,-0.503436,-0.240800,-0.522224,0.265771,-0.008634,-2.860172,1.249434
6599.848000,0.923648,-1.188046,1.864027,-2.971350,-1.132589,-0.464946,-0.235847,-0.554222,0.244639,-0.009118,-2.859770,1.249497,0.243954,0.491551,-0.347383,-0.233453,-0.164927,0.202318,0.923896,-1.187691,1.863915,-2.971328,-1.132426,-0.465040,-0.235747,-0.554350,0.244481,-0.008633,-2.860169,1.249435
6600.008000,0.954426,-1.123661,1.816872,-2.998846,-1.153159,-0.439876,-0.232124,-0.577620,0.229111,-0.008864,-2.859864,1.249553,0.144220,0.311692,-0.243187,-0.114641,-0.098055,0.120298,0.954524,-1.123506,1.816822,-2.998712,-1.153041,-0.439953,-0.232079,-0.577674,0.229025,-0.008633,-2.860168,1.249436
6600.328000,0.973612,-1.081476,1.783440,-3.013306,-1.165827,-0.424763,-0.229651,-0.593049,0.218782,-0.008282,-2.860312,1.249419,-0.001419,-0.001150,-0.000000,0.000000,0.001462,-0.001750,0.973615,-1.081542,1.783406,-3.013344,-1.165996,-0.424549,-0.229661,-0.593045,0.218838,-0.008632,-2.860167,1.249437
6600.488000,0.973624,-1.081440,1.783440,-3.013258,-1.165959,-0.424763,-0.229656,-0.593053,0.218751,-0.008369,-2.860332,1.249216,0.000000,-0.000217,-0.000000,0.000000,-0.001174,-0.000360,0.973615,-1.081542,1.783406,-3.013344,-1.165996,-0.424549,-0.229661,-0.593045,0.218838,-0.008632,-2.860167,1.249437
