timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
6871.784000,0.973001,-1.173028,1.634644,-2.519052,-1.292927,-0.473522,-0.247722,-0.600873,0.280176,-0.072924,-3.006787,0.853113,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.972932,-1.173056,1.634657,-2.518905,-1.292866,-0.473559,-0.247753,-0.600849,0.280170,-0.072982,-3.006910,0.853011
6871.944000,0.972917,-1.173987,1.634871,-2.518093,-1.292867,-0.473606,-0.247627,-0.600644,0.280563,-0.072961,-3.006972,0.852894,-0.002250,-0.044524,0.012873,0.038373,0.000000,-0.005393,0.972839,-1.174221,1.634961,-2.518020,-1.292817,-0.473646,-0.247634,-0.600573,0.280662,-0.072983,-3.006910,0.853011
6872.104000,0.971229,-1.194567,1.639828,-2.502500,-1.292161,-0.474890,-0.245557,-0.595774,0.289380,-0.073393,-3.006527,0.853253,-0.014790,-0.205451,0.048806,0.158144,-0.036312,-0.021596,0.971174,-1.194836,1.640027,-2.502052,-1.291927,-0.475215,-0.245515,-0.595682,0.289406,-0.072994,-3.006905,0.853015
6872.264000,0.967337,-1.240174,1.649167,-2.464969,-1.290281,-0.478812,-0.240804,-0.584726,0.308902,-0.073183,-3.006581,0.852746,-0.031127,-0.359067,0.062663,0.310320,0.038709,-0.032022,0.967317,-1.240489,1.649104,-2.464495,-1.289872,-0.478860,-0.240747,-0.584678,0.309078,-0.073019,-3.006896,0.853022
6872.424000,0.961025,-1.308607,1.656878,-2.402637,-1.286617,-0.484798,-0.233412,-0.567700,0.339374,-0.073118,-3.006750,0.853081,-0.042888,-0.469091,0.025349,0.461033,0.036336,-0.046595,0.961025,-1.308859,1.656797,-2.402196,-1.286537,-0.484839,-0.233372,-0.567652,0.339513,-0.073057,-3.006881,0.853033
6872.584000,0.953540,-1.381636,1.656303,-2.326954,-1.282558,-0.492054,-0.225058,-0.548584,0.373596,-0.073004,-3.006883,0.853081,-0.050826,-0.440879,-0.032495,0.487998,0.034970,-0.048824,0.953451,-1.381729,1.656221,-2.326759,-1.282561,-0.492084,-0.225095,-0.548547,0.373666,-0.073100,-3.006864,0.853045
6872.744000,0.945289,-1.449901,1.646042,-2.246604,-1.278295,-0.499911,-0.216784,-0.529412,0.407860,-0.073079,-3.006542,0.853516,-0.052884,-0.410327,-0.097638,0.526251,0.028546,-0.049567,0.945278,-1.449751,1.645900,-2.246224,-1.278324,-0.499954,-0.216823,-0.529451,0.407802,-0.073142,-3.006848,0.853057
6872.904000,0.937864,-1.501839,1.630094,-2.176743,-1.274763,-0.506904,-0.210070,-0.513629,0.436043,-0.073471,-3.006371,0.853345,-0.038401,-0.254002,-0.097548,0.359023,0.049926,-0.034802,0.938052,-1.501551,1.630117,-2.176668,-1.274630,-0.506947,-0.210021,-0.513751,0.435869,-0.073178,-3.006834,0.853067
6873.064000,0.933349,-1.531371,1.617163,-2.132813,-1.272560,-0.511523,-0.205867,-0.504086,0.453142,-0.073234,-3.006449,0.853008,-0.020964,-0.119420,-0.059199,0.185348,0.051364,-0.024400,0.933392,-1.531166,1.617245,-2.132891,-1.272274,-0.511470,-0.205868,-0.504164,0.453007,-0.073199,-3.006826,0.853073
6873.384000,0.931768,-1.541443,1.612062,-2.116813,-1.271506,-0.512998,-0.204323,-0.500722,0.459142,-0.073353,-3.006948,0.852851,0.000000,0.000435,0.000281,-0.000911,0.000216,0.000575,0.931648,-1.541539,1.611954,-2.116741,-1.271398,-0.513166,-0.204357,-0.500676,0.459241,-0.073207,-3.006823,0.853075
6873.544000,0.931648,-1.541443,1.612050,-2.116836,-1.271458,-0.513154,-0.204381,-0.500701,0.459152,-0.073270,-3.006874,0.852914,-0.001317,0.000000,0.000128,-0.000288,0.000431,-0.000455,0.931648,-1.541539,1.611954,-2.116741,-1.271398,-0.513166,-0.204357,-0.500676,0.459241,-0.073207,-3.006823,0.853075
