timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
7028.264000,1.017336,-1.112348,1.776998,-3.057966,-1.534976,-0.062411,-0.229426,-0.588312,0.241617,-0.625200,-2.625750,1.136881,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.017397,-1.112360,1.776986,-3.057881,-1.534935,-0.062343,-0.229388,-0.588330,0.241619,-0.625214,-2.625867,1.136872
7028.424000,1.016953,-1.112984,1.777633,-3.057715,-1.533599,-0.063454,-0.229428,-0.588078,0.241708,-0.623713,-2.626816,1.137118,-0.024556,-0.035678,0.031715,0.006304,0.074590,-0.059681,1.016909,-1.113206,1.777657,-3.057669,-1.533256,-0.063583,-0.229409,-0.588048,0.241830,-0.623412,-2.626941,1.137484
7028.584000,1.005241,-1.133333,1.793222,-3.051653,-1.493448,-0.093185,-0.229887,-0.581382,0.246872,-0.580266,-2.652046,1.151910,-0.122629,-0.211216,0.159112,0.069293,0.412353,-0.308833,1.005062,-1.133556,1.793446,-3.051569,-1.492902,-0.093512,-0.229906,-0.581291,0.246903,-0.579817,-2.652422,1.152056
7028.744000,0.976642,-1.181215,1.827649,-3.030006,-1.399412,-0.164473,-0.231094,-0.565548,0.258834,-0.476086,-2.708383,1.185261,-0.236195,-0.382268,0.259780,0.224417,0.755510,-0.579437,0.976519,-1.181269,1.827814,-3.029490,-1.398396,-0.164867,-0.231067,-0.565524,0.258740,-0.475388,-2.709536,1.185199
7028.904000,0.929552,-1.256715,1.874421,-2.971649,-1.251617,-0.283191,-0.232947,-0.540820,0.277315,-0.305200,-2.791083,1.234389,-0.345210,-0.541035,0.301696,0.511055,1.048883,-0.890811,0.929506,-1.256814,1.874493,-2.971090,-1.250669,-0.283766,-0.232886,-0.540817,0.277289,-0.304134,-2.792016,1.234519
7029.064000,0.873241,-1.344198,1.916346,-2.863994,-1.086958,-0.436494,-0.234989,-0.512683,0.298306,0.097933,2.858017,-1.279110,-0.359246,-0.553358,0.219704,0.827127,1.001785,-1.037834,0.873198,-1.344472,1.916242,-2.863256,-1.086490,-0.437007,-0.234958,-0.512662,0.298427,0.097134,2.857768,-1.278864
7029.224000,0.815575,-1.433296,1.943529,-2.702450,-0.934814,-0.618735,-0.237030,-0.484791,0.319367,-0.111862,2.777283,-1.257977,-0.343893,-0.520198,0.107506,1.131575,0.834557,-1.174286,0.815550,-1.433393,1.943489,-2.701655,-0.934474,-0.618768,-0.237010,-0.484783,0.319357,-0.111690,2.776854,-1.257345
7029.544000,0.744459,-1.542534,1.950175,-2.408071,-0.777867,-0.901056,-0.239555,-0.450869,0.344763,-0.351064,2.662917,-1.223331,-0.102917,-0.154740,-0.018203,0.528552,0.196254,-0.480232,0.744686,-1.542403,1.950083,-2.408265,-0.778046,-0.900428,-0.239500,-0.450954,0.344755,-0.350557,2.662943,-1.223120
7029.704000,0.737356,-1.553374,1.948726,-2.370904,-0.764708,-0.934234,-0.239758,-0.447425,0.347267,-0.374129,2.650464,-1.218812,0.002557,0.003656,0.000179,-0.019223,-0.010786,0.012104,0.737440,-1.553303,1.948521,-2.371114,-0.764602,-0.933986,-0.239755,-0.447486,0.347359,-0.374133,2.650369,-1.219143
7029.864000,0.737332,-1.553290,1.948774,-2.371180,-0.764696,-0.934030,-0.239781,-0.447432,0.347235,-0.373913,2.650475,-1.218915,0.000000,0.000307,0.000179,-0.000551,-0.000455,0.000455,0.737440,-1.553303,1.948521,-2.371114,-0.764602,-0.933986,-0.239755,-0.447486,0.347359,-0.374133,2.650369,-1.219143
7030.024000,0.737356,-1.553278,1.948583,-2.371156,-0.764661,-0.934006,-0.239794,-0.447462,0.347319,-0.374015,2.650464,-1.219086,0.000000,0.000000,-0.002493,-0.000216,-0.000192,0.000000,0.737440,-1.553303,1.948521,-2.371114,-0.764602,-0.933986,-0.239755,-0.447486,0.347359,-0.374133,2.650369,-1.219143
