timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
8042.976000,1.000737,-1.180843,1.901688,-2.899383,-1.254695,-0.387363,-0.196950,-0.560334,0.212944,-0.111554,-2.955997,1.037282,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.000782,-1.180868,1.901713,-2.899406,-1.254744,-0.387348,-0.196923,-0.560333,0.212950,-0.111527,-2.955966,1.037270
8043.136000,1.000558,-1.181874,1.902383,-2.898724,-1.254539,-0.387567,-0.196866,-0.560032,0.213173,-0.111541,-2.956259,1.037011,-0.009971,-0.048998,0.027931,0.035569,0.025359,-0.005177,1.000442,-1.182296,1.902436,-2.898611,-1.254544,-0.387642,-0.196895,-0.559952,0.213381,-0.111527,-2.955966,1.037270
8043.296000,0.994438,-1.207236,1.914968,-2.884212,-1.251306,-0.392689,-0.196390,-0.553239,0.220766,-0.112002,-2.956169,1.036585,-0.062484,-0.252838,0.120622,0.142013,0.045492,-0.056182,0.994328,-1.207726,1.914957,-2.884072,-1.250943,-0.392935,-0.196390,-0.553175,0.221041,-0.111527,-2.955965,1.037272
8043.456000,0.980163,-1.264698,1.940739,-2.849050,-1.242554,-0.405319,-0.195231,-0.538036,0.238100,-0.111389,-2.955963,1.037366,-0.116186,-0.458072,0.189626,0.294548,0.068957,-0.101866,0.980020,-1.265179,1.940819,-2.848580,-1.242543,-0.405379,-0.195253,-0.537927,0.238277,-0.111526,-2.955962,1.037275
8043.616000,0.956271,-1.354028,1.974462,-2.786532,-1.228772,-0.426106,-0.193526,-0.514381,0.264717,-0.111751,-2.956029,1.037120,-0.171512,-0.631182,0.205847,0.470357,0.101818,-0.152871,0.956261,-1.354458,1.974350,-2.786085,-1.228688,-0.426225,-0.193494,-0.514338,0.264942,-0.111525,-2.955957,1.037281
8043.776000,0.926917,-1.454265,2.002353,-2.705663,-1.211805,-0.452267,-0.191559,-0.487880,0.294753,-0.111514,-2.955761,1.037454,-0.193461,-0.623231,0.140040,0.541639,0.105198,-0.170248,0.926959,-1.454500,2.002227,-2.705123,-1.211789,-0.452256,-0.191521,-0.487867,0.294864,-0.111524,-2.955951,1.037287
8043.936000,0.894786,-1.551767,2.019179,-2.614826,-1.193821,-0.481199,-0.189672,-0.461752,0.324360,-0.111652,-2.955529,1.037279,-0.192463,-0.554355,0.069732,0.555109,0.112053,-0.172453,0.894958,-1.551763,2.019172,-2.614593,-1.193605,-0.481107,-0.189577,-0.461792,0.324338,-0.111523,-2.955946,1.037293
8044.096000,0.868318,-1.623401,2.024903,-2.539717,-1.178770,-0.505405,-0.188165,-0.442089,0.346533,-0.111632,-2.955905,1.037269,-0.134019,-0.349045,0.010009,0.374819,0.071402,-0.128711,0.868489,-1.623335,2.024812,-2.539727,-1.178804,-0.505312,-0.188113,-0.442145,0.346546,-0.111522,-2.955941,1.037298
8044.256000,0.852366,-1.663274,2.025191,-2.494800,-1.169970,-0.520243,-0.187280,-0.430927,0.359282,-0.111394,-2.955620,1.037507,-0.066063,-0.155904,0.000371,0.188919,0.034730,-0.055127,0.852423,-1.663098,2.025230,-2.494743,-1.169934,-0.520158,-0.187280,-0.430970,0.359179,-0.111521,-2.955939,1.037301
8044.576000,0.848187,-1.673131,2.025083,-2.483117,-1.167731,-0.523938,-0.187070,-0.428101,0.362386,-0.111776,-2.955853,1.037258,0.000000,0.000256,-0.000217,-0.000551,0.000575,-0.001246,0.848211,-1.673083,2.025011,-2.483034,-1.167623,-0.524069,-0.187068,-0.428127,0.362392,-0.111521,-2.955938,1.037301
8044.736000,0.848187,-1.673167,2.025119,-2.483105,-1.167623,-0.524045,-0.187053,-0.428094,0.362385,-0.111575,-2.955891,1.037347,0.000000,0.000000,-0.000115,-0.000240,0.000431,-0.000479,0.848211,-1.673083,2.025011,-2.483034,-1.167623,-0.524069,-0.187068,-0.428127,0.362392,-0.111521,-2.955938,1.037301
