timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
8442.696000,0.975085,-1.753229,2.024735,-2.546542,-1.465044,-0.060779,-0.140201,-0.419215,0.400459,-0.686022,-2.742849,1.029950,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.975073,-1.753265,2.024664,-2.546494,-1.465008,-0.060815,-0.140201,-0.419212,0.400504,-0.685958,-2.742829,1.030039
8442.856000,0.975037,-1.752917,2.025227,-2.547429,-1.465044,-0.060851,-0.140246,-0.419247,0.400190,-0.685953,-2.742767,1.030031,-0.007056,0.022000,0.028149,-0.048440,0.000000,0.000000,0.974995,-1.752744,2.025266,-2.547611,-1.464964,-0.060872,-0.140285,-0.419285,0.400120,-0.685958,-2.742829,1.030038
8443.016000,0.973193,-1.740049,2.039251,-2.574101,-1.464229,-0.061895,-0.142290,-0.421010,0.391011,-0.686487,-2.742642,1.029837,-0.019456,0.137457,0.143862,-0.275182,-0.018983,-0.003619,0.973131,-1.739892,2.039442,-2.574503,-1.463926,-0.062234,-0.142309,-0.421035,0.390900,-0.685961,-2.742830,1.030034
8443.176000,0.968882,-1.707441,2.070341,-2.637405,-1.461942,-0.065217,-0.147035,-0.425076,0.369484,-0.686317,-2.742630,1.029640,-0.032214,0.276909,0.241845,-0.506861,0.045492,-0.027875,0.968876,-1.707247,2.070490,-2.637875,-1.461580,-0.065353,-0.147030,-0.425118,0.369387,-0.685969,-2.742832,1.030024
8443.336000,0.962402,-1.648871,2.113253,-2.738211,-1.458135,-0.070194,-0.154417,-0.431445,0.335698,-0.686014,-2.743000,1.029586,-0.043552,0.449047,0.277791,-0.722265,0.034850,-0.035306,0.962468,-1.648621,2.113194,-2.738701,-1.458105,-0.070091,-0.154428,-0.431516,0.335677,-0.685980,-2.742836,1.030008
8443.496000,0.955612,-1.571096,2.152490,-2.854922,-1.454554,-0.075327,-0.162813,-0.438790,0.297291,-0.685885,-2.742807,1.029871,-0.043361,0.521784,0.214335,-0.724614,0.037511,-0.035066,0.955528,-1.570972,2.152468,-2.855049,-1.454420,-0.075291,-0.162859,-0.438807,0.297262,-0.685994,-2.742840,1.029990
8443.656000,0.949133,-1.484934,2.180421,-2.968642,-1.451177,-0.080184,-0.171086,-0.445931,0.259845,-0.685958,-2.742654,1.030100,-0.034796,0.502404,0.128931,-0.644464,0.011769,-0.026605,0.949119,-1.485090,2.180452,-2.968354,-1.451079,-0.080174,-0.171065,-0.445904,0.259869,-0.686006,-2.742844,1.029972
8443.816000,0.944678,-1.416655,2.194196,-3.050000,-1.448914,-0.083590,-0.177053,-0.451090,0.232513,-0.686123,-2.742848,1.029728,-0.020760,0.339815,0.054469,-0.392435,0.021596,-0.024783,0.944649,-1.416858,2.194149,-3.049871,-1.448777,-0.083633,-0.177047,-0.451078,0.232612,-0.686016,-2.742847,1.029959
8444.136000,0.941840,-1.369169,2.199849,-3.102981,-1.447369,-0.085772,-0.181032,-0.454578,0.214508,-0.686123,-2.742837,1.029930,-0.000486,-0.001790,-0.000000,0.002085,-0.003332,-0.003140,0.941766,-1.369241,2.200030,-3.103095,-1.447299,-0.085891,-0.181024,-0.454518,0.214487,-0.686022,-2.742849,1.029950
8444.296000,0.941863,-1.369253,2.199885,-3.102897,-1.447322,-0.085904,-0.181005,-0.454567,0.214524,-0.685896,-2.742924,1.029899,-0.000153,-0.000678,-0.000000,0.000431,-0.000360,-0.001654,0.941766,-1.369241,2.200030,-3.103095,-1.447299,-0.085891,-0.181024,-0.454518,0.214487,-0.686022,-2.742849,1.029950
8444.456000,0.941732,-1.369192,2.200077,-3.102861,-1.447346,-0.085929,-0.181039,-0.454503,0.214416,-0.686125,-2.743044,1.029503,-0.000639,-0.000166,0.001508,0.000192,-0.000192,-0.000360,0.941766,-1.369241,2.200030,-3.103095,-1.447299,-0.085891,-0.181024,-0.454518,0.214487,-0.686022,-2.742849,1.029950
