timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9561.200000,1.056018,-1.156848,1.788157,-2.783572,-1.416619,-0.307311,-0.193181,-0.592583,0.230535,-0.224186,-2.905383,0.887886,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.055986,-1.156844,1.788105,-2.783596,-1.416587,-0.307308,-0.193205,-0.592590,0.230559,-0.224210,-2.905338,0.887996
9561.360000,1.056006,-1.157914,1.788756,-2.782852,-1.416619,-0.307323,-0.193036,-0.592310,0.230833,-0.224235,-2.905569,0.887573,0.000000,-0.050979,0.026883,0.039836,0.000000,0.000000,1.055932,-1.158201,1.788788,-2.782915,-1.416551,-0.307355,-0.193052,-0.592257,0.231003,-0.224210,-2.905338,0.887995
9561.520000,1.055072,-1.182018,1.800384,-2.770470,-1.416176,-0.308007,-0.190340,-0.586425,0.238809,-0.224441,-2.905295,0.887711,-0.011032,-0.240400,0.114026,0.124540,-0.032381,-0.053378,1.054963,-1.182319,1.800604,-2.770485,-1.415913,-0.308194,-0.190336,-0.586327,0.238897,-0.224203,-2.905342,0.887988
9561.680000,1.052713,-1.236170,1.824859,-2.740417,-1.414751,-0.309926,-0.184279,-0.573047,0.256487,-0.224670,-2.905283,0.887547,-0.017960,-0.430588,0.181508,0.251213,0.009947,-0.021596,1.052698,-1.236537,1.824929,-2.740287,-1.414419,-0.310163,-0.184224,-0.572986,0.256659,-0.224186,-2.905349,0.887973
9561.840000,1.048940,-1.319707,1.856244,-2.687751,-1.412212,-0.313404,-0.174832,-0.552412,0.283970,-0.224363,-2.905306,0.887534,-0.025017,-0.585009,0.191748,0.392891,0.018504,-0.023225,1.048939,-1.320079,1.856300,-2.687604,-1.411937,-0.313451,-0.174769,-0.552345,0.284139,-0.224160,-2.905361,0.887948
9562.000000,1.044389,-1.412507,1.882313,-2.620437,-1.409051,-0.317519,-0.164152,-0.529233,0.314838,-0.224126,-2.905377,0.887678,-0.029567,-0.576099,0.131577,0.455808,0.014309,-0.026413,1.044308,-1.412754,1.882257,-2.620242,-1.408888,-0.317538,-0.164158,-0.529183,0.314976,-0.224132,-2.905375,0.887921
9562.160000,1.039180,-1.503146,1.898228,-2.544791,-1.405603,-0.322172,-0.153581,-0.506073,0.345675,-0.224085,-2.905568,0.887473,-0.034706,-0.559660,0.069131,0.491593,0.018504,-0.031710,1.039173,-1.503394,1.898218,-2.544831,-1.405534,-0.322110,-0.153548,-0.506021,0.345813,-0.224103,-2.905388,0.887894
9562.320000,1.033827,-1.584814,1.903987,-2.468448,-1.402178,-0.326874,-0.143716,-0.484491,0.374449,-0.224145,-2.905305,0.887857,-0.029018,-0.424261,0.008207,0.434069,0.007622,-0.026605,1.033870,-1.584881,1.903946,-2.468298,-1.402112,-0.326868,-0.143683,-0.484486,0.374484,-0.224076,-2.905400,0.887869
9562.480000,1.029959,-1.638115,1.902910,-2.413470,-1.399879,-0.330413,-0.136998,-0.469865,0.393885,-0.224126,-2.905204,0.887665,-0.020338,-0.243660,-0.011275,0.260465,0.005201,-0.016802,1.029955,-1.637908,1.902810,-2.413553,-1.399618,-0.330398,-0.137019,-0.469940,0.393850,-0.224058,-2.905408,0.887851
9562.800000,1.027803,-1.665948,1.900670,-2.382889,-1.398334,-0.332295,-0.133347,-0.462019,0.404300,-0.224189,-2.905488,0.887594,-0.000294,0.000729,-0.000000,-0.000839,0.000911,-0.000527,1.027695,-1.665996,1.900491,-2.382805,-1.398191,-0.332440,-0.133388,-0.462013,0.404404,-0.224048,-2.905413,0.887842
9562.960000,1.027791,-1.665912,1.900670,-2.382877,-1.398238,-0.332487,-0.133352,-0.462031,0.404283,-0.223896,-2.905561,0.887584,-0.000128,0.000000,-0.000000,-0.000264,0.001127,-0.000959,1.027695,-1.665996,1.900491,-2.382805,-1.398191,-0.332440,-0.133388,-0.462013,0.404404,-0.224048,-2.905413,0.887842
