timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9541.808000,1.027647,-1.665984,1.900443,-2.382877,-1.398167,-0.332355,-0.133414,-0.462016,0.404432,-0.224210,-2.905338,0.887996,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.027695,-1.665996,1.900491,-2.382805,-1.398191,-0.332440,-0.133388,-0.462013,0.404404,-0.224048,-2.905413,0.887842
9541.968000,1.027683,-1.665097,1.900514,-2.383945,-1.398215,-0.332379,-0.133549,-0.462267,0.404115,-0.224112,-2.905232,0.888092,0.000000,0.044831,0.003822,-0.052443,0.000000,0.000000,1.027792,-1.664826,1.900612,-2.384111,-1.398252,-0.332352,-0.133541,-0.462346,0.403960,-0.224049,-2.905413,0.887842
9542.128000,1.029384,-1.644194,1.902287,-2.407051,-1.399149,-0.331060,-0.136247,-0.468190,0.396284,-0.223711,-2.905156,0.888387,0.015851,0.217736,0.015966,-0.227892,-0.028570,0.035258,1.029488,-1.643854,1.902423,-2.407150,-1.399322,-0.330819,-0.136257,-0.468276,0.396066,-0.224056,-2.905409,0.887849
9542.288000,1.033060,-1.595821,1.903951,-2.457568,-1.401316,-0.327714,-0.142329,-0.481544,0.378504,-0.223725,-2.905327,0.888461,0.028443,0.393415,0.001419,-0.393850,-0.037343,0.024807,1.033120,-1.595480,1.904042,-2.457685,-1.401632,-0.327543,-0.142369,-0.481617,0.378303,-0.224072,-2.905402,0.887865
9542.448000,1.038198,-1.518230,1.900035,-2.531910,-1.404813,-0.322940,-0.151793,-0.502141,0.350931,-0.224073,-2.905277,0.888257,0.036649,0.557359,-0.057652,-0.505902,-0.017257,0.033029,1.038286,-1.517857,1.899855,-2.531878,-1.404958,-0.322905,-0.151824,-0.502258,0.350823,-0.224098,-2.905390,0.887889
9542.608000,1.043504,-1.427949,1.885749,-2.608399,-1.408106,-0.318226,-0.162363,-0.525331,0.320035,-0.224073,-2.905583,0.888091,0.032687,0.570181,-0.118462,-0.454514,-0.048033,0.029265,1.043510,-1.427649,1.885536,-2.608514,-1.408365,-0.318246,-0.162434,-0.525420,0.319987,-0.224127,-2.905377,0.887917
9542.768000,1.048186,-1.335326,1.861381,-2.677285,-1.411399,-0.314148,-0.173028,-0.548527,0.289119,-0.224095,-2.905430,0.887914,0.027855,0.584485,-0.181917,-0.404587,-0.024807,0.024807,1.048218,-1.335235,1.861189,-2.677238,-1.411461,-0.314085,-0.173045,-0.548582,0.289150,-0.224156,-2.905363,0.887944
9542.928000,1.052198,-1.248109,1.829924,-2.733464,-1.413961,-0.310766,-0.182885,-0.570098,0.260367,-0.223920,-2.905559,0.887829,0.022677,0.465077,-0.193601,-0.275398,-0.026389,0.002493,1.052194,-1.248179,1.829746,-2.733395,-1.414086,-0.310601,-0.182910,-0.570117,0.260478,-0.224182,-2.905351,0.887969
9543.088000,1.054665,-1.188814,1.803808,-2.766898,-1.415565,-0.308559,-0.189594,-0.584701,0.240953,-0.224031,-2.905638,0.887781,0.010572,0.277906,-0.128854,-0.152943,-0.031159,0.032765,1.054687,-1.189085,1.803810,-2.766887,-1.415731,-0.308433,-0.189573,-0.584663,0.241112,-0.224200,-2.905343,0.887986
9543.408000,1.055874,-1.156764,1.788182,-2.783572,-1.416511,-0.307431,-0.193261,-0.592564,0.230474,-0.224194,-2.905475,0.887800,0.000281,-0.000818,-0.000000,0.000815,-0.001031,0.001055,1.055986,-1.156844,1.788105,-2.783596,-1.416587,-0.307308,-0.193205,-0.592590,0.230559,-0.224210,-2.905338,0.887996
9543.568000,1.055886,-1.156788,1.788157,-2.783631,-1.416523,-0.307371,-0.193257,-0.592569,0.230506,-0.224249,-2.905395,0.887932,0.000128,-0.000205,-0.000000,0.000264,-0.000288,0.000288,1.055986,-1.156844,1.788105,-2.783596,-1.416587,-0.307308,-0.193205,-0.592590,0.230559,-0.224210,-2.905338,0.887996
