timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9639.592000,0.978882,-1.218287,1.943817,-2.866487,-1.375068,-0.372993,-0.208723,-0.537984,0.210669,-0.224196,-2.905510,0.887658,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.978890,-1.218267,1.943791,-2.866536,-1.375080,-0.372970,-0.208726,-0.537993,0.210674,-0.224211,-2.905464,0.887715
9639.752000,0.978882,-1.218850,1.944008,-2.865924,-1.375068,-0.372861,-0.208651,-0.537875,0.210837,-0.224434,-2.905684,0.887456,0.000000,-0.038874,0.011019,0.016898,0.000000,0.016179,0.978960,-1.219196,1.943994,-2.865821,-1.375112,-0.372910,-0.208590,-0.537856,0.211025,-0.224211,-2.905464,0.887715
9639.912000,0.980462,-1.240917,1.948678,-2.848355,-1.375822,-0.371554,-0.205451,-0.534549,0.219076,-0.224487,-2.906007,0.886929,0.020031,-0.232897,0.043130,0.171902,0.029577,0.007262,0.980677,-1.241445,1.948561,-2.848420,-1.375903,-0.371452,-0.205322,-0.534560,0.219428,-0.224204,-2.905462,0.887721
9640.072000,0.984678,-1.292292,1.956989,-2.806238,-1.377523,-0.368063,-0.197780,-0.526914,0.238751,-0.224200,-2.905940,0.887446,0.035141,-0.410826,0.056693,0.347039,-0.050693,0.031974,0.984801,-1.292815,1.956948,-2.806105,-1.377803,-0.367961,-0.197697,-0.526870,0.239036,-0.224187,-2.905457,0.887734
9640.232000,0.991576,-1.371027,1.963732,-2.735394,-1.380732,-0.362330,-0.185771,-0.514849,0.269569,-0.224060,-2.905867,0.887506,0.052079,-0.547465,0.017820,0.524406,-0.009012,0.045756,0.991616,-1.371329,1.963647,-2.735370,-1.380957,-0.362228,-0.185748,-0.514819,0.269762,-0.224161,-2.905449,0.887754
9640.392000,0.999935,-1.456699,1.961755,-2.649300,-1.384852,-0.355361,-0.172144,-0.501087,0.304673,-0.224043,-2.905491,0.887655,0.052961,-0.511608,-0.042836,0.561533,-0.031902,0.046786,0.999955,-1.456826,1.961633,-2.649140,-1.384850,-0.355268,-0.172131,-0.501087,0.304776,-0.224132,-2.905439,0.887777
9640.552000,1.008929,-1.536659,1.949505,-2.558487,-1.389055,-0.347781,-0.158545,-0.487368,0.339683,-0.224177,-2.905485,0.887813,0.059429,-0.484853,-0.110204,0.586172,-0.031878,0.048177,1.008975,-1.536816,1.949380,-2.558236,-1.389118,-0.347799,-0.158515,-0.487354,0.339790,-0.224102,-2.905430,0.887800
9640.712000,1.017947,-1.604299,1.929266,-2.471998,-1.393413,-0.340392,-0.146012,-0.474763,0.371919,-0.224091,-2.905381,0.887922,0.047643,-0.336428,-0.128612,0.461249,-0.029481,0.037367,1.017923,-1.604329,1.929259,-2.471886,-1.393417,-0.340438,-0.146019,-0.474752,0.371923,-0.224075,-2.905422,0.887821
9641.032000,1.027432,-1.664449,1.901377,-2.385156,-1.397796,-0.332752,-0.133700,-0.462359,0.403533,-0.223814,-2.905621,0.887990,0.008117,-0.052500,-0.029746,0.080031,0.018504,0.017113,1.027404,-1.664325,1.901432,-2.385378,-1.398047,-0.332678,-0.133750,-0.462378,0.403472,-0.224049,-2.905413,0.887841
9641.192000,1.027575,-1.666008,1.900538,-2.382913,-1.398155,-0.332632,-0.133437,-0.461992,0.404399,-0.223908,-2.905309,0.887910,0.000281,0.000447,0.000396,-0.000815,-0.000264,-0.000959,1.027695,-1.665996,1.900491,-2.382805,-1.398191,-0.332440,-0.133388,-0.462013,0.404404,-0.224048,-2.905413,0.887842
9641.352000,1.027575,-1.665960,1.900574,-2.382925,-1.398167,-0.332440,-0.133444,-0.462001,0.404360,-0.224210,-2.905385,0.887844,0.000128,0.000153,0.000141,-0.000264,-0.000264,0.000743,1.027695,-1.665996,1.900491,-2.382805,-1.398191,-0.332440,-0.133388,-0.462013,0.404404,-0.224048,-2.905413,0.887842
