timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9633.512000,1.027635,-1.665996,1.900550,-2.382769,-1.398203,-0.332403,-0.133413,-0.461998,0.404369,-0.224211,-2.905464,0.887715,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.027695,-1.665996,1.900491,-2.382808,-1.398190,-0.332438,-0.133388,-0.462013,0.404404,-0.224050,-2.905412,0.887846
9633.672000,1.027551,-1.665276,1.900934,-2.384005,-1.398095,-0.332512,-0.133549,-0.462167,0.403995,-0.224095,-2.905392,0.887936,-0.007632,0.034297,0.019136,-0.050741,0.004842,0.000000,1.027537,-1.665093,1.901002,-2.384200,-1.398112,-0.332567,-0.133584,-0.462210,0.403900,-0.224050,-2.905412,0.887845
9633.832000,1.024881,-1.648967,1.909735,-2.408851,-1.396910,-0.334562,-0.136993,-0.465677,0.395034,-0.224318,-2.905248,0.887970,-0.029286,0.170310,0.086325,-0.247091,0.032381,-0.045037,1.024766,-1.648744,1.909739,-2.408906,-1.396751,-0.334832,-0.137070,-0.465726,0.394936,-0.224058,-2.905415,0.887839
9633.992000,1.018845,-1.610235,1.926991,-2.463889,-1.394012,-0.339816,-0.144851,-0.473593,0.374886,-0.223918,-2.905264,0.887738,-0.047093,0.316780,0.123818,-0.434069,0.034826,-0.041178,1.018748,-1.610004,1.927076,-2.464146,-1.393817,-0.339760,-0.144913,-0.473636,0.374768,-0.224074,-2.905420,0.887826
9634.152000,1.010055,-1.545436,1.947433,-2.547789,-1.389665,-0.347049,-0.156968,-0.485797,0.343709,-0.223912,-2.905418,0.887712,-0.059582,0.478858,0.118807,-0.581355,0.029433,-0.049998,1.009992,-1.545059,1.947453,-2.548217,-1.389602,-0.346960,-0.157047,-0.485874,0.343565,-0.224100,-2.905428,0.887805
9634.312000,1.000821,-1.466074,1.960929,-2.639215,-1.385367,-0.354521,-0.170649,-0.499503,0.308624,-0.224239,-2.905446,0.887566,-0.056540,0.516312,0.053945,-0.555996,0.023201,-0.043119,1.000894,-1.465739,1.960803,-2.639540,-1.385291,-0.354488,-0.170663,-0.499606,0.308552,-0.224130,-2.905438,0.887781
9634.472000,0.992462,-1.381073,1.963875,-2.726139,-1.381463,-0.361454,-0.184273,-0.513291,0.273694,-0.224267,-2.905253,0.887844,-0.050532,0.547171,-0.017232,-0.524406,0.012032,-0.039955,0.992484,-1.380772,1.963924,-2.726341,-1.381360,-0.361500,-0.184280,-0.513339,0.273537,-0.224159,-2.905447,0.887757
9634.632000,0.985396,-1.300203,1.957995,-2.799993,-1.378206,-0.367524,-0.196596,-0.525728,0.241869,-0.224109,-2.905251,0.887768,-0.034169,0.426690,-0.055607,-0.371942,0.040363,-0.033124,0.985400,-1.300038,1.957880,-2.799911,-1.378079,-0.367455,-0.196614,-0.525778,0.241820,-0.224185,-2.905456,0.887736
9634.792000,0.981037,-1.245855,1.949254,-2.845466,-1.376254,-0.371338,-0.204705,-0.533942,0.221228,-0.223835,-2.904731,0.888342,-0.021373,0.255689,-0.048141,-0.202102,-0.004650,-0.020900,0.981003,-1.245603,1.949352,-2.845107,-1.376052,-0.371176,-0.204709,-0.533942,0.221004,-0.224202,-2.905461,0.887722
9635.112000,0.979025,-1.218311,1.943805,-2.866439,-1.375105,-0.372765,-0.208649,-0.538012,0.210681,-0.224343,-2.905582,0.887668,0.000000,0.000000,0.000358,-0.000863,0.000000,-0.000455,0.978890,-1.218267,1.943791,-2.866536,-1.375080,-0.372970,-0.208726,-0.537993,0.210674,-0.224211,-2.905464,0.887715
9635.272000,0.978989,-1.218334,1.943781,-2.866547,-1.375105,-0.373018,-0.208671,-0.538009,0.210718,-0.223988,-2.905403,0.887803,0.000000,0.000000,0.000141,-0.000935,0.000000,-0.001150,0.978890,-1.218267,1.943791,-2.866536,-1.375080,-0.372970,-0.208726,-0.537993,0.210674,-0.224211,-2.905464,0.887715
