timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10748.152000,0.890941,-1.231711,1.934093,-3.383042,-1.486646,0.004377,-0.257633,-0.506431,0.284778,-0.752237,-2.334519,1.468890,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.890969,-1.231694,1.934027,-3.382973,-1.486585,0.004340,-0.257628,-0.506457,0.284789,-0.752133,-2.334602,1.468909
10748.312000,0.890989,-1.232814,1.935314,-3.383054,-1.486682,0.004389,-0.257318,-0.506078,0.284886,-0.752261,-2.334621,1.468779,0.000000,-0.051810,0.051606,0.000000,0.000000,0.000000,0.891005,-1.233017,1.935415,-3.383041,-1.486616,0.004356,-0.257268,-0.506039,0.284955,-0.752133,-2.334602,1.468909
10748.472000,0.891468,-1.256355,1.959540,-3.383712,-1.487017,0.004533,-0.251048,-0.498667,0.287883,-0.752139,-2.334715,1.468751,0.008360,-0.237102,0.249080,-0.016179,0.015963,-0.025910,0.891660,-1.256635,1.959871,-3.383901,-1.487177,0.004655,-0.250880,-0.498605,0.287920,-0.752130,-2.334604,1.468910
10748.632000,0.893205,-1.310261,2.013167,-3.383497,-1.488239,0.005205,-0.236564,-0.481961,0.294464,-0.751827,-2.334914,1.468893,0.013461,-0.436098,0.416322,0.005992,-0.051436,-0.036432,0.893234,-1.310633,2.013298,-3.383384,-1.488514,0.005377,-0.236508,-0.481878,0.294591,-0.752122,-2.334608,1.468912
10748.792000,0.895959,-1.396694,2.091540,-3.375788,-1.490550,0.006356,-0.214296,-0.456045,0.304830,-0.751569,-2.334693,1.469110,0.019839,-0.616059,0.531192,0.090193,-0.035617,-0.028043,0.895989,-1.396976,2.091569,-3.375405,-1.490824,0.006649,-0.214272,-0.456001,0.304911,-0.752111,-2.334614,1.468916
10748.952000,0.899588,-1.498566,2.172696,-3.354815,-1.493676,0.008143,-0.189402,-0.427042,0.316391,-0.751890,-2.334938,1.468682,0.023559,-0.647071,0.480085,0.164543,-0.009252,0.021596,0.899652,-1.498830,2.172775,-3.354877,-1.493856,0.008350,-0.189338,-0.426984,0.316483,-0.752098,-2.334620,1.468920
10749.112000,0.903277,-1.587068,2.233829,-3.327675,-1.496657,0.009786,-0.168882,-0.403221,0.325923,-0.751717,-2.334884,1.468809,0.020440,-0.458443,0.294908,0.170248,-0.016706,0.005009,0.903235,-1.587036,2.233730,-3.327737,-1.496796,0.010018,-0.168922,-0.403226,0.325958,-0.752088,-2.334626,1.468923
10749.272000,0.905780,-1.643307,2.268219,-3.306185,-1.498681,0.010985,-0.156441,-0.388741,0.331782,-0.751643,-2.334647,1.469135,0.009881,-0.239595,0.145166,0.106324,-0.047505,0.048848,0.905743,-1.643159,2.268198,-3.306156,-1.498847,0.011183,-0.156492,-0.388760,0.331728,-0.752082,-2.334629,1.468925
10749.432000,0.906546,-1.664089,2.280138,-3.297457,-1.499591,0.011501,-0.152034,-0.383470,0.333888,-0.751969,-2.334317,1.469107,0.001023,-0.015071,0.007529,0.004961,-0.032381,-0.032381,0.906711,-1.663706,2.280008,-3.297447,-1.499637,0.011632,-0.152046,-0.383586,0.333791,-0.752079,-2.334631,1.468926
10749.752000,0.906702,-1.663849,2.280066,-3.297457,-1.499615,0.011681,-0.152020,-0.383549,0.333824,-0.752106,-2.334553,1.469056,0.002339,-0.000141,0.000128,0.000767,0.000000,0.000216,0.906714,-1.663765,2.280042,-3.297421,-1.499639,0.011633,-0.152033,-0.383571,0.333797,-0.752079,-2.334631,1.468926
10749.912000,0.906738,-1.663837,2.280078,-3.297433,-1.499615,0.011705,-0.152007,-0.383556,0.333811,-0.752115,-2.334620,1.469031,0.000332,-0.000089,0.000077,0.000527,0.000000,0.000144,0.906714,-1.663765,2.280042,-3.297421,-1.499639,0.011633,-0.152033,-0.383571,0.333797,-0.752079,-2.334631,1.468926
