timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10735.064000,0.906738,-1.663778,2.280054,-3.297421,-1.499698,0.011669,-0.152025,-0.383568,0.333796,-0.752133,-2.334602,1.468909,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.906714,-1.663765,2.280042,-3.297421,-1.499639,0.011633,-0.152033,-0.383571,0.333797,-0.752079,-2.334631,1.468926
10735.224000,0.906690,-1.662411,2.279191,-3.297972,-1.499627,0.011633,-0.152322,-0.383928,0.333694,-0.752080,-2.334584,1.468976,-0.003541,0.064504,-0.036573,-0.017401,0.009683,0.000000,0.906634,-1.662095,2.279098,-3.298145,-1.499574,0.011596,-0.152392,-0.383989,0.333630,-0.752080,-2.334631,1.468926
10735.384000,0.905277,-1.632827,2.262278,-3.310328,-1.498752,0.011117,-0.158746,-0.391350,0.330596,-0.752516,-2.334612,1.468553,-0.013256,0.297298,-0.174874,-0.118045,0.020349,0.003212,0.905261,-1.632682,2.262011,-3.310431,-1.498452,0.010959,-0.158780,-0.391423,0.330666,-0.752083,-2.334629,1.468925
10735.544000,0.902402,-1.568578,2.221661,-3.334140,-1.496454,0.009822,-0.173145,-0.408071,0.324025,-0.752511,-2.334326,1.468803,-0.021591,0.507812,-0.330113,-0.164855,0.016179,-0.017113,0.902442,-1.568366,2.221531,-3.334184,-1.496147,0.009649,-0.173153,-0.408149,0.323995,-0.752090,-2.334625,1.468922
10735.704000,0.898630,-1.473543,2.153784,-3.361039,-1.493208,0.008299,-0.195424,-0.434002,0.313641,-0.752789,-2.334543,1.468851,-0.024518,0.647621,-0.495297,-0.152463,0.040459,0.002924,0.898698,-1.473557,2.153728,-3.361072,-1.493070,0.007907,-0.195389,-0.434027,0.313675,-0.752102,-2.334619,1.468919
10735.864000,0.895229,-1.373065,2.070856,-3.378529,-1.490286,0.006416,-0.220313,-0.463040,0.302067,-0.752338,-2.334581,1.468848,-0.020824,0.606153,-0.532381,-0.063780,0.018504,-0.012559,0.895197,-1.373101,2.070802,-3.378487,-1.490163,0.006282,-0.220323,-0.463043,0.302102,-0.752114,-2.334612,1.468915
10736.024000,0.892726,-1.294318,1.997814,-3.383904,-1.488383,0.005325,-0.240806,-0.486825,0.292469,-0.752632,-2.334642,1.468475,-0.013537,0.392789,-0.376925,-0.009492,0.046978,-0.013974,0.892756,-1.294606,1.997802,-3.383898,-1.488109,0.005157,-0.240738,-0.486802,0.292627,-0.752125,-2.334606,1.468912
10736.184000,0.891468,-1.248181,1.951097,-3.383628,-1.487149,0.004521,-0.253163,-0.501278,0.286896,-0.752128,-2.334458,1.468850,-0.006277,0.196784,-0.202409,0.008005,0.045876,-0.016490,0.891422,-1.248149,1.951160,-3.383668,-1.486974,0.004546,-0.253169,-0.501268,0.286858,-0.752131,-2.334603,1.468910
10736.344000,0.891061,-1.231448,1.934021,-3.383185,-1.486526,0.004269,-0.257601,-0.506514,0.284679,-0.751923,-2.334741,1.468931,-0.001329,0.011467,-0.010942,0.003811,-0.054552,-0.032381,0.890970,-1.231742,1.934076,-3.382976,-1.486586,0.004340,-0.257615,-0.506442,0.284795,-0.752133,-2.334602,1.468909
10736.664000,0.891001,-1.231651,1.934104,-3.383005,-1.486682,0.004245,-0.257612,-0.506453,0.284736,-0.752066,-2.334638,1.468724,0.000000,0.000000,0.000141,0.000551,-0.003404,-0.000216,0.890969,-1.231694,1.934027,-3.382973,-1.486585,0.004340,-0.257628,-0.506457,0.284789,-0.752133,-2.334602,1.468909
10736.824000,0.891037,-1.231699,1.934116,-3.382982,-1.486682,0.004281,-0.257587,-0.506454,0.284755,-0.752069,-2.334650,1.468767,0.000000,0.000000,0.000089,0.000312,-0.000360,-0.000144,0.890969,-1.231694,1.934027,-3.382973,-1.486585,0.004340,-0.257628,-0.506457,0.284789,-0.752133,-2.334602,1.468909
