timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10248.160000,1.185189,-1.764970,1.988665,-2.520060,-1.635450,0.203274,-0.062680,-0.433913,0.420244,-0.843617,-2.690803,1.058649,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.185201,-1.764958,1.988581,-2.520072,-1.635402,0.203226,-0.062675,-0.433926,0.420283,-0.843510,-2.690814,1.058779
10248.320000,1.185093,-1.764418,1.988581,-2.520851,-1.635282,0.203166,-0.062779,-0.434088,0.420150,-0.843492,-2.690725,1.059129,-0.005394,0.037519,-0.006852,-0.040579,-0.002996,-0.004506,1.184983,-1.764097,1.988527,-2.520891,-1.635263,0.203065,-0.062867,-0.434185,0.420045,-0.843510,-2.690814,1.058779
10248.480000,1.180015,-1.743695,1.987048,-2.540185,-1.632384,0.199604,-0.067375,-0.440256,0.414442,-0.843867,-2.690444,1.058844,-0.053498,0.222491,-0.020504,-0.198794,0.036887,-0.044294,1.179869,-1.743286,1.986934,-2.540374,-1.631999,0.199292,-0.067465,-0.440392,0.414345,-0.843514,-2.690814,1.058774
10248.640000,1.168734,-1.694093,1.981096,-2.584115,-1.624934,0.190994,-0.078126,-0.454780,0.401047,-0.843431,-2.690885,1.058530,-0.086401,0.405035,-0.061129,-0.339537,0.055990,-0.065026,1.168663,-1.693816,1.980914,-2.584360,-1.624860,0.191026,-0.078193,-0.454874,0.401044,-0.843522,-2.690813,1.058764
10248.800000,1.152830,-1.614563,1.965192,-2.648532,-1.614827,0.179315,-0.095002,-0.477464,0.380254,-0.843506,-2.690796,1.058711,-0.102508,0.569145,-0.142174,-0.435291,0.065386,-0.079168,1.152919,-1.614260,1.965048,-2.648700,-1.614859,0.179409,-0.095006,-0.477569,0.380202,-0.843536,-2.690811,1.058747
10248.960000,1.137286,-1.521923,1.937709,-2.714403,-1.605043,0.167792,-0.114111,-0.503334,0.356538,-0.843441,-2.690632,1.058918,-0.092128,0.585188,-0.202549,-0.385245,0.058435,-0.065122,1.137255,-1.521613,1.937557,-2.714382,-1.604940,0.167841,-0.114164,-0.503431,0.356452,-0.843551,-2.690810,1.058729
10249.120000,1.123466,-1.428248,1.900371,-2.771189,-1.596265,0.157647,-0.133349,-0.529202,0.332840,-0.843546,-2.690601,1.059048,-0.078335,0.584536,-0.262311,-0.325923,0.050621,-0.055056,1.123591,-1.427944,1.900315,-2.771170,-1.596305,0.157731,-0.133322,-0.529293,0.332701,-0.843567,-2.690808,1.058710
10249.280000,1.111574,-1.334416,1.853945,-2.818464,-1.588709,0.148725,-0.152425,-0.555041,0.308968,-0.843464,-2.690890,1.058531,-0.070013,0.587093,-0.319541,-0.272713,0.039644,-0.051029,1.111576,-1.334107,1.853636,-2.818569,-1.588715,0.148822,-0.152480,-0.555155,0.308950,-0.843582,-2.690806,1.058692
10249.600000,1.093730,-1.171625,1.750631,-2.878388,-1.577536,0.135595,-0.185905,-0.600197,0.267550,-0.843688,-2.690605,1.058760,-0.032124,0.343893,-0.250563,-0.100955,0.025982,-0.027947,1.093793,-1.171621,1.750556,-2.878199,-1.577449,0.135595,-0.185869,-0.600227,0.267558,-0.843609,-2.690803,1.058660
10249.760000,1.089814,-1.131200,1.720732,-2.888466,-1.575213,0.132837,-0.194259,-0.611456,0.257058,-0.844069,-2.690735,1.058059,-0.016925,0.158869,-0.122885,-0.038062,0.012104,-0.036025,1.089881,-1.131431,1.720659,-2.888520,-1.574961,0.132678,-0.194189,-0.611458,0.257243,-0.843615,-2.690803,1.058651
10249.920000,1.088928,-1.120414,1.712315,-2.890887,-1.574530,0.132153,-0.196421,-0.614521,0.254320,-0.843996,-2.690819,1.058178,-0.000729,-0.002595,0.003426,0.001606,0.012943,-0.016179,1.088854,-1.120573,1.712280,-2.891005,-1.574306,0.131911,-0.196441,-0.614498,0.254452,-0.843617,-2.690803,1.058649
