timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10495.624000,0.845492,-1.285747,1.713776,-2.607907,-1.239979,-0.539207,-0.293831,-0.538840,0.324089,-0.107361,-2.869675,1.006347,0.000000,0.000000,-0.000115,0.000000,0.000000,0.000000,0.845536,-1.285755,1.713860,-2.607888,-1.239917,-0.539111,-0.293792,-0.538844,0.324052,-0.107437,-2.869833,1.006348
10495.784000,0.845492,-1.286718,1.714075,-2.607223,-1.239991,-0.539219,-0.293643,-0.538625,0.324442,-0.107357,-2.869674,1.006318,0.000000,-0.047106,0.011748,0.039931,0.000000,0.000000,0.845515,-1.286949,1.714139,-2.606966,-1.239898,-0.539131,-0.293579,-0.538585,0.324521,-0.107437,-2.869833,1.006348
10495.944000,0.845348,-1.307851,1.718781,-2.590435,-1.239644,-0.539351,-0.289721,-0.534080,0.332709,-0.107433,-2.870045,1.006182,-0.005382,-0.212661,0.042657,0.170344,0.004314,0.003595,0.845137,-1.308089,1.718772,-2.590342,-1.239558,-0.539499,-0.289790,-0.533979,0.332845,-0.107436,-2.869834,1.006349
10496.104000,0.844318,-1.354795,1.726875,-2.551531,-1.238961,-0.540155,-0.281270,-0.523655,0.351516,-0.107710,-2.869747,1.006267,-0.008961,-0.367900,0.051657,0.327121,-0.035473,-0.044150,0.844254,-1.354931,1.726871,-2.551321,-1.238769,-0.540365,-0.281266,-0.523617,0.351575,-0.107435,-2.869837,1.006350
10496.264000,0.842749,-1.424831,1.733078,-2.486848,-1.237716,-0.541414,-0.268171,-0.507624,0.380367,-0.108280,-2.870103,1.005887,-0.009664,-0.483703,0.014816,0.472874,-0.005633,0.010330,0.842796,-1.425123,1.733040,-2.486832,-1.237485,-0.541817,-0.268078,-0.507586,0.380552,-0.107434,-2.869841,1.006351
10496.424000,0.840977,-1.499873,1.730862,-2.409211,-1.236160,-0.543454,-0.253316,-0.489583,0.412979,-0.107861,-2.869875,1.006063,-0.009229,-0.454608,-0.046045,0.497609,0.021044,-0.027324,0.841013,-1.499929,1.730735,-2.409137,-1.235952,-0.543628,-0.253279,-0.489596,0.413068,-0.107433,-2.869845,1.006353
10496.584000,0.839036,-1.569513,1.718829,-2.326846,-1.234471,-0.545517,-0.238542,-0.471646,0.445424,-0.107755,-2.869942,1.006085,-0.013576,-0.415287,-0.107647,0.526491,0.027827,-0.028810,0.839052,-1.569722,1.718677,-2.326633,-1.234320,-0.545649,-0.238481,-0.471606,0.445585,-0.107431,-2.869850,1.006354
10496.744000,0.836928,-1.633798,1.697073,-2.240507,-1.232747,-0.547724,-0.223642,-0.453586,0.478111,-0.107614,-2.869559,1.006494,-0.011620,-0.382115,-0.166181,0.556619,0.012224,-0.012943,0.836885,-1.633686,1.696912,-2.240169,-1.232585,-0.547906,-0.223682,-0.453616,0.478102,-0.107430,-2.869854,1.006356
10496.904000,0.834521,-1.691167,1.665570,-2.150901,-1.230999,-0.550267,-0.208864,-0.435607,0.510656,-0.107595,-2.869427,1.006469,-0.018331,-0.333845,-0.225866,0.574715,0.026341,-0.021596,0.834478,-1.691068,1.665526,-2.150580,-1.230739,-0.550426,-0.208892,-0.435637,0.510599,-0.107428,-2.869859,1.006357
10497.224000,0.830905,-1.755927,1.609320,-2.028209,-1.228197,-0.553985,-0.189303,-0.411853,0.553580,-0.107752,-2.869948,1.006257,-0.006647,-0.090799,-0.104975,0.208142,0.018504,0.022794,0.830850,-1.755870,1.609342,-2.028346,-1.228100,-0.554222,-0.189338,-0.411868,0.553563,-0.107427,-2.869865,1.006359
10497.384000,0.830401,-1.763806,1.600328,-2.011257,-1.227838,-0.554669,-0.186598,-0.408590,0.559487,-0.107503,-2.869823,1.006316,-0.001291,-0.005752,-0.007529,0.011769,-0.043191,-0.040650,0.830308,-1.763694,1.600362,-2.011355,-1.227720,-0.554787,-0.186665,-0.408618,0.559437,-0.107426,-2.869866,1.006360
