timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
12511.968000,0.997372,-1.537978,1.707142,-2.185529,-1.386863,-0.527140,-0.177124,-0.505472,0.415185,0.000340,-2.975118,0.714023,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.997384,-1.537966,1.707107,-2.185517,-1.386899,-0.527068,-0.177124,-0.505479,0.415195,0.000240,-2.975103,0.714013
12512.128000,0.997432,-1.537151,1.707059,-2.186465,-1.386899,-0.527092,-0.177262,-0.505741,0.414909,0.000381,-2.974964,0.714225,0.004730,0.042747,-0.003132,-0.039356,0.000000,0.006232,0.997501,-1.536795,1.706911,-2.186511,-1.386955,-0.526956,-0.177303,-0.505862,0.414803,0.000241,-2.975103,0.714013
12512.288000,0.999384,-1.516072,1.703263,-2.203843,-1.387761,-0.525461,-0.180500,-0.512573,0.407847,0.000741,-2.975155,0.714006,0.019622,0.211907,-0.042427,-0.164160,-0.026533,0.008053,0.999548,-1.515873,1.703088,-2.203955,-1.387938,-0.524995,-0.180475,-0.512668,0.407841,0.000245,-2.975104,0.714014
12512.448000,1.003887,-1.468400,1.692319,-2.241323,-1.389797,-0.520867,-0.187556,-0.527887,0.392230,0.000362,-2.975302,0.714164,0.034770,0.385707,-0.099146,-0.290186,-0.009252,0.034059,1.003932,-1.468111,1.692150,-2.241510,-1.390055,-0.520801,-0.187612,-0.527982,0.392176,0.000256,-2.975105,0.714015
12512.608000,1.010126,-1.392918,1.669066,-2.294724,-1.392946,-0.514893,-0.198608,-0.551576,0.368021,0.000326,-2.975118,0.714233,0.042798,0.538351,-0.192834,-0.353990,-0.037103,0.039117,1.010170,-1.392616,1.668884,-2.294762,-1.393091,-0.514853,-0.198653,-0.551673,0.367941,0.000272,-2.975108,0.714016
12512.768000,1.016498,-1.306305,1.633817,-2.347040,-1.396024,-0.508836,-0.210978,-0.578195,0.340809,0.000331,-2.975208,0.714194,0.038899,0.552821,-0.249885,-0.301835,-0.010786,0.034730,1.016483,-1.306065,1.633665,-2.347106,-1.396186,-0.508862,-0.211044,-0.578259,0.340745,0.000291,-2.975111,0.714018
12512.928000,1.022186,-1.218371,1.589014,-2.391095,-1.398778,-0.503474,-0.223357,-0.604767,0.313666,0.000376,-2.975215,0.714272,0.032495,0.556950,-0.309570,-0.249008,-0.007191,0.030416,1.022174,-1.218047,1.588855,-2.391208,-1.398986,-0.503493,-0.223434,-0.604846,0.313549,0.000309,-2.975113,0.714020
12513.088000,1.026773,-1.139661,1.541529,-2.423055,-1.400956,-0.499227,-0.234287,-0.628247,0.289627,0.000504,-2.975235,0.714371,0.022409,0.403092,-0.266504,-0.145920,-0.035138,0.021787,1.026737,-1.139633,1.541473,-2.422941,-1.401231,-0.499215,-0.234337,-0.628239,0.289619,0.000325,-2.975116,0.714022
12513.248000,1.029492,-1.088966,1.507299,-2.439718,-1.402418,-0.496805,-0.241280,-0.643215,0.274223,0.000609,-2.975299,0.713995,0.012336,0.227656,-0.163471,-0.072409,-0.044342,0.007622,1.029462,-1.089054,1.507218,-2.439679,-1.402568,-0.496674,-0.241310,-0.643201,0.274314,0.000335,-2.975117,0.714023
12513.568000,1.030497,-1.066161,1.490729,-2.446304,-1.403088,-0.495629,-0.244545,-0.649913,0.267439,0.000227,-2.975080,0.714103,0.000345,0.000000,0.000332,-0.000455,0.000743,0.002397,1.030643,-1.066163,1.490769,-2.446297,-1.403146,-0.495575,-0.244450,-0.649939,0.267421,0.000340,-2.975118,0.714023
12513.728000,1.030629,-1.066184,1.490753,-2.446339,-1.403124,-0.495533,-0.244458,-0.649937,0.267448,0.000273,-2.975076,0.714138,0.001317,0.000000,0.000128,-0.000216,0.000264,0.000647,1.030643,-1.066163,1.490769,-2.446297,-1.403146,-0.495575,-0.244450,-0.649939,0.267421,0.000340,-2.975118,0.714023
