timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
13068.920000,0.967672,-1.059810,1.852388,-3.238297,-1.597175,0.026636,-0.254279,-0.561368,0.200396,-0.819021,-2.497112,1.169794,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.967644,-1.059859,1.852401,-3.238246,-1.597173,0.026665,-0.254290,-0.561354,0.200415,-0.819095,-2.497102,1.169779
13069.080000,0.967792,-1.060900,1.853418,-3.238094,-1.597307,0.026720,-0.254003,-0.561075,0.200622,-0.819077,-2.497185,1.169603,0.009549,-0.050839,0.044895,0.004626,-0.022842,0.003571,0.967871,-1.061169,1.853551,-3.238081,-1.597345,0.026811,-0.253925,-0.561040,0.200731,-0.819095,-2.497102,1.169779
13069.240000,0.971851,-1.084137,1.873524,-3.234992,-1.600134,0.029034,-0.247530,-0.555514,0.206212,-0.818550,-2.497335,1.169804,0.043949,-0.235517,0.201322,0.035641,-0.040698,0.025670,0.971978,-1.084520,1.873713,-3.234802,-1.600453,0.029461,-0.247430,-0.555455,0.206343,-0.819096,-2.497103,1.169776
13069.400000,0.981552,-1.136833,1.917160,-3.225150,-1.607786,0.035617,-0.232936,-0.542930,0.218587,-0.819227,-2.497442,1.169054,0.081672,-0.427188,0.332375,0.093069,-0.059514,0.051676,0.981684,-1.137519,1.917153,-3.224997,-1.607787,0.035724,-0.232818,-0.542891,0.218969,-0.819098,-2.497105,1.169770
13069.560000,0.998067,-1.220312,1.979084,-3.203032,-1.620156,0.046195,-0.210267,-0.523508,0.238168,-0.819085,-2.497544,1.169019,0.122015,-0.590608,0.409036,0.183694,-0.088515,0.080726,0.998100,-1.220898,1.979038,-3.202979,-1.620161,0.046324,-0.210210,-0.523451,0.238504,-0.819101,-2.497108,1.169760
13069.720000,1.018713,-1.315967,2.040424,-3.167991,-1.635797,0.059638,-0.184983,-0.501718,0.260149,-0.819229,-2.497337,1.169105,0.139375,-0.605360,0.354695,0.249607,-0.098223,0.089187,1.018859,-1.316589,2.040520,-3.167916,-1.635768,0.059743,-0.184842,-0.501638,0.260425,-0.819105,-2.497111,1.169749
13069.880000,1.042462,-1.413850,2.092929,-3.122001,-1.653533,0.074928,-0.159590,-0.479927,0.282219,-0.818976,-2.496952,1.169878,0.158920,-0.620252,0.300072,0.325156,-0.120585,0.100955,1.042564,-1.414403,2.093113,-3.121458,-1.653549,0.075089,-0.159473,-0.479824,0.282347,-0.819109,-2.497114,1.169738
13070.040000,1.069850,-1.513050,2.136333,-3.063716,-1.673748,0.092748,-0.134138,-0.458134,0.303913,-0.819059,-2.497716,1.169179,0.180780,-0.626209,0.238751,0.395599,-0.138921,0.119483,1.069825,-1.513782,2.136218,-3.063415,-1.673958,0.092771,-0.134104,-0.458010,0.304268,-0.819113,-2.497117,1.169728
13070.200000,1.098233,-1.603436,2.166491,-3.001566,-1.695125,0.110976,-0.111201,-0.438424,0.323854,-0.818749,-2.497381,1.169384,0.154919,-0.467545,0.133456,0.346176,-0.117685,0.101986,1.098046,-1.603723,2.166387,-3.001419,-1.695055,0.111130,-0.111258,-0.438366,0.324009,-0.819117,-2.497120,1.169718
13070.520000,1.128867,-1.688649,2.187092,-2.934493,-1.718036,0.131170,-0.089474,-0.419656,0.342832,-0.818962,-2.497038,1.169928,0.025093,-0.068569,0.011863,0.057548,-0.023058,0.023441,1.128722,-1.688419,2.187041,-2.934504,-1.717959,0.131170,-0.089558,-0.419707,0.342760,-0.819120,-2.497123,1.169709
13070.680000,1.129465,-1.690220,2.187320,-2.933115,-1.718311,0.131434,-0.089068,-0.419327,0.343213,-0.818729,-2.497190,1.170011,-0.000345,0.000435,-0.000268,-0.000719,0.000000,-0.000647,1.129418,-1.690195,2.187392,-2.933007,-1.718478,0.131625,-0.089099,-0.419312,0.343157,-0.819120,-2.497123,1.169709
