timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
13878.040000,0.990127,-0.929566,1.271888,-2.260536,-1.507985,-0.108860,-0.309227,-0.682709,0.252677,-0.684027,-2.954558,0.531824,0.000000,0.000192,-0.000000,0.000000,0.000000,0.000000,0.990091,-0.929602,1.271850,-2.260572,-1.508021,-0.108868,-0.309256,-0.682698,0.252726,-0.684049,-2.954450,0.531947
13878.200000,0.990258,-0.930310,1.272690,-2.260176,-1.507997,-0.108824,-0.308985,-0.682515,0.252795,-0.683970,-2.954839,0.531255,0.007529,-0.040024,0.035985,0.031327,-0.000048,-0.006999,0.990211,-0.930799,1.272718,-2.260249,-1.508059,-0.108756,-0.308977,-0.682429,0.253152,-0.684049,-2.954450,0.531947
13878.360000,0.992331,-0.951506,1.287727,-2.254380,-1.508560,-0.107324,-0.304096,-0.677713,0.260418,-0.683271,-2.954853,0.531626,0.020428,-0.218311,0.151097,0.068118,0.032381,0.002133,0.992371,-0.951984,1.287769,-2.254232,-1.508740,-0.106749,-0.304030,-0.677637,0.260730,-0.684047,-2.954449,0.531950
13878.520000,0.997396,-0.998622,1.318878,-2.238875,-1.509901,-0.102192,-0.292910,-0.666962,0.277623,-0.683869,-2.954886,0.532091,0.040625,-0.372732,0.235031,0.133840,-0.052874,0.037894,0.997380,-0.998972,1.319049,-2.238789,-1.510316,-0.102101,-0.292897,-0.666856,0.277779,-0.684043,-2.954447,0.531957
13878.680000,1.005588,-1.069528,1.360386,-2.210049,-1.512667,-0.094456,-0.275704,-0.650285,0.304071,-0.684087,-2.954600,0.532204,0.059109,-0.489071,0.264509,0.229977,-0.010163,0.057812,1.005568,-1.069839,1.360616,-2.209904,-1.512889,-0.094526,-0.275674,-0.650177,0.304157,-0.684037,-2.954442,0.531968
13878.840000,1.015360,-1.146493,1.397536,-2.170790,-1.515948,-0.085485,-0.256437,-0.631499,0.333757,-0.684024,-2.954368,0.532205,0.066076,-0.464694,0.203470,0.265163,-0.019702,0.060592,1.015449,-1.146647,1.397718,-2.170669,-1.515996,-0.085415,-0.256348,-0.631461,0.333756,-0.684031,-2.954438,0.531981
13879.000000,1.026114,-1.220192,1.424976,-2.125083,-1.519277,-0.075674,-0.237068,-0.612795,0.363304,-0.683884,-2.954396,0.532359,0.068096,-0.447858,0.140462,0.309792,-0.038110,0.063516,1.026148,-1.220356,1.424996,-2.124711,-1.519370,-0.075580,-0.237021,-0.612744,0.363356,-0.684024,-2.954433,0.531993
13879.160000,1.037731,-1.290410,1.442696,-2.072710,-1.523050,-0.064953,-0.217740,-0.594068,0.392814,-0.684043,-2.954484,0.531841,0.073184,-0.431125,0.078131,0.337620,-0.029313,0.068190,1.037762,-1.290597,1.442611,-2.072556,-1.523054,-0.064928,-0.217694,-0.594027,0.392955,-0.684017,-2.954429,0.532006
13879.320000,1.048629,-1.348238,1.450250,-2.022854,-1.526510,-0.054963,-0.200968,-0.577816,0.418516,-0.684052,-2.954487,0.531883,0.057473,-0.289795,0.019354,0.261927,-0.011769,0.051484,1.048645,-1.348241,1.450126,-2.022829,-1.526530,-0.054965,-0.200964,-0.577825,0.418578,-0.684012,-2.954425,0.532017
13879.640000,1.059144,-1.397029,1.450933,-1.975035,-1.529792,-0.045524,-0.185964,-0.563333,0.441427,-0.683780,-2.954640,0.531846,0.006366,-0.027036,-0.000703,0.023130,0.037535,0.001174,1.059094,-1.396975,1.450797,-1.975117,-1.529892,-0.045409,-0.186014,-0.563348,0.441474,-0.684006,-2.954421,0.532026
13879.800000,1.059108,-1.397377,1.450933,-1.974843,-1.529935,-0.045584,-0.185930,-0.563206,0.441606,-0.683729,-2.954424,0.531977,0.000000,-0.000332,-0.000000,-0.000527,0.000695,-0.000431,1.059192,-1.397401,1.450777,-1.974675,-1.529923,-0.045320,-0.185880,-0.563217,0.441680,-0.684006,-2.954421,0.532026
