timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
13964.248000,0.824281,-1.390352,1.451268,-1.976919,-1.351599,-0.672990,-0.302427,-0.515739,0.439273,-0.047077,-3.016749,0.609922,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.824317,-1.390340,1.451268,-1.976847,-1.351611,-0.672978,-0.302410,-0.515750,0.439258,-0.047060,-3.016824,0.609829
13964.408000,0.824353,-1.389849,1.451675,-1.977905,-1.351647,-0.672846,-0.302522,-0.515899,0.438886,-0.047176,-3.016698,0.609965,0.000000,0.026832,0.018229,-0.045348,0.000000,0.006807,0.824413,-1.389615,1.451707,-1.978033,-1.351649,-0.672879,-0.302549,-0.515980,0.438748,-0.047060,-3.016824,0.609829
13964.568000,0.825970,-1.376685,1.459146,-1.998927,-1.352091,-0.671514,-0.305030,-0.519993,0.429813,-0.046606,-3.016720,0.610187,0.018612,0.134684,0.073490,-0.211857,0.013350,0.019295,0.826106,-1.376497,1.459173,-1.998989,-1.352313,-0.671134,-0.305017,-0.520071,0.429691,-0.047061,-3.016820,0.609833
13964.728000,0.829803,-1.345805,1.473728,-2.045075,-1.353551,-0.667400,-0.310488,-0.529206,0.409415,-0.046891,-3.016900,0.610115,0.030066,0.256098,0.102099,-0.353655,-0.031782,0.026413,0.829811,-1.345521,1.473619,-2.045221,-1.353780,-0.667320,-0.310570,-0.529276,0.409313,-0.047063,-3.016812,0.609843
13964.888000,0.835240,-1.294054,1.489580,-2.114028,-1.355766,-0.661751,-0.319123,-0.543466,0.377928,-0.046968,-3.016735,0.610282,0.036995,0.382639,0.087322,-0.462855,-0.027971,0.040195,0.835278,-1.293824,1.489582,-2.114063,-1.355979,-0.661708,-0.319161,-0.543518,0.377786,-0.047066,-3.016799,0.609859
13965.048000,0.840965,-1.230956,1.498452,-2.187076,-1.357982,-0.655813,-0.328794,-0.559445,0.342434,-0.047086,-3.016934,0.610302,0.034259,0.412321,0.024518,-0.442553,-0.044342,0.035617,0.841057,-1.230816,1.498301,-2.187023,-1.358344,-0.655800,-0.328802,-0.559499,0.342408,-0.047069,-3.016785,0.609876
13965.208000,0.846510,-1.163380,1.497386,-2.255004,-1.360436,-0.650319,-0.338380,-0.575446,0.307192,-0.046879,-3.016593,0.610395,0.029798,0.432774,-0.034770,-0.411490,-0.030416,0.034802,0.846492,-1.163111,1.497325,-2.254896,-1.360603,-0.650274,-0.338443,-0.575480,0.307030,-0.047072,-3.016771,0.609894
13965.368000,0.850809,-1.102473,1.488886,-2.308343,-1.362268,-0.645881,-0.346646,-0.589036,0.277084,-0.047017,-3.016553,0.610436,0.019239,0.315732,-0.059621,-0.261232,-0.008629,0.028091,0.850858,-1.102428,1.488898,-2.308058,-1.362436,-0.645862,-0.346623,-0.589040,0.277012,-0.047075,-3.016759,0.609909
13965.528000,0.853456,-1.063248,1.480110,-2.339133,-1.363322,-0.643517,-0.351725,-0.597505,0.258314,-0.046589,-3.016705,0.610276,0.013320,0.172381,-0.044933,-0.134127,0.042161,0.005513,0.853471,-1.063287,1.480118,-2.338956,-1.363539,-0.643234,-0.351719,-0.597487,0.258312,-0.047077,-3.016752,0.609918
13965.848000,0.854390,-1.047155,1.475967,-2.350675,-1.363945,-0.642222,-0.353821,-0.600833,0.250614,-0.047288,-3.017142,0.609451,0.000000,0.000000,0.000332,0.000527,-0.000623,0.003404,0.854498,-1.047302,1.475828,-2.350861,-1.363974,-0.642204,-0.353766,-0.600880,0.250803,-0.047077,-3.016749,0.609922
13966.008000,0.854414,-1.047226,1.475920,-2.350915,-1.363993,-0.642174,-0.353815,-0.600846,0.250713,-0.047274,-3.016822,0.609779,0.000141,0.000000,0.000128,-0.001870,-0.000240,0.000360,0.854498,-1.047302,1.475828,-2.350861,-1.363974,-0.642204,-0.353766,-0.600880,0.250803,-0.047077,-3.016749,0.609922
