timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
14613.592000,0.949121,-0.952992,1.565044,-2.700160,-0.891842,-0.761324,-0.263934,-0.648007,0.200950,-0.450038,2.680299,-1.156328,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.949162,-0.952993,1.564968,-2.700154,-0.891724,-0.761300,-0.263910,-0.648034,0.200988,-0.450121,2.680155,-1.156453
14613.752000,0.948738,-0.953914,1.565607,-2.699441,-0.891590,-0.761719,-0.264026,-0.647713,0.201262,-0.449955,2.680223,-1.156240,-0.015110,-0.044754,0.026602,0.036480,-0.002469,-0.021068,0.948674,-0.954180,1.565663,-2.699320,-0.891477,-0.761846,-0.264034,-0.647662,0.201410,-0.450121,2.680155,-1.156453
14613.912000,0.940055,-0.974871,1.577520,-2.684466,-0.887340,-0.771508,-0.266221,-0.641141,0.208758,-0.450080,2.680360,-1.156402,-0.091157,-0.216138,0.117810,0.160876,0.046451,-0.100356,0.939920,-0.975221,1.577653,-2.684113,-0.887089,-0.771675,-0.266247,-0.641048,0.208907,-0.450119,2.680156,-1.156453
14614.072000,0.919947,-1.021821,1.602244,-2.647561,-0.877234,-0.794550,-0.271134,-0.626235,0.225574,-0.450253,2.680129,-1.156273,-0.161541,-0.362058,0.180703,0.305622,0.075213,-0.184269,0.919770,-1.022125,1.602168,-2.647255,-0.877162,-0.794576,-0.271224,-0.626166,0.225777,-0.450114,2.680160,-1.156452
14614.232000,0.887456,-1.093077,1.633362,-2.583371,-0.861693,-0.832095,-0.278864,-0.603207,0.251749,-0.450077,2.680065,-1.156441,-0.232373,-0.499106,0.188245,0.485505,0.108481,-0.269310,0.887321,-1.093308,1.633327,-2.583051,-0.861713,-0.832268,-0.278926,-0.603143,0.251877,-0.450107,2.680165,-1.156451
14614.392000,0.849216,-1.170499,1.658434,-2.501169,-0.844415,-0.877809,-0.287463,-0.577387,0.281047,-0.450077,2.680107,-1.156472,-0.246881,-0.464822,0.123958,0.545762,0.110039,-0.299174,0.849002,-1.170696,1.658338,-2.500714,-0.844378,-0.878089,-0.287568,-0.577306,0.281164,-0.450099,2.680171,-1.156450
14614.552000,0.809610,-1.242583,1.672419,-2.410579,-0.827808,-0.926449,-0.296052,-0.552146,0.309550,-0.449788,2.680319,-1.156346,-0.226403,-0.386665,0.050877,0.530566,0.088803,-0.281749,0.809758,-1.242648,1.672313,-2.410476,-0.827727,-0.926493,-0.295968,-0.552194,0.309632,-0.450092,2.680177,-1.156449
14614.712000,0.779813,-1.292280,1.675844,-2.338929,-0.815931,-0.964186,-0.302191,-0.533925,0.330297,-0.449878,2.680335,-1.156542,-0.148106,-0.234750,0.003362,0.367508,0.060137,-0.189111,0.779983,-1.292380,1.675914,-2.338816,-0.815890,-0.964211,-0.302071,-0.533950,0.330313,-0.450086,2.680181,-1.156449
14614.872000,0.763106,-1.318652,1.675592,-2.297315,-0.809501,-0.985920,-0.305439,-0.523896,0.341640,-0.449997,2.680168,-1.156395,-0.062292,-0.093240,-0.003899,0.156538,0.032861,-0.081109,0.763245,-1.318513,1.675506,-2.297531,-0.809552,-0.985785,-0.305408,-0.523974,0.341621,-0.450083,2.680184,-1.156448
14615.192000,0.759729,-1.323879,1.675364,-2.288784,-0.808316,-0.990215,-0.306078,-0.521877,0.343916,-0.449819,2.680208,-1.156250,0.000192,0.000205,-0.000179,-0.000336,0.000096,0.000312,0.759741,-1.323819,1.675209,-2.288808,-0.808255,-0.990335,-0.306098,-0.521910,0.343961,-0.450082,2.680184,-1.156448
14615.352000,0.759705,-1.323866,1.675269,-2.288796,-0.808255,-0.990310,-0.306101,-0.521884,0.343959,-0.449988,2.680194,-1.156427,0.000102,0.000102,-0.000499,-0.000168,0.000671,-0.000983,0.759741,-1.323819,1.675209,-2.288808,-0.808255,-0.990335,-0.306098,-0.521910,0.343961,-0.450082,2.680184,-1.156448
