timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
14600.504000,0.759741,-1.323819,1.675269,-2.288844,-0.808232,-0.990371,-0.306090,-0.521905,0.343938,-0.450121,2.680155,-1.156453,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.759765,-1.323818,1.675269,-2.288844,-0.808268,-0.990310,-0.306080,-0.521911,0.343936,-0.450064,2.680175,-1.156401
14600.664000,0.760267,-1.323076,1.675257,-2.290212,-0.808460,-0.989771,-0.305987,-0.522212,0.343650,-0.450338,2.680246,-1.156620,0.023789,0.036228,-0.000000,-0.055223,-0.015364,0.041130,0.760397,-1.322865,1.675327,-2.290421,-0.808501,-0.989488,-0.305956,-0.522283,0.343514,-0.450064,2.680175,-1.156402
14600.824000,0.771394,-1.306077,1.675784,-2.317871,-0.812482,-0.975293,-0.303779,-0.528806,0.336302,-0.450415,2.680170,-1.156982,0.112249,0.176676,0.002352,-0.279185,-0.045396,0.147766,0.771568,-1.305716,1.675974,-2.318121,-0.812677,-0.975031,-0.303744,-0.528898,0.336017,-0.450067,2.680174,-1.156404
14600.984000,0.795897,-1.266316,1.674886,-2.377766,-0.822169,-0.943915,-0.298820,-0.543600,0.319300,-0.450137,2.680259,-1.156577,0.193742,0.320052,-0.024799,-0.464077,-0.074997,0.243855,0.796180,-1.265873,1.674712,-2.378085,-0.822243,-0.943592,-0.298767,-0.543781,0.319148,-0.450074,2.680172,-1.156410
14601.144000,0.832581,-1.201758,1.665558,-2.464033,-0.837207,-0.898093,-0.291123,-0.566636,0.293331,-0.450287,2.680205,-1.156980,0.253580,0.461882,-0.096590,-0.582122,-0.106684,0.314562,0.832852,-1.201216,1.665469,-2.464214,-0.837387,-0.897830,-0.291068,-0.566808,0.293050,-0.450084,2.680168,-1.156420
14601.304000,0.871803,-1.125424,1.644880,-2.550680,-0.854569,-0.850628,-0.282495,-0.592530,0.263908,-0.450152,2.680190,-1.156602,0.238675,0.485773,-0.162691,-0.504464,-0.106276,0.283906,0.872010,-1.125100,1.644791,-2.550916,-0.854664,-0.850407,-0.282429,-0.592646,0.263764,-0.450096,2.680164,-1.156430
14601.464000,0.908151,-1.048377,1.614529,-2.624851,-0.871547,-0.807925,-0.274000,-0.617762,0.235332,-0.450080,2.680157,-1.156469,0.196618,0.436443,-0.197871,-0.393466,-0.093285,0.225471,0.908109,-1.048321,1.614512,-2.624830,-0.871532,-0.808005,-0.274032,-0.617760,0.235301,-0.450107,2.680160,-1.156440
14601.624000,0.933205,-0.991216,1.586296,-2.671973,-0.883772,-0.779220,-0.267913,-0.636021,0.214656,-0.450045,2.680173,-1.156416,0.120341,0.272384,-0.148911,-0.218329,-0.056613,0.132522,0.933159,-0.991198,1.586353,-2.672025,-0.883731,-0.779316,-0.267933,-0.636001,0.214626,-0.450115,2.680157,-1.156448
14601.784000,0.946546,-0.959522,1.568696,-2.695616,-0.890405,-0.764251,-0.264556,-0.646020,0.203347,-0.450202,2.680167,-1.156570,0.049484,0.121619,-0.068850,-0.086934,-0.029050,0.050837,0.946451,-0.959563,1.568789,-2.695506,-0.890358,-0.764336,-0.264599,-0.645973,0.203324,-0.450120,2.680155,-1.156452
14602.104000,0.949133,-0.952956,1.565008,-2.700136,-0.891746,-0.761420,-0.263927,-0.648022,0.200942,-0.450195,2.680193,-1.156370,-0.000179,0.000000,-0.000205,0.000312,-0.002684,-0.000072,0.949162,-0.952993,1.564968,-2.700154,-0.891724,-0.761300,-0.263910,-0.648034,0.200988,-0.450121,2.680155,-1.156453
14602.264000,0.949121,-0.952968,1.565020,-2.700136,-0.891817,-0.761383,-0.263937,-0.648014,0.200942,-0.450113,2.680275,-1.156328,-0.000102,0.000000,-0.000102,0.000168,-0.000360,-0.000072,0.949162,-0.952993,1.564968,-2.700154,-0.891724,-0.761300,-0.263910,-0.648034,0.200988,-0.450121,2.680155,-1.156453
