timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
15212.984000,1.016294,-1.400399,1.489532,-2.039289,-1.483209,-0.765486,-0.205955,-0.555807,0.431522,0.339040,-2.908449,0.518488,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.016306,-1.400362,1.489544,-2.039301,-1.483198,-0.765462,-0.205954,-0.555820,0.431496,0.339028,-2.908493,0.518467
15213.144000,1.016366,-1.400206,1.490550,-2.040393,-1.483221,-0.765378,-0.205933,-0.555850,0.431023,0.338998,-2.908562,0.518395,0.004922,0.015033,0.042798,-0.056158,0.000000,0.005105,1.016418,-1.400048,1.490629,-2.040709,-1.483245,-0.765350,-0.205937,-0.555912,0.430928,0.339028,-2.908493,0.518467
15213.304000,1.018294,-1.394080,1.509359,-2.065339,-1.483892,-0.763807,-0.205701,-0.557543,0.420846,0.339553,-2.908655,0.518341,0.018970,0.061423,0.188756,-0.247618,0.024688,0.055199,1.018406,-1.394148,1.509567,-2.065708,-1.484089,-0.763379,-0.205640,-0.557536,0.420822,0.339029,-2.908490,0.518468
15213.464000,1.022821,-1.378819,1.549635,-2.121062,-1.485664,-0.759056,-0.204950,-0.561186,0.398119,0.339223,-2.908970,0.518357,0.034681,0.131449,0.309493,-0.437352,-0.005800,0.035425,1.022843,-1.378785,1.549803,-2.121661,-1.485988,-0.758985,-0.204970,-0.561192,0.398084,0.339030,-2.908484,0.518471
15213.624000,1.029623,-1.349545,1.605608,-2.206676,-1.488742,-0.752255,-0.203889,-0.566812,0.362943,0.339054,-2.909039,0.518070,0.047362,0.230890,0.367887,-0.602759,-0.018887,0.045708,1.029615,-1.349418,1.605722,-2.207469,-1.488924,-0.752303,-0.203933,-0.566847,0.362905,0.339033,-2.908475,0.518475
15213.784000,1.037012,-1.308763,1.659500,-2.301972,-1.492131,-0.745022,-0.202767,-0.573120,0.323454,0.339046,-2.908881,0.518019,0.042836,0.275426,0.301453,-0.568819,-0.037846,0.043766,1.037069,-1.308653,1.659402,-2.302467,-1.492206,-0.744985,-0.202772,-0.573184,0.323494,0.339036,-2.908464,0.518480
15213.944000,1.042988,-1.269828,1.696103,-2.378150,-1.494705,-0.739204,-0.201807,-0.578276,0.291532,0.339096,-2.908749,0.518340,0.028545,0.213108,0.169607,-0.384909,-0.032405,0.026341,1.043000,-1.269801,1.695945,-2.378283,-1.494852,-0.739194,-0.201832,-0.578310,0.291605,0.339038,-2.908456,0.518484
15214.104000,1.046533,-1.243889,1.715129,-2.423559,-1.496178,-0.735917,-0.201239,-0.581398,0.272300,0.339364,-2.908610,0.518652,0.015417,0.114755,0.075970,-0.190429,0.003164,0.006471,1.046540,-1.243898,1.715020,-2.423505,-1.496444,-0.735753,-0.201265,-0.581406,0.272349,0.339039,-2.908451,0.518487
15214.264000,1.047587,-1.234396,1.721139,-2.439058,-1.496836,-0.734766,-0.201162,-0.582460,0.265592,0.339130,-2.908605,0.518423,0.001214,0.005382,0.002684,-0.009108,-0.004027,0.044893,1.047750,-1.234576,1.721059,-2.438948,-1.496991,-0.734579,-0.201069,-0.582471,0.265724,0.339040,-2.908449,0.518488
15214.584000,1.047623,-1.234528,1.721080,-2.438866,-1.496945,-0.734610,-0.201140,-0.582448,0.265676,0.338919,-2.908588,0.518345,0.000128,0.000000,-0.000000,0.000216,-0.000240,0.000455,1.047750,-1.234570,1.721063,-2.438957,-1.496991,-0.734579,-0.201069,-0.582472,0.265721,0.339040,-2.908449,0.518488
15214.744000,1.047743,-1.234540,1.721068,-2.438866,-1.496969,-0.734598,-0.201072,-0.582471,0.265689,0.339069,-2.908557,0.518368,0.000281,0.000000,-0.000000,0.000120,-0.000144,0.000383,1.047750,-1.234570,1.721063,-2.438957,-1.496991,-0.734579,-0.201069,-0.582472,0.265721,0.339040,-2.908449,0.518488
