timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
15282.160000,1.088485,-0.961463,1.431214,-2.589248,-1.713784,0.429560,-0.244171,-0.680375,0.239777,-1.309291,-2.560674,0.805563,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.088488,-0.961476,1.431179,-2.589248,-1.713828,0.429641,-0.244174,-0.680378,0.239804,-1.309394,-2.560575,0.805635
15282.320000,1.088724,-0.962302,1.431717,-2.588792,-1.713975,0.429859,-0.243913,-0.680217,0.240086,-1.309425,-2.560599,0.805432,0.014279,-0.038056,0.023317,0.011769,-0.011361,0.028954,1.088779,-0.962565,1.431768,-2.588710,-1.713976,0.429891,-0.243852,-0.680184,0.240240,-1.309394,-2.560575,0.805635
15282.480000,1.093922,-0.981379,1.441786,-2.579066,-1.716323,0.434007,-0.238204,-0.676816,0.247748,-1.309005,-2.561052,0.805384,0.053319,-0.194291,0.097638,0.101866,-0.038901,0.048177,1.093998,-0.981830,1.441895,-2.578904,-1.716624,0.434376,-0.238129,-0.676735,0.248000,-1.309394,-2.560574,0.805636
15282.640000,1.105945,-1.024086,1.462199,-2.555465,-1.722778,0.444594,-0.225378,-0.669046,0.265291,-1.309305,-2.560452,0.805732,0.075395,-0.341502,0.151762,0.197668,-0.051460,0.081972,1.106054,-1.024496,1.462352,-2.555101,-1.722727,0.444743,-0.225253,-0.668976,0.265459,-1.309395,-2.560571,0.805637
15282.800000,1.125538,-1.088139,1.487629,-2.514027,-1.732611,0.461329,-0.205417,-0.657046,0.292283,-1.309126,-2.560587,0.805599,0.142507,-0.444458,0.151826,0.305957,-0.069317,0.123797,1.125600,-1.088527,1.487705,-2.513699,-1.732578,0.461575,-0.205332,-0.656970,0.292470,-1.309397,-2.560566,0.805639
15282.960000,1.148842,-1.156884,1.507155,-2.461490,-1.744263,0.481530,-0.183049,-0.643555,0.322627,-1.309241,-2.560517,0.805849,0.151660,-0.416450,0.090633,0.354517,-0.075141,0.129789,1.148908,-1.157182,1.507117,-2.460983,-1.744262,0.481694,-0.182977,-0.643499,0.322781,-1.309399,-2.560561,0.805642
15283.120000,1.173632,-1.221630,1.517009,-2.402709,-1.756767,0.503205,-0.160759,-0.630090,0.352961,-1.309526,-2.560237,0.805975,0.161234,-0.389976,0.031242,0.388409,-0.079096,0.129597,1.173776,-1.221953,1.517017,-2.402132,-1.756655,0.503226,-0.160623,-0.630027,0.353092,-1.309402,-2.560556,0.805644
15283.280000,1.200206,-1.281971,1.517440,-2.338221,-1.769701,0.526138,-0.138364,-0.616627,0.383282,-1.309326,-2.560549,0.805967,0.171026,-0.360064,-0.026206,0.423954,-0.089714,0.147574,1.200322,-1.282248,1.517414,-2.337675,-1.769803,0.526297,-0.138268,-0.616555,0.383403,-1.309404,-2.560551,0.805647
15283.440000,1.227092,-1.334512,1.509215,-2.272296,-1.783007,0.549622,-0.117126,-0.603827,0.411967,-1.309340,-2.560532,0.805651,0.147940,-0.267667,-0.068505,0.372062,-0.069796,0.133528,1.227062,-1.334552,1.509046,-2.272084,-1.782961,0.549641,-0.117140,-0.603823,0.412050,-1.309406,-2.560546,0.805649
15283.760000,1.256852,-1.383639,1.491209,-2.199247,-1.797463,0.575647,-0.095060,-0.590560,0.441919,-1.309217,-2.560670,0.805567,0.032099,-0.050110,-0.024889,0.087005,-0.021116,0.032453,1.256754,-1.383637,1.491249,-2.199352,-1.797465,0.575700,-0.095118,-0.590551,0.441910,-1.309408,-2.560541,0.805652
