timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
15515.880000,0.983576,-0.989012,1.313718,-2.201371,-1.287647,-1.522191,-0.287030,-0.672701,0.271745,1.397416,-2.606275,0.585624,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.983651,-0.989024,1.313722,-2.201349,-1.287649,-1.522226,-0.286978,-0.672719,0.271750,1.397566,-2.606217,0.585619
15516.040000,0.983348,-0.989635,1.313778,-2.200615,-1.287551,-1.522551,-0.287089,-0.672506,0.272080,1.397620,-2.606293,0.585567,-0.010482,-0.032456,-0.000000,0.045133,0.004890,-0.030488,0.983342,-0.989905,1.313774,-2.200435,-1.287550,-1.522536,-0.287062,-0.672457,0.272255,1.397566,-2.606217,0.585619
15516.200000,0.977911,-1.005212,1.314113,-2.184340,-1.286269,-1.527959,-0.288581,-0.667872,0.281256,1.397273,-2.605839,0.585229,-0.057588,-0.156031,0.001751,0.165430,0.025454,-0.057980,0.977829,-1.005403,1.314348,-2.183979,-1.285802,-1.528084,-0.288552,-0.667789,0.281247,1.397571,-2.606221,0.585617
15516.360000,0.965145,-1.038874,1.313335,-2.146005,-1.281935,-1.540706,-0.291998,-0.657304,0.301293,1.397320,-2.606290,0.585512,-0.101652,-0.265698,-0.019418,0.309984,0.035329,-0.102777,0.965228,-1.039121,1.313223,-2.145593,-1.281840,-1.540794,-0.291906,-0.657287,0.301478,1.397582,-2.606231,0.585612
15516.520000,0.945265,-1.087804,1.304979,-2.083214,-1.275625,-1.561056,-0.297071,-0.641102,0.332684,1.397593,-2.605936,0.585789,-0.141139,-0.333602,-0.088715,0.456887,0.040842,-0.144602,0.945185,-1.087952,1.304869,-2.082655,-1.275638,-1.561091,-0.297095,-0.641039,0.332778,1.397599,-2.606245,0.585605
15516.680000,0.921876,-1.137504,1.285955,-2.007643,-1.268632,-1.585027,-0.302929,-0.622812,0.367890,1.397777,-2.605760,0.585660,-0.147467,-0.296327,-0.151046,0.479776,0.042137,-0.145321,0.921879,-1.137509,1.285844,-2.007204,-1.268590,-1.584815,-0.302918,-0.622806,0.367900,1.397619,-2.606262,0.585597
15516.840000,0.898535,-1.179572,1.257868,-1.930550,-1.261855,-1.608590,-0.308561,-0.605214,0.401746,1.397341,-2.605914,0.585607,-0.126873,-0.213773,-0.181981,0.439222,0.039332,-0.137531,0.898672,-1.179366,1.257800,-1.930273,-1.261756,-1.608565,-0.308507,-0.605304,0.401614,1.397637,-2.606277,0.585589
15517.000000,0.881767,-1.205485,1.232008,-1.873455,-1.256898,-1.626037,-0.312416,-0.592891,0.425600,1.397677,-2.605879,0.585706,-0.082260,-0.114959,-0.137930,0.286902,0.021116,-0.083123,0.881728,-1.205337,1.231984,-1.873237,-1.256888,-1.625984,-0.312465,-0.592910,0.425490,1.397650,-2.606288,0.585583
15517.160000,0.872414,-1.217987,1.216134,-1.842126,-1.254659,-1.635522,-0.314637,-0.586225,0.438314,1.397400,-2.606022,0.585145,-0.030884,-0.041622,-0.056233,0.113682,-0.023010,-0.034179,0.872586,-1.217773,1.216264,-1.842207,-1.254305,-1.635409,-0.314560,-0.586351,0.438126,1.397657,-2.606294,0.585580
15517.480000,0.871001,-1.219665,1.213512,-1.836842,-1.253905,-1.636985,-0.314955,-0.585259,0.440153,1.397634,-2.606564,0.585440,0.000000,0.000205,0.000179,-0.000503,0.000863,-0.004890,0.870989,-1.219833,1.213392,-1.836770,-1.253857,-1.637057,-0.314923,-0.585214,0.440316,1.397659,-2.606295,0.585580
