timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
15503.496000,0.870953,-1.219809,1.213308,-1.836818,-1.253857,-1.637045,-0.314953,-0.585214,0.440348,1.397566,-2.606217,0.585619,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.871061,-1.219881,1.213284,-1.836782,-1.253892,-1.637117,-0.314876,-0.585226,0.440402,1.397778,-2.606036,0.585597
15503.656000,0.871337,-1.219641,1.213847,-1.838019,-1.253940,-1.636757,-0.314793,-0.585402,0.440100,1.397603,-2.605754,0.585783,0.014356,0.015071,0.023611,-0.047290,-0.003595,0.009252,0.871430,-1.219408,1.213952,-1.838039,-1.253996,-1.636736,-0.314792,-0.585489,0.439896,1.397777,-2.606037,0.585597
15503.816000,0.877959,-1.210951,1.225268,-1.859970,-1.255473,-1.630090,-0.313230,-0.590115,0.431099,1.397942,-2.605867,0.586138,0.065258,0.093049,0.115304,-0.215476,-0.001894,0.066824,0.877953,-1.210745,1.225429,-1.860227,-1.255833,-1.630000,-0.313305,-0.590154,0.430903,1.397766,-2.606046,0.585598
15503.976000,0.892318,-1.189688,1.248626,-1.908842,-1.259939,-1.615233,-0.309973,-0.600581,0.410717,1.397805,-2.606137,0.585547,0.116314,0.175692,0.172023,-0.379876,-0.037103,0.121424,0.892406,-1.189554,1.248597,-1.909071,-1.259958,-1.615111,-0.309957,-0.600651,0.410669,1.397741,-2.606068,0.585601
15504.136000,0.914163,-1.152581,1.277467,-1.981290,-1.266285,-1.592833,-0.304725,-0.616822,0.379426,1.397831,-2.606300,0.585523,0.150381,0.275171,0.175769,-0.500653,-0.047314,0.155627,0.914165,-1.152366,1.277386,-1.981665,-1.266311,-1.592783,-0.304779,-0.616892,0.379363,1.397701,-2.606102,0.585605
15504.296000,0.937768,-1.104989,1.299723,-2.058581,-1.273338,-1.568587,-0.298906,-0.635076,0.344432,1.397490,-2.606019,0.585789,0.141331,0.312791,0.108977,-0.465300,-0.045588,0.142684,0.937733,-1.104728,1.299779,-2.058676,-1.273375,-1.568720,-0.298968,-0.635116,0.344234,1.397657,-2.606139,0.585609
15504.456000,0.959552,-1.053698,1.311790,-2.127879,-1.280103,-1.546498,-0.293361,-0.652579,0.310477,1.397561,-2.606349,0.585523,0.119216,0.286420,0.038017,-0.371151,-0.037654,0.117230,0.959545,-1.053618,1.311630,-2.127919,-1.280075,-1.546571,-0.293389,-0.652614,0.310505,1.397615,-2.606175,0.585614
15504.616000,0.974702,-1.014608,1.314257,-2.174031,-1.284857,-1.531412,-0.289324,-0.665055,0.286749,1.397712,-2.605853,0.585650,0.067597,0.192106,0.001087,-0.214470,-0.017928,0.070419,0.974528,-1.014488,1.314372,-2.174007,-1.284762,-1.531423,-0.289436,-0.665011,0.286607,1.397585,-2.606201,0.585617
15504.776000,0.982426,-0.992678,1.314054,-2.197435,-1.287060,-1.523498,-0.287259,-0.671629,0.273780,1.397749,-2.606451,0.585744,0.028021,0.076533,-0.002211,-0.083506,0.011792,0.027300,0.982308,-0.992850,1.313932,-2.197363,-1.287222,-1.523578,-0.287342,-0.671577,0.273951,1.397569,-2.606215,0.585619
15505.096000,0.983564,-0.989000,1.313874,-2.201227,-1.287635,-1.522251,-0.287020,-0.672672,0.271645,1.397563,-2.606535,0.585459,0.000000,0.000000,-0.000192,0.000288,-0.000360,0.001606,0.983651,-0.989024,1.313722,-2.201349,-1.287649,-1.522226,-0.286978,-0.672719,0.271750,1.397566,-2.606217,0.585619
15505.256000,0.983600,-0.988987,1.313790,-2.201311,-1.287599,-1.522239,-0.287005,-0.672701,0.271687,1.397567,-2.606379,0.585599,0.000000,0.000000,-0.000320,-0.000455,-0.000168,0.000312,0.983651,-0.989024,1.313722,-2.201349,-1.287649,-1.522226,-0.286978,-0.672719,0.271750,1.397566,-2.606217,0.585619
