timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
15752.520000,0.863792,-1.047274,1.771526,-2.974777,-1.006210,-0.651603,-0.286583,-0.574390,0.202475,-0.223000,2.846385,-1.295530,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.863820,-1.047310,1.771478,-2.974748,-1.006211,-0.651532,-0.286572,-0.574405,0.202514,-0.222962,2.846359,-1.295582
15752.680000,0.863289,-1.048449,1.772328,-2.974309,-1.005911,-0.651903,-0.286634,-0.573998,0.202833,-0.222824,2.846378,-1.295684,-0.025605,-0.050826,0.033709,0.021596,0.025095,-0.014381,0.863198,-1.048570,1.772409,-2.974115,-1.005816,-0.652105,-0.286657,-0.573949,0.202855,-0.222963,2.846359,-1.295582
15752.840000,0.852354,-1.070823,1.788493,-2.962699,-0.998787,-0.662339,-0.288023,-0.565982,0.208918,-0.223392,2.846242,-1.295836,-0.115662,-0.223910,0.162244,0.120226,0.074662,-0.103208,0.852016,-1.070991,1.788658,-2.962419,-0.998743,-0.662447,-0.288172,-0.565840,0.208922,-0.222965,2.846361,-1.295583
15753.000000,0.826366,-1.121396,1.822931,-2.933546,-0.982515,-0.686713,-0.291419,-0.547722,0.222575,-0.223488,2.846263,-1.296155,-0.210641,-0.397927,0.261416,0.256414,0.130868,-0.198555,0.826022,-1.121564,1.823002,-2.932912,-0.982481,-0.686859,-0.291579,-0.547594,0.222573,-0.222972,2.846366,-1.295585
15753.160000,0.783957,-1.200056,1.869955,-2.878807,-0.956402,-0.728037,-0.296575,-0.519526,0.243742,-0.224026,2.846192,-1.296176,-0.310644,-0.557091,0.302987,0.414199,0.187313,-0.303009,0.783426,-1.200083,1.869949,-2.878225,-0.956418,-0.728026,-0.296851,-0.519367,0.243692,-0.222981,2.846374,-1.295589
15753.320000,0.732254,-1.288000,1.913280,-2.803780,-0.926013,-0.779748,-0.302670,-0.487811,0.267320,-0.223524,2.846327,-1.296008,-0.329179,-0.553639,0.236016,0.523040,0.196469,-0.345098,0.731976,-1.288277,1.913291,-2.803109,-0.926008,-0.779799,-0.302767,-0.487692,0.267390,-0.222992,2.846383,-1.295593
15753.480000,0.681689,-1.367946,1.943673,-2.721800,-0.897541,-0.832911,-0.308117,-0.458898,0.288935,-0.223381,2.846472,-1.295806,-0.274199,-0.411299,0.135463,0.461441,0.143619,-0.290546,0.681605,-1.368010,1.943631,-2.721490,-0.897505,-0.832801,-0.308150,-0.458870,0.288954,-0.223002,2.846392,-1.295597
15753.640000,0.646380,-1.419893,1.958678,-2.660679,-0.878539,-0.871224,-0.311729,-0.439833,0.303154,-0.222934,2.846567,-1.295641,-0.162947,-0.232373,0.060119,0.290905,0.092710,-0.183239,0.646461,-1.419892,1.958611,-2.660525,-0.878445,-0.871209,-0.311699,-0.439869,0.303170,-0.223008,2.846397,-1.295600
15753.800000,0.629445,-1.444026,1.964151,-2.630079,-0.869475,-0.890416,-0.313351,-0.430955,0.309924,-0.223427,2.846530,-1.295930,-0.047234,-0.062612,0.013678,0.082859,0.017497,-0.050046,0.629525,-1.443807,1.964176,-2.630104,-0.869521,-0.890151,-0.313354,-0.431004,0.309803,-0.223011,2.846400,-1.295601
15754.120000,0.628080,-1.445657,1.964498,-2.627596,-0.868853,-0.891592,-0.313545,-0.430286,0.310339,-0.222744,2.846462,-1.295570,0.000358,0.000000,-0.000000,-0.000264,-0.000288,0.000240,0.628152,-1.445716,1.964582,-2.627609,-0.868805,-0.891700,-0.313487,-0.430293,0.310335,-0.223011,2.846400,-1.295601
15754.280000,0.628044,-1.445669,1.964522,-2.627621,-0.868829,-0.891628,-0.313553,-0.430271,0.310338,-0.222762,2.846467,-1.295615,0.000141,0.000000,0.000038,-0.000144,-0.000168,0.000144,0.628152,-1.445716,1.964582,-2.627609,-0.868805,-0.891700,-0.313487,-0.430293,0.310335,-0.223011,2.846400,-1.295601
