timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
15934.280000,0.937349,-1.600894,1.964618,-2.633807,-1.352198,-0.026336,-0.179161,-0.461013,0.373474,-0.748958,-2.810787,1.103981,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.937373,-1.600881,1.964582,-2.633844,-1.352186,-0.026300,-0.179154,-0.461025,0.373490,-0.748952,-2.810766,1.104073
15934.440000,0.937385,-1.600162,1.964438,-2.634431,-1.352186,-0.026336,-0.179281,-0.461209,0.373290,-0.748875,-2.810771,1.104087,0.000000,0.045649,-0.007299,-0.030704,0.000000,0.000000,0.937380,-1.599935,1.964415,-2.634625,-1.352197,-0.026292,-0.179323,-0.461263,0.373217,-0.748952,-2.810766,1.104073
15934.600000,0.937433,-1.577307,1.960271,-2.653185,-1.352378,-0.026192,-0.183411,-0.466885,0.366654,-0.748958,-2.810711,1.104140,0.001048,0.233830,-0.046096,-0.179236,-0.004027,0.001798,0.937562,-1.577151,1.960110,-2.653140,-1.352450,-0.026108,-0.183395,-0.466960,0.366650,-0.748953,-2.810767,1.104069
15934.760000,0.937864,-1.524045,1.947900,-2.694369,-1.352917,-0.025664,-0.192851,-0.480121,0.351495,-0.749017,-2.810586,1.104442,0.003861,0.427725,-0.110626,-0.318996,0.021596,0.036240,0.937964,-1.523570,1.947777,-2.694466,-1.353020,-0.025708,-0.192895,-0.480253,0.351327,-0.748953,-2.810769,1.104060
15934.920000,0.938534,-1.439182,1.922297,-2.753676,-1.353742,-0.025136,-0.207706,-0.500991,0.327416,-0.748879,-2.810707,1.104371,0.005893,0.602637,-0.209273,-0.404276,0.025910,-0.032381,0.938538,-1.438831,1.922103,-2.753636,-1.353852,-0.025159,-0.207782,-0.501084,0.327315,-0.748954,-2.810772,1.104046
15935.080000,0.939061,-1.342172,1.883917,-2.812399,-1.354509,-0.024633,-0.224691,-0.524717,0.300024,-0.748890,-2.810750,1.104399,0.002275,0.605871,-0.266158,-0.341167,-0.052994,0.048968,0.939119,-1.341854,1.883641,-2.812250,-1.354706,-0.024632,-0.224747,-0.524822,0.299954,-0.748955,-2.810776,1.104030
15935.240000,0.939600,-1.245568,1.835743,-2.860915,-1.355383,-0.024237,-0.241671,-0.548479,0.272798,-0.748836,-2.810673,1.104300,0.001790,0.609246,-0.325153,-0.266961,-0.040147,-0.033532,0.939635,-1.245133,1.835685,-2.861095,-1.355463,-0.024193,-0.241712,-0.548559,0.272591,-0.748956,-2.810780,1.104014
15935.400000,0.939983,-1.153672,1.781404,-2.898532,-1.355958,-0.023913,-0.257916,-0.571156,0.246578,-0.748850,-2.810688,1.104314,0.001777,0.490848,-0.320845,-0.182112,0.036528,0.032333,0.940075,-1.153571,1.781392,-2.898427,-1.356094,-0.023842,-0.257884,-0.571189,0.246506,-0.748957,-2.810783,1.103999
15935.720000,0.940486,-1.056945,1.714482,-2.928454,-1.356640,-0.023541,-0.275117,-0.595299,0.218800,-0.748835,-2.810616,1.104322,0.000000,0.110089,-0.085251,-0.028930,0.043071,-0.047314,0.940493,-1.056997,1.714619,-2.928283,-1.356673,-0.023526,-0.275092,-0.595268,0.218752,-0.748958,-2.810787,1.103982
15935.880000,0.940510,-1.051780,1.710806,-2.929484,-1.356784,-0.023494,-0.276024,-0.596555,0.217196,-0.749097,-2.810873,1.103669,0.000000,0.000000,-0.000000,0.001031,-0.001534,-0.001366,0.940515,-1.051809,1.710753,-2.929607,-1.356702,-0.023511,-0.276021,-0.596567,0.217254,-0.748958,-2.810787,1.103981
15936.040000,0.940498,-1.051756,1.710818,-2.929484,-1.356772,-0.023529,-0.276030,-0.596553,0.217175,-0.749069,-2.810903,1.103626,0.000000,0.000000,-0.000000,0.000264,-0.000312,-0.000312,0.940515,-1.051809,1.710753,-2.929607,-1.356702,-0.023511,-0.276021,-0.596567,0.217254,-0.748958,-2.810787,1.103981
