timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17082.128000,1.030246,-1.379299,1.592822,-2.099143,-1.388731,-0.672510,-0.190566,-0.561018,0.375116,0.252904,-3.046570,0.553520,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.030246,-1.379311,1.592833,-2.099131,-1.388755,-0.672510,-0.190565,-0.561012,0.375116,0.252896,-3.046564,0.553484
17082.288000,1.029839,-1.378963,1.593504,-2.099947,-1.388588,-0.672894,-0.190806,-0.560984,0.374677,0.252891,-3.046701,0.553376,-0.020121,0.017564,0.029606,-0.044653,0.009060,-0.006831,1.029657,-1.378973,1.593604,-2.100141,-1.388577,-0.673074,-0.190904,-0.560944,0.374655,0.252896,-3.046564,0.553484
17082.448000,1.019408,-1.372777,1.606890,-2.117881,-1.385738,-0.682850,-0.196838,-0.559743,0.366539,0.252751,-3.046432,0.553237,-0.103237,0.067776,0.133456,-0.181537,0.034898,-0.099781,1.019220,-1.372706,1.607001,-2.118037,-1.385436,-0.683080,-0.196928,-0.559728,0.366465,0.252897,-3.046564,0.553487
17082.608000,0.996043,-1.356809,1.634967,-2.157935,-1.378481,-0.705377,-0.210430,-0.557014,0.348096,0.252972,-3.046521,0.553635,-0.185100,0.138953,0.212738,-0.311063,0.052802,-0.173244,0.995950,-1.356769,1.635047,-2.157958,-1.378506,-0.705433,-0.210483,-0.556993,0.348036,0.252898,-3.046565,0.553493
17082.768000,0.960642,-1.327259,1.672658,-2.218761,-1.368123,-0.739456,-0.231417,-0.552785,0.319591,0.252906,-3.046472,0.553751,-0.245795,0.227656,0.242791,-0.422971,0.069772,-0.237384,0.960574,-1.327221,1.672733,-2.218696,-1.368170,-0.739540,-0.231453,-0.552761,0.319524,0.252900,-3.046567,0.553502
17082.928000,0.926056,-1.292052,1.703347,-2.277889,-1.358401,-0.772839,-0.252412,-0.548538,0.291117,0.252689,-3.046465,0.553557,-0.175845,0.192860,0.139132,-0.300492,0.050430,-0.168019,0.926220,-1.292185,1.703322,-2.277647,-1.358372,-0.772814,-0.252300,-0.548554,0.291180,0.252902,-3.046568,0.553512
17083.088000,0.904366,-1.266663,1.719487,-2.314739,-1.352342,-0.793975,-0.265827,-0.545792,0.272809,0.252735,-3.046695,0.553274,-0.096909,0.118053,0.065233,-0.166101,0.025838,-0.091296,0.904580,-1.266811,1.719355,-2.314665,-1.352326,-0.793853,-0.265708,-0.545848,0.272950,0.252904,-3.046569,0.553518
17083.248000,0.895109,-1.254857,1.725522,-2.330746,-1.349923,-0.803007,-0.271668,-0.544645,0.264853,0.252729,-3.046546,0.553210,-0.021655,0.024441,0.013384,-0.039021,0.022147,-0.024280,0.895211,-1.255018,1.725481,-2.330640,-1.349740,-0.802982,-0.271586,-0.544662,0.264959,0.252904,-3.046569,0.553520
17083.408000,0.894750,-1.254533,1.725666,-2.331466,-1.349743,-0.803295,-0.271889,-0.544603,0.264679,0.252688,-3.046320,0.553631,0.000320,0.000000,-0.000000,0.000599,0.000336,0.000623,0.894741,-1.254412,1.725775,-2.331441,-1.349610,-0.803441,-0.271882,-0.544602,0.264556,0.252904,-3.046570,0.553520
17083.728000,0.894762,-1.254509,1.725666,-2.331405,-1.349528,-0.803439,-0.271869,-0.544617,0.264661,0.252973,-3.046465,0.553784,0.000077,0.000026,0.000038,0.000144,0.000264,-0.000431,0.894741,-1.254412,1.725775,-2.331441,-1.349610,-0.803441,-0.271882,-0.544602,0.264556,0.252904,-3.046570,0.553520
17083.888000,0.894774,-1.254425,1.725702,-2.331441,-1.349528,-0.803475,-0.271868,-0.544626,0.264599,0.253038,-3.046529,0.553700,0.000077,0.000243,0.000038,0.000096,0.000264,-0.000192,0.894741,-1.254412,1.725775,-2.331441,-1.349610,-0.803441,-0.271882,-0.544602,0.264556,0.252904,-3.046570,0.553520
