timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17554.280000,0.958438,-1.020036,1.464318,-2.467884,-1.644264,0.364267,-0.315061,-0.630909,0.250056,-1.392002,-2.587702,0.659286,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.958493,-1.020071,1.464265,-2.467924,-1.644302,0.364242,-0.315033,-0.630929,0.250111,-1.391877,-2.587673,0.659459
17554.440000,0.958498,-1.020407,1.464462,-2.467608,-1.644299,0.364375,-0.314970,-0.630846,0.250213,-1.392083,-2.587681,0.659224,0.002506,-0.026960,0.007529,0.007622,0.000000,0.016682,0.958588,-1.020542,1.464432,-2.467613,-1.644341,0.364327,-0.314907,-0.630859,0.250323,-1.391877,-2.587673,0.659459
17554.600000,0.961708,-1.036704,1.469897,-2.456620,-1.645437,0.366916,-0.310676,-0.628407,0.257632,-1.391646,-2.587990,0.659395,0.037135,-0.174567,0.057818,0.121256,-0.041633,0.033124,0.961954,-1.036939,1.470016,-2.456562,-1.645733,0.367329,-0.310504,-0.628416,0.257733,-1.391873,-2.587677,0.659461
17554.760000,0.970235,-1.075796,1.481558,-2.428573,-1.649113,0.374745,-0.299888,-0.622509,0.275573,-1.391930,-2.587735,0.659383,0.068773,-0.314619,0.082388,0.236904,-0.031638,0.060976,0.970316,-1.076069,1.481570,-2.428376,-1.649187,0.374782,-0.299809,-0.622481,0.275730,-1.391865,-2.587688,0.659464
17554.920000,0.984055,-1.135682,1.494153,-2.380202,-1.654922,0.386986,-0.282936,-0.613088,0.304089,-1.391806,-2.587690,0.659321,0.103569,-0.426881,0.065309,0.365902,-0.042760,0.094172,0.984152,-1.135983,1.494088,-2.379911,-1.654894,0.387107,-0.282840,-0.613065,0.304285,-1.391851,-2.587705,0.659470
17555.080000,1.001001,-1.201686,1.499793,-2.318686,-1.661952,0.402189,-0.263245,-0.602113,0.337368,-1.391911,-2.587502,0.659701,0.107161,-0.398541,0.004423,0.391860,-0.041465,0.098870,1.001111,-1.201662,1.499698,-2.318433,-1.661882,0.402204,-0.263181,-0.602155,0.337368,-1.391834,-2.587725,0.659476
17555.240000,1.018917,-1.262720,1.495830,-2.252088,-1.669281,0.418266,-0.243663,-0.591208,0.370425,-1.392088,-2.587499,0.659751,0.117759,-0.368104,-0.055223,0.432295,-0.049567,0.101195,1.019143,-1.262774,1.495771,-2.251777,-1.669310,0.418254,-0.243522,-0.591246,0.370451,-1.391818,-2.587745,0.659482
17555.560000,1.045887,-1.338672,1.474674,-2.152258,-1.680431,0.442208,-0.216403,-0.576118,0.416209,-1.391971,-2.587556,0.659631,0.045661,-0.117848,-0.049906,0.181058,-0.031662,0.043167,1.045971,-1.338534,1.474651,-2.152263,-1.680361,0.442140,-0.216373,-0.576180,0.416137,-1.391796,-2.587773,0.659491
17555.720000,1.050270,-1.349209,1.469789,-2.136234,-1.682047,0.445876,-0.212212,-0.573858,0.423155,-1.391681,-2.587924,0.659437,0.008731,-0.017283,-0.008373,0.021476,-0.013255,-0.012943,1.050271,-1.349118,1.469825,-2.136405,-1.682133,0.445971,-0.212233,-0.573883,0.423103,-1.391793,-2.587777,0.659493
17555.880000,1.050258,-1.349341,1.469813,-2.136114,-1.682119,0.445936,-0.212199,-0.573809,0.423208,-1.391770,-2.587815,0.659406,0.000268,0.000000,0.000499,-0.000144,-0.000192,-0.000551,1.050354,-1.349316,1.469729,-2.136102,-1.682167,0.446044,-0.212154,-0.573839,0.423235,-1.391792,-2.587777,0.659493
17556.040000,1.050270,-1.349305,1.469813,-2.136198,-1.682167,0.445972,-0.212203,-0.573822,0.423197,-1.391793,-2.587743,0.659471,0.000115,0.000000,0.000153,-0.000144,-0.000599,0.000072,1.050354,-1.349316,1.469729,-2.136102,-1.682167,0.446044,-0.212154,-0.573839,0.423235,-1.391792,-2.587777,0.659493
