timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17541.192000,1.050318,-1.349328,1.469813,-2.136162,-1.682227,0.446080,-0.212175,-0.573822,0.423208,-1.391877,-2.587673,0.659459,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000024,1.050354,-1.349316,1.469729,-2.136102,-1.682167,0.446044,-0.212154,-0.573839,0.423235,-1.391792,-2.587777,0.659493
17541.352000,1.050138,-1.348777,1.470017,-2.137086,-1.682155,0.445769,-0.212371,-0.573959,0.422882,-1.391652,-2.587699,0.659658,-0.017091,0.025323,0.011364,-0.051988,0.004123,-0.022890,1.050058,-1.348602,1.470074,-2.137192,-1.682045,0.445781,-0.212438,-0.573997,0.422759,-1.391793,-2.587777,0.659492
17541.512000,1.045084,-1.335950,1.475776,-2.156327,-1.680299,0.441249,-0.217316,-0.576752,0.414485,-1.391581,-2.587438,0.659784,-0.054853,0.133623,0.055747,-0.196134,0.012943,-0.043551,1.044840,-1.335682,1.475859,-2.156439,-1.679895,0.441133,-0.217470,-0.576789,0.414290,-1.391797,-2.587772,0.659491
17541.672000,1.033480,-1.305371,1.486575,-2.198467,-1.675281,0.430974,-0.228726,-0.583031,0.395304,-1.391753,-2.587770,0.659253,-0.090275,0.250691,0.073388,-0.331699,0.036911,-0.080222,1.033406,-1.305197,1.486578,-2.198794,-1.675185,0.430951,-0.228794,-0.583073,0.395234,-1.391806,-2.587760,0.659487
17541.832000,1.016582,-1.254390,1.497051,-2.261244,-1.668287,0.416000,-0.246264,-0.592787,0.365643,-1.391902,-2.587861,0.658844,-0.113310,0.370316,0.046889,-0.426183,0.044605,-0.103927,1.016514,-1.254396,1.496910,-2.261537,-1.668227,0.415913,-0.246313,-0.592795,0.365753,-1.391821,-2.587743,0.659482
17541.992000,0.998546,-1.192624,1.499445,-2.327290,-1.660946,0.399827,-0.266031,-0.603670,0.332681,-1.391710,-2.587709,0.659206,-0.108491,0.397812,-0.014944,-0.396702,0.043047,-0.095275,0.998639,-1.192600,1.499482,-2.327491,-1.660864,0.400004,-0.265973,-0.603704,0.332670,-1.391837,-2.587723,0.659475
17542.152000,0.981863,-1.126394,1.492549,-2.387976,-1.653940,0.385104,-0.285594,-0.614601,0.299596,-1.391927,-2.587761,0.659237,-0.101000,0.420221,-0.069898,-0.358232,0.039668,-0.090577,0.981838,-1.126369,1.492526,-2.388148,-1.653940,0.385046,-0.285618,-0.614606,0.299611,-1.391853,-2.587703,0.659469
17542.312000,0.968714,-1.069121,1.479763,-2.433683,-1.648563,0.373403,-0.301775,-0.623515,0.272487,-1.391922,-2.587603,0.659525,-0.062791,0.295279,-0.079856,-0.222092,0.032933,-0.056518,0.968810,-1.069185,1.479723,-2.433525,-1.648565,0.373439,-0.301710,-0.623536,0.272530,-1.391866,-2.587686,0.659464
17542.472000,0.961133,-1.033086,1.468736,-2.459307,-1.645545,0.366605,-0.311569,-0.628982,0.256002,-1.391848,-2.587480,0.659566,-0.031344,0.156453,-0.052462,-0.104814,0.014381,-0.028786,0.961180,-1.033199,1.468780,-2.459122,-1.645413,0.366638,-0.311512,-0.628975,0.256036,-1.391874,-2.587676,0.659461
17542.792000,0.958594,-1.019916,1.464318,-2.467884,-1.644443,0.364339,-0.314986,-0.630965,0.249973,-1.391909,-2.587677,0.659077,-0.000205,0.000000,0.000307,0.000455,0.000767,-0.005872,0.958493,-1.020071,1.464265,-2.467924,-1.644302,0.364242,-0.315033,-0.630929,0.250111,-1.391877,-2.587673,0.659459
17542.952000,0.958570,-1.019976,1.464354,-2.467896,-1.644347,0.364207,-0.314985,-0.630948,0.249999,-1.391762,-2.587803,0.659143,0.000000,-0.000038,-0.000000,0.000192,0.000503,-0.000575,0.958493,-1.020071,1.464265,-2.467924,-1.644302,0.364242,-0.315033,-0.630929,0.250111,-1.391877,-2.587673,0.659459
