timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17650.632000,1.062868,-0.977148,1.375890,-2.399865,-1.466361,-0.265271,-0.245363,-0.686419,0.253879,-0.319717,-2.981826,0.664605,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.062838,-0.977104,1.375838,-2.399757,-1.466279,-0.265295,-0.245385,-0.686426,0.253860,-0.319722,-2.981947,0.664527
17650.792000,1.062857,-0.978359,1.376740,-2.399421,-1.466972,-0.262824,-0.245235,-0.686067,0.254282,-0.323599,-2.981478,0.664284,0.000000,-0.052104,0.031076,0.009252,-0.032381,0.090888,1.062791,-0.978680,1.376768,-2.399462,-1.467048,-0.262560,-0.245258,-0.685998,0.254504,-0.324062,-2.981181,0.664685
17650.952000,1.062365,-1.000216,1.389096,-2.394995,-1.477821,-0.225091,-0.243391,-0.680167,0.263359,-0.383164,-2.969964,0.666821,-0.009498,-0.215192,0.119561,0.053665,-0.109488,0.379469,1.062149,-1.000451,1.389210,-2.394787,-1.477809,-0.224657,-0.243504,-0.680054,0.263446,-0.384148,-2.969948,0.666737
17651.112000,1.060784,-1.046615,1.413423,-2.381066,-1.501770,-0.142609,-0.239738,-0.667214,0.282510,-0.513724,-2.941899,0.669708,-0.013090,-0.358517,0.176063,0.124804,-0.190405,0.646813,1.060785,-1.047189,1.413382,-2.380880,-1.501789,-0.142427,-0.239685,-0.667117,0.282909,-0.513934,-2.941608,0.670291
17651.272000,1.058773,-1.116291,1.442743,-2.350027,-1.539491,-0.017473,-0.233880,-0.647443,0.312306,-0.709052,-2.888497,0.672821,-0.015877,-0.475291,0.168290,0.243016,-0.260753,0.866076,1.058754,-1.116718,1.442645,-2.349886,-1.539549,-0.017441,-0.233855,-0.647363,0.312627,-0.709072,-2.888216,0.673318
17651.432000,1.056521,-1.190300,1.464330,-2.302212,-1.582003,0.120437,-0.227414,-0.625602,0.345230,-0.920067,-2.815672,0.672914,-0.014777,-0.453330,0.100271,0.339777,-0.269310,0.862936,1.056495,-1.190670,1.464255,-2.302142,-1.582251,0.120317,-0.227405,-0.625510,0.345502,-0.919884,-2.815269,0.673306
17651.592000,1.054126,-1.260347,1.474506,-2.241215,-1.624659,0.257256,-0.220993,-0.603828,0.378066,-1.123489,-2.728966,0.669727,-0.012387,-0.404460,0.025771,0.406050,-0.253730,0.807665,1.054117,-1.260469,1.474441,-2.241167,-1.624820,0.257045,-0.220996,-0.603794,0.378171,-1.123175,-2.728824,0.669835
17651.752000,1.052066,-1.312071,1.474494,-2.184725,-1.657784,0.364135,-0.215990,-0.586792,0.403773,-1.277287,-2.651616,0.665112,-0.010418,-0.253260,-0.015365,0.311686,-0.163872,0.535000,1.052075,-1.311979,1.474469,-2.184520,-1.657625,0.364025,-0.215986,-0.586823,0.403704,-1.277168,-2.651934,0.664755
17651.912000,1.050832,-1.340985,1.471226,-2.147589,-1.676586,0.427114,-0.212981,-0.576811,0.418773,-1.365531,-2.603001,0.660835,-0.007453,-0.115087,-0.018548,0.157017,-0.079527,0.259219,1.050766,-1.340847,1.471195,-2.147684,-1.676541,0.427046,-0.213041,-0.576844,0.418716,-1.365523,-2.603028,0.660811
17652.072000,1.050474,-1.349472,1.469849,-2.136066,-1.682023,0.446116,-0.212045,-0.573817,0.423263,-1.391770,-2.587984,0.659557,-0.000741,-0.001956,-0.000000,-0.005848,0.015556,-0.017713,1.050354,-1.349316,1.469728,-2.136097,-1.682166,0.446043,-0.212155,-0.573839,0.423235,-1.391791,-2.587780,0.659487
