timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17889.840000,1.075287,-1.056478,1.570013,-2.556160,-1.885591,0.646214,-0.243655,-0.630396,0.239662,-1.583114,-2.286655,0.702711,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.075299,-1.056559,1.570039,-2.556161,-1.885616,0.646273,-0.243641,-0.630382,0.239705,-1.583172,-2.286587,0.702803
17890.000000,1.075670,-1.057137,1.570145,-2.555453,-1.885903,0.646537,-0.243364,-0.630345,0.239966,-1.583030,-2.286560,0.702588,0.018510,-0.032776,-0.000000,0.046379,-0.032381,0.015579,1.075747,-1.057465,1.570158,-2.555242,-1.885813,0.646690,-0.243283,-0.630317,0.240152,-1.583172,-2.286587,0.702803
17890.160000,1.083622,-1.073195,1.571833,-2.539034,-1.889017,0.654053,-0.237021,-0.629200,0.248025,-1.583269,-2.286796,0.703082,0.082784,-0.162819,0.016976,0.167444,-0.040219,0.074925,1.083749,-1.073429,1.571940,-2.538702,-1.889341,0.654160,-0.236930,-0.629153,0.248099,-1.583172,-2.286592,0.702811
17890.320000,1.101969,-1.108225,1.573617,-2.500533,-1.897305,0.671253,-0.222721,-0.626543,0.266012,-1.583242,-2.286457,0.703446,0.143811,-0.264100,0.001981,0.317558,-0.068238,0.137100,1.102088,-1.108291,1.573660,-2.500040,-1.897363,0.671337,-0.222636,-0.626537,0.265978,-1.583173,-2.286605,0.702829
17890.480000,1.131310,-1.159101,1.570205,-2.436947,-1.910026,0.698870,-0.200554,-0.622461,0.293632,-1.583169,-2.286480,0.703269,0.211140,-0.342640,-0.051938,0.466714,-0.086215,0.198555,1.131369,-1.159093,1.570066,-2.436498,-1.909986,0.698938,-0.200521,-0.622488,0.293639,-1.583174,-2.286624,0.702857
17890.640000,1.165488,-1.211107,1.556998,-2.360442,-1.924352,0.731555,-0.175730,-0.617923,0.324719,-1.583429,-2.286531,0.703206,0.216700,-0.309366,-0.112990,0.485960,-0.090169,0.206440,1.165547,-1.211044,1.556955,-2.360244,-1.924425,0.731439,-0.175705,-0.617945,0.324678,-1.583174,-2.286645,0.702887
17890.800000,1.200985,-1.256954,1.534262,-2.279652,-1.939072,0.765522,-0.150972,-0.613401,0.355693,-1.583258,-2.286561,0.703216,0.225124,-0.262208,-0.172381,0.522728,-0.094915,0.215261,1.201114,-1.257015,1.534199,-2.279280,-1.939100,0.765600,-0.150888,-0.613402,0.355718,-1.583175,-2.286667,0.702918
17890.960000,1.232265,-1.290769,1.507348,-2.207420,-1.951697,0.795928,-0.129902,-0.609557,0.381978,-1.583295,-2.286569,0.702921,0.163535,-0.160723,-0.155443,0.377024,-0.062174,0.154285,1.232287,-1.290789,1.507348,-2.207432,-1.951653,0.795835,-0.129884,-0.609557,0.381990,-1.583176,-2.286685,0.702944
17891.120000,1.252289,-1.309326,1.487030,-2.161380,-1.959543,0.815379,-0.116740,-0.607167,0.398417,-1.583218,-2.286658,0.703301,0.087168,-0.076418,-0.092179,0.202270,-0.036696,0.086191,1.252159,-1.309256,1.487101,-2.161323,-1.959501,0.815259,-0.116820,-0.607165,0.398331,-1.583177,-2.286696,0.702961
17891.440000,1.260169,-1.316003,1.478374,-2.142752,-1.962537,0.822953,-0.111616,-0.606221,0.404768,-1.582983,-2.286912,0.702827,-0.000358,0.000000,0.000396,-0.000527,-0.001486,-0.000623,1.260181,-1.316051,1.478266,-2.142656,-1.962633,0.823133,-0.111613,-0.606212,0.404843,-1.583177,-2.286701,0.702967
