timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17876.752000,1.260169,-1.316003,1.478338,-2.142644,-1.962741,0.823169,-0.111630,-0.606214,0.404779,-1.583172,-2.286587,0.702803,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.260181,-1.316051,1.478266,-2.142656,-1.962633,0.823133,-0.111613,-0.606212,0.404843,-1.583177,-2.286701,0.702967
17876.912000,1.259738,-1.315728,1.478841,-2.143784,-1.962550,0.822774,-0.111900,-0.606244,0.404486,-1.583255,-2.286551,0.703081,-0.020197,0.016273,0.022128,-0.050214,0.014693,-0.007215,1.259628,-1.315595,1.478887,-2.143942,-1.962418,0.822590,-0.111971,-0.606277,0.404396,-1.583177,-2.286700,0.702967
17877.072000,1.249978,-1.307420,1.489412,-2.166517,-1.958944,0.813210,-0.118257,-0.607398,0.396635,-1.583235,-2.286291,0.703323,-0.099108,0.090709,0.106497,-0.224417,0.044701,-0.098726,1.249853,-1.307233,1.489571,-2.166684,-1.958597,0.812999,-0.118324,-0.607440,0.396450,-1.583177,-2.286695,0.702959
17877.232000,1.228445,-1.286850,1.511190,-2.216913,-1.950152,0.792021,-0.132447,-0.610044,0.378705,-1.583125,-2.286636,0.703331,-0.171167,0.171729,0.161669,-0.394041,0.068718,-0.167587,1.228175,-1.286673,1.511239,-2.216946,-1.950014,0.791831,-0.132618,-0.610057,0.378571,-1.583176,-2.286682,0.702941
17877.392000,1.195728,-1.250506,1.538417,-2.292060,-1.936880,0.760392,-0.154584,-0.614079,0.351000,-1.583191,-2.286652,0.703137,-0.228256,0.275068,0.163279,-0.516520,0.091488,-0.220510,1.195514,-1.250310,1.538358,-2.292110,-1.936814,0.760198,-0.154733,-0.614106,0.350910,-1.583175,-2.286663,0.702913
17877.552000,1.160339,-1.203628,1.559632,-2.372583,-1.922387,0.726389,-0.179431,-0.618620,0.320056,-1.583097,-2.286414,0.703568,-0.218311,0.306272,0.105563,-0.489795,0.091368,-0.204139,1.160161,-1.203372,1.559616,-2.372378,-1.922172,0.726297,-0.179549,-0.618649,0.319870,-1.583174,-2.286642,0.702883
17877.712000,1.126364,-1.150832,1.571306,-2.447635,-1.907750,0.694195,-0.204229,-0.623159,0.288952,-1.583192,-2.286709,0.702916,-0.210641,0.348878,0.044089,-0.452980,0.092854,-0.198027,1.126199,-1.150552,1.571237,-2.447855,-1.907774,0.694049,-0.204365,-0.623192,0.288830,-1.583173,-2.286620,0.702852
17877.872000,1.098616,-1.101693,1.573557,-2.507562,-1.895832,0.668017,-0.225331,-0.627063,0.262534,-1.583099,-2.286671,0.702771,-0.140180,0.258783,-0.002991,-0.299174,0.057692,-0.131970,1.098545,-1.101741,1.573577,-2.507585,-1.895820,0.668012,-0.225370,-0.627037,0.262559,-1.583173,-2.286602,0.702826
17878.032000,1.081766,-1.069433,1.571629,-2.542692,-1.888562,0.652231,-0.238501,-0.629431,0.246036,-1.583035,-2.286640,0.702382,-0.069540,0.140845,-0.017436,-0.145201,0.031950,-0.068046,1.081847,-1.069676,1.571574,-2.542653,-1.888504,0.652383,-0.238434,-0.629429,0.246218,-1.583172,-2.286591,0.702809
17878.352000,1.075275,-1.056514,1.570157,-2.556041,-1.885783,0.646417,-0.243656,-0.630349,0.239611,-1.583318,-2.286400,0.702413,0.000281,-0.000281,-0.000000,0.000503,0.005992,0.000527,1.075299,-1.056559,1.570039,-2.556161,-1.885616,0.646273,-0.243641,-0.630382,0.239705,-1.583172,-2.286587,0.702803
17878.512000,1.075263,-1.056526,1.570168,-2.556100,-1.885579,0.646310,-0.243649,-0.630353,0.239615,-1.583253,-2.286639,0.702494,0.000128,-0.000128,-0.000038,0.000192,0.000623,-0.000983,1.075299,-1.056559,1.570039,-2.556161,-1.885616,0.646273,-0.243641,-0.630382,0.239705,-1.583172,-2.286587,0.702803
