timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
18158.648000,1.026965,-1.151539,1.720649,-2.730623,-1.578315,0.070707,-0.230296,-0.594080,0.250124,-0.862246,-2.740465,0.847608,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.026952,-1.151542,1.720583,-2.730604,-1.578342,0.070794,-0.230313,-0.594088,0.250154,-0.862383,-2.740385,0.847672
18158.808000,1.027120,-1.152485,1.721283,-2.730072,-1.578494,0.070839,-0.230059,-0.593846,0.250361,-0.862311,-2.740520,0.847236,0.004947,-0.048666,0.028302,0.012368,-0.010019,0.001414,1.027136,-1.152820,1.721326,-2.730067,-1.578439,0.070945,-0.230013,-0.593797,0.250551,-0.862383,-2.740385,0.847673
18158.968000,1.030318,-1.175186,1.734023,-2.720517,-1.579823,0.073285,-0.224792,-0.588715,0.257529,-0.861884,-2.740624,0.848000,0.034323,-0.231069,0.131079,0.106827,-0.009947,0.031519,1.030439,-1.175528,1.734220,-2.720215,-1.580190,0.073675,-0.224692,-0.588635,0.257615,-0.862382,-2.740388,0.847676
18159.128000,1.037995,-1.226329,1.761001,-2.696096,-1.584254,0.079869,-0.212837,-0.577011,0.273449,-0.862328,-2.740340,0.847643,0.061807,-0.407093,0.202601,0.193665,-0.033052,0.050933,1.038172,-1.226468,1.761019,-2.695970,-1.584286,0.080060,-0.212720,-0.577020,0.273508,-0.862379,-2.740393,0.847683
18159.288000,1.050892,-1.304639,1.796396,-2.653256,-1.591104,0.090578,-0.194282,-0.559039,0.298116,-0.862384,-2.740130,0.848077,0.095823,-0.549689,0.222696,0.332682,-0.050286,0.076603,1.051026,-1.304688,1.796399,-2.652893,-1.591088,0.090656,-0.194199,-0.559051,0.298097,-0.862376,-2.740402,0.847694
18159.448000,1.066832,-1.391215,1.827218,-2.596922,-1.599559,0.103637,-0.173441,-0.538852,0.325726,-0.862327,-2.740242,0.847822,0.104311,-0.536050,0.160480,0.372446,-0.051556,0.084872,1.066894,-1.391140,1.827179,-2.596827,-1.599484,0.103717,-0.173414,-0.538886,0.325690,-0.862371,-2.740411,0.847706
18159.608000,1.084365,-1.475462,1.848532,-2.533241,-1.608815,0.118135,-0.152692,-0.518666,0.353229,-0.862473,-2.740365,0.847622,0.116583,-0.519176,0.101128,0.418130,-0.062677,0.095658,1.084519,-1.475424,1.848358,-2.533149,-1.608823,0.118204,-0.152630,-0.518722,0.353283,-0.862367,-2.740421,0.847719
18159.768000,1.101107,-1.544836,1.858854,-2.473353,-1.617666,0.131865,-0.134923,-0.501509,0.376730,-0.862455,-2.740505,0.847423,0.086708,-0.341439,0.034374,0.316144,-0.051772,0.071714,1.101136,-1.544811,1.858721,-2.473459,-1.617645,0.131851,-0.134919,-0.501539,0.376796,-0.862364,-2.740429,0.847729
18159.928000,1.112268,-1.586876,1.861537,-2.433936,-1.623653,0.140967,-0.123881,-0.490749,0.391596,-0.862311,-2.740223,0.848027,0.051503,-0.182314,0.006072,0.183886,-0.025143,0.045228,1.112361,-1.586706,1.861579,-2.433900,-1.623616,0.141067,-0.123853,-0.490803,0.391486,-0.862361,-2.740434,0.847736
18160.248000,1.117083,-1.603352,1.861908,-2.417404,-1.626060,0.144792,-0.119373,-0.486447,0.397472,-0.862123,-2.740501,0.847823,-0.000345,0.000447,0.000396,-0.000503,-0.000863,-0.000479,1.117131,-1.603388,1.861944,-2.417345,-1.626156,0.144984,-0.119350,-0.486434,0.397465,-0.862360,-2.740436,0.847739
18160.408000,1.117071,-1.603388,1.861896,-2.417441,-1.626108,0.144936,-0.119379,-0.486435,0.397500,-0.862343,-2.740373,0.847941,-0.000141,0.000000,0.000179,-0.000216,0.000000,0.001031,1.117131,-1.603388,1.861944,-2.417345,-1.626156,0.144984,-0.119350,-0.486434,0.397465,-0.862360,-2.740436,0.847739
