timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
18217.064000,1.218733,-1.567762,1.892611,-2.443065,-2.077007,0.752554,-0.103164,-0.485441,0.376707,-1.531795,-2.137465,0.861592,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.218745,-1.567822,1.892551,-2.443065,-2.076935,0.752577,-0.103151,-0.485437,0.376763,-1.531855,-2.137493,0.861766
18217.224000,1.217942,-1.567379,1.893042,-2.444324,-2.076576,0.751906,-0.103544,-0.485441,0.376442,-1.531960,-2.137394,0.861724,-0.037416,0.019367,0.020376,-0.054576,0.010235,-0.048033,1.217847,-1.567280,1.893096,-2.444579,-2.076473,0.751705,-0.103592,-0.485458,0.376393,-1.531855,-2.137493,0.861765
18217.384000,1.202302,-1.557498,1.902299,-2.471062,-2.068382,0.736649,-0.111265,-0.485829,0.369943,-1.531873,-2.137487,0.862001,-0.159854,0.108862,0.091234,-0.270436,0.083147,-0.151529,1.201965,-1.557321,1.902437,-2.471348,-2.068253,0.736345,-0.111433,-0.485828,0.369818,-1.531852,-2.137492,0.861757
18217.544000,1.167309,-1.533002,1.921040,-2.530146,-2.049826,0.703161,-0.128821,-0.486660,0.355124,-1.531748,-2.137664,0.861966,-0.276142,0.208263,0.135566,-0.459044,0.144314,-0.257996,1.166826,-1.532758,1.921063,-2.530436,-2.049728,0.702841,-0.129075,-0.486661,0.355023,-1.531846,-2.137489,0.861740
18217.704000,1.114567,-1.489442,1.943290,-2.618291,-2.021256,0.654185,-0.156173,-0.487947,0.332261,-1.531881,-2.137506,0.862053,-0.364308,0.328413,0.128727,-0.609230,0.201287,-0.331172,1.114208,-1.489178,1.943321,-2.618491,-2.021171,0.653859,-0.156370,-0.487949,0.332134,-1.531837,-2.137485,0.861713
18217.864000,1.058126,-1.433092,1.958822,-2.711849,-1.989609,0.603169,-0.186860,-0.489397,0.306481,-1.531917,-2.137535,0.861914,-0.344967,0.375276,0.068416,-0.565224,0.188200,-0.304687,1.057891,-1.432951,1.958735,-2.711854,-1.989616,0.602912,-0.186999,-0.489394,0.306449,-1.531826,-2.137480,0.861682
18218.024000,1.005037,-1.370320,1.963947,-2.798639,-1.958956,0.556227,-0.217410,-0.490894,0.280921,-1.531674,-2.137565,0.862238,-0.322980,0.416514,0.002889,-0.514483,0.188512,-0.280383,1.004630,-1.370061,1.963994,-2.798648,-1.958923,0.556024,-0.217628,-0.490840,0.280763,-1.531816,-2.137475,0.861652
18218.184000,0.957456,-1.306017,1.959816,-2.873786,-1.930987,0.515456,-0.246382,-0.492187,0.256626,-1.531815,-2.137471,0.862000,-0.241372,0.356574,-0.046595,-0.392531,0.149899,-0.209269,0.957380,-1.305913,1.959697,-2.873543,-1.931068,0.515392,-0.246450,-0.492200,0.256593,-1.531806,-2.137470,0.861623
18218.344000,0.926474,-1.259591,1.951672,-2.920845,-1.912649,0.489299,-0.266277,-0.493103,0.239949,-1.531828,-2.137405,0.861454,-0.140372,0.223002,-0.047157,-0.215932,0.088492,-0.110566,0.926574,-1.259671,1.951613,-2.920771,-1.912615,0.489352,-0.266227,-0.493134,0.240008,-1.531799,-2.137467,0.861603
18218.664000,0.909516,-1.232490,1.945290,-2.945960,-1.902504,0.475296,-0.277541,-0.493625,0.230395,-1.532064,-2.137374,0.861002,0.000741,-0.000690,0.000332,0.001079,-0.000935,0.001055,0.909574,-1.232614,1.945147,-2.946123,-1.902339,0.475125,-0.277517,-0.493666,0.230541,-1.531795,-2.137465,0.861592
