timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
18618.080000,1.118029,-1.262061,1.824966,-2.602511,-1.497783,0.168559,-0.149587,-0.574455,0.254000,0.897841,2.917325,-0.737468,0.000000,0.000000,-0.000000,-0.000024,0.000000,0.000000,1.118015,-1.262034,1.824978,-2.602507,-1.497807,0.168595,-0.149598,-0.574453,0.253978,0.897933,2.917327,-0.737402
18618.240000,1.118017,-1.262972,1.825086,-2.601623,-1.497807,0.168619,-0.149507,-0.574267,0.254367,0.897977,2.917325,-0.737317,0.000000,-0.044358,0.000767,0.041441,0.000000,0.000000,1.118000,-1.263254,1.825139,-2.601447,-1.497793,0.168579,-0.149488,-0.574206,0.254486,0.897933,2.917327,-0.737403
18618.400000,1.117861,-1.284584,1.827625,-2.582532,-1.497579,0.168367,-0.147481,-0.569883,0.263414,0.897871,2.917354,-0.737312,-0.003272,-0.218669,0.019916,0.191460,0.006328,0.033412,1.117729,-1.284842,1.827663,-2.582370,-1.497535,0.168292,-0.147527,-0.569812,0.263525,0.897935,2.917326,-0.737412
18618.560000,1.117190,-1.332210,1.830942,-2.538050,-1.497136,0.167756,-0.143112,-0.559996,0.283698,0.898141,2.917452,-0.737119,-0.005689,-0.366928,0.013218,0.355236,0.003499,-0.042256,1.117101,-1.332542,1.830965,-2.537940,-1.496942,0.167617,-0.143116,-0.559924,0.283863,0.897937,2.917325,-0.737433
18618.720000,1.116125,-1.403575,1.829684,-2.465784,-1.496286,0.166725,-0.136282,-0.544612,0.315315,0.898354,2.917377,-0.737786,-0.005791,-0.489506,-0.037467,0.526251,-0.032381,0.017545,1.116078,-1.403570,1.829574,-2.465466,-1.495996,0.166489,-0.136291,-0.544627,0.315327,0.897941,2.917323,-0.737465
18618.880000,1.114807,-1.478567,1.818847,-2.379506,-1.495208,0.165322,-0.128651,-0.527391,0.350571,0.898536,2.917453,-0.737246,-0.011070,-0.450837,-0.099977,0.542118,-0.032381,-0.013974,1.114848,-1.478474,1.818629,-2.379543,-1.494898,0.165098,-0.128633,-0.527461,0.350635,0.897946,2.917321,-0.737501
18619.040000,1.113490,-1.546863,1.798204,-2.290572,-1.493951,0.163894,-0.121060,-0.510401,0.385595,0.898571,2.917256,-0.737410,-0.006660,-0.379430,-0.147837,0.521961,-0.042448,-0.007238,1.113535,-1.546675,1.798109,-2.290740,-1.493782,0.163583,-0.121056,-0.510478,0.385568,0.897950,2.917319,-0.737537
18619.200000,1.112460,-1.594634,1.775932,-2.220717,-1.492993,0.162515,-0.115228,-0.497406,0.412434,0.898248,2.917224,-0.737840,-0.008373,-0.223181,-0.123588,0.352768,-0.004027,-0.016179,1.112459,-1.594407,1.775962,-2.220789,-1.492911,0.162324,-0.115255,-0.497474,0.412315,0.897954,2.917317,-0.737564
18619.360000,1.111885,-1.620248,1.760618,-2.179648,-1.492538,0.161664,-0.111847,-0.489911,0.427857,0.898060,2.917360,-0.737706,-0.002467,-0.098392,-0.062177,0.167707,-0.039332,-0.018504,1.111806,-1.620064,1.760657,-2.179784,-1.492403,0.161557,-0.111904,-0.489963,0.427764,0.897956,2.917316,-0.737580
18619.680000,1.111634,-1.626831,1.756199,-2.168545,-1.492310,0.161305,-0.110984,-0.487905,0.431973,0.897917,2.917382,-0.737585,-0.000243,0.000000,0.000217,-0.000383,-0.000431,-0.000455,1.111622,-1.626867,1.756127,-2.168438,-1.492263,0.161341,-0.110982,-0.487897,0.432014,0.897956,2.917316,-0.737584
18619.840000,1.111658,-1.626795,1.756163,-2.168521,-1.492346,0.161329,-0.110981,-0.487920,0.431970,0.897940,2.917407,-0.737547,-0.000115,0.000000,0.000102,-0.000192,-0.000192,0.000000,1.111622,-1.626867,1.756127,-2.168438,-1.492263,0.161341,-0.110982,-0.487897,0.432014,0.897956,2.917316,-0.737584
18620.000000,1.111622,-1.626795,1.756199,-2.168533,-1.492298,0.161281,-0.110994,-0.487915,0.431954,0.897900,2.917395,-0.737513,-0.000077,0.000000,0.000064,-0.000120,-0.000120,0.000000,1.111622,-1.626867,1.756127,-2.168438,-1.492263,0.161341,-0.110982,-0.487897,0.432014,0.897956,2.917316,-0.737584
